EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.19,75.9,9.7,NE,W,PIT,-7.5,@BUF,0.0,JAX,-13.5,BYE,,@DAL,1.0,@IND,2.5,NYJ,-9.5,MIA,-5.0,WAS,-13.5,@NYG,-4.0,BUF,-7.0,@DEN,1.5,PHI,-3.5,@HOU,-3.5,TEN,-13.5,@NYJ,-6.0,@MIA,-1.5,0.87132634215033
1.15,73.3,9.7,DAL,W,NYG,-7.0,@PHI,5.0,ATL,-5.0,@NO,-2.5,NE,-1.0,BYE,,@NYG,-3.0,SEA,-0.5,PHI,-2.5,@TB,-6.5,@MIA,1.5,CAR,-7.0,@WAS,-6.5,@GB,3.5,NYJ,-7.5,@BUF,-1.0,WAS,-10.0,0.58863523750583
1.07,66.7,4.7,DEN,W,BAL,-4.5,@KC,3.0,@DET,-1.0,MIN,-6.0,@OAK,-6.5,@CLE,-6.5,BYE,,GB,-1.5,@IND,3.0,KC,-4.0,@CHI,-6.0,NE,-1.5,@SD,-3.0,OAK,-10.0,@PIT,0.5,CIN,-4.0,SD,-6.5,0.64801054120242
1.02,62.6,1.4,PHI,L,@ATL,-3.5,DAL,-5.0,@NYJ,-4.0,@WAS,-7.0,NO,-6.5,NYG,-7.0,@CAR,-3.5,BYE,,@DAL,2.5,MIA,-3.5,TB,-10.0,@DET,-1.5,@NE,3.5,BUF,-5.0,ARI,-4.0,WAS,-11.0,@NYG,-3.0,0.83750122043366
1.01,62.0,1.5,SD,W,DET,-3.5,@CIN,3.5,@MIN,3.0,CLE,-6.5,PIT,-1.0,@GB,7.0,OAK,-6.5,@BAL,6.0,CHI,-5.5,BYE,,KC,-1.0,@JAX,-4.0,DEN,3.0,@KC,3.5,MIA,0.5,@OAK,-3.0,@DEN,6.5,0.32849094279188
1.0,70.1,22.3,GB,W,@CHI,-6.0,SEA,-3.5,KC,-6.0,@SF,-4.0,STL,-9.5,SD,-7.0,BYE,,@DEN,1.5,@CAR,-4.5,DET,-6.5,@MIN,-3.0,CHI,-10.0,@DET,-3.0,DAL,-3.5,@OAK,-7.0,@ARI,-1.5,MIN,-7.0,0.912078414968
0.99,62.3,4.8,SEA,L,@STL,-3.5,@GB,3.5,CHI,-10.5,DET,-6.5,@CIN,-2.0,CAR,-9.5,@SF,-4.5,@DAL,0.5,BYE,,ARI,-5.0,SF,-9.5,PIT,-6.5,@MIN,-3.5,@BAL,-0.5,CLE,-12.0,STL,-9.5,@ARI,-1.5,0.90607729210777
0.97,62.3,7.6,NYJ,W,CLE,-3.5,@IND,7.0,PHI,4.0,@MIA,7.0,BYE,,WAS,-5.0,@NE,9.5,@OAK,0.5,JAX,-6.5,BUF,1.5,@HOU,4.0,MIA,3.0,@NYG,3.5,TEN,-5.0,@DAL,7.5,NE,6.0,@BUF,5.0,0.20220582753044
0.97,65.3,14.9,MIA,W,@WAS,-4.0,@JAX,-6.0,BUF,-3.5,NYJ,-7.0,BYE,,@TEN,-6.0,HOU,-4.0,@NE,5.0,@BUF,1.0,@PHI,3.5,DAL,-1.5,@NYJ,-3.0,BAL,-2.0,NYG,-5.5,@SD,-0.5,IND,0.5,NE,1.5,0.44840236355114
0.95,58.6,2.3,TB,L,TEN,-3.0,@NO,10.0,@HOU,6.5,CAR,1.0,JAX,-4.0,BYE,,@WAS,2.0,@ATL,7.0,NYG,2.5,DAL,6.5,@PHI,10.0,@IND,11.0,ATL,3.0,NO,3.0,@STL,4.5,CHI,-1.5,@CAR,4.5,0.062621257954092
