EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,80.9,19.4,BUF,W,WAS,-11.0,@CLE,2.5,@MIA,-9.5,DEN,-6.5,@DAL,4.5,BAL,-1.0,@PIT,1.0,@NE,9.5,NYJ,-7.0,0.40048502069464
1.12,73.5,3.7,DAL,W,@NYG,-6.5,MIN,-3.0,@DET,-3.0,@NE,6.5,BUF,-4.5,@CHI,0.5,LAR,-2.5,@PHI,2.0,WAS,-13.5,0.40276337086579
1.06,67.8,0.2,MIN,L,@KC,-5.5,@DAL,3.0,DEN,-10.5,BYE,,@SEA,0.5,DET,-7.5,@LAC,-3.5,GB,-3.0,CHI,-6.0,0.51272610270665
1.04,67.4,1.2,PHI,W,CHI,-5.0,BYE,,NE,3.5,SEA,-3.0,@MIA,-14.0,NYG,-8.0,@WAS,-7.0,DAL,-2.0,@NYG,-4.0,0.60889215682788
1.0,79.0,38.4,SF,W,@ARI,-10.0,SEA,-6.0,ARI,-11.0,GB,-2.5,@BAL,0.5,@NO,2.0,ATL,-9.5,LAR,-3.0,@SEA,1.5,0.51030194044073
0.97,63.9,3.1,CLE,L,@DEN,-4.0,BUF,-2.5,PIT,-3.0,MIA,-13.5,@PIT,1.5,CIN,-8.0,@ARI,-3.0,BAL,1.0,@CIN,-4.0,0.5477475439214
0.97,65.5,7.2,GB,L,@LAC,-4.0,CAR,-5.5,BYE,,@SF,2.5,@NYG,-6.5,WAS,-14.0,CHI,-5.5,@MIN,3.0,@DET,-3.5,0.5541307978646
0.96,62.3,2.3,CAR,W,TEN,-3.5,@GB,5.5,ATL,-6.0,@NO,4.5,WAS,-9.5,@ATL,-2.5,SEA,-0.5,@IND,2.0,NO,1.5,0.27932622815237
0.95,62.3,3.6,NYJ,L,@MIA,-3.0,NYG,2.5,@WAS,-0.5,OAK,1.0,@CIN,0.5,MIA,-7.0,@BAL,9.5,PIT,2.5,@BUF,7.0,0.12790819400875
0.93,59.6,0.4,NE,L,@BAL,-3.0,BYE,,@PHI,-3.5,DAL,-6.5,@HOU,-4.0,KC,-8.5,@CIN,-13.5,BUF,-9.5,MIA,-18.5,1.0
0.9,57.4,0.4,OAK,W,DET,-2.5,LAC,1.0,CIN,-6.5,@NYJ,-1.0,@KC,4.0,TEN,-1.5,JAX,-1.5,@LAC,3.5,@DEN,0.5,0.15217981217979
0.89,65.3,17.4,SEA,W,TB,-4.0,@SF,6.0,BYE,,@PHI,3.0,MIN,-0.5,@LAR,3.5,@CAR,0.5,ARI,-9.5,SF,-1.5,0.17854092792364
