EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,78.6,21.6,ARI,L,LAR,-10.0,@SF,-4.5,NYJ,-5.0,SEA,-3.0,@CAR,3.0,BYE,,SF,-11.5,@MIN,2.5,@ATL,-3.0,WAS,-7.5,@MIA,-5.0,NO,-10.0,@SEA,3.0,@LAR,-3.5,0.69158535483495
1.05,75.7,21.4,CIN,W,MIA,-7.5,@DAL,-1.0,@NE,3.0,CLE,-13.0,WAS,-6.5,BYE,,@NYG,1.5,BUF,-6.5,@BAL,2.0,PHI,-4.0,@CLE,-8.0,PIT,-0.5,@HOU,1.5,BAL,-3.0,0.52426258458695
0.99,63.3,0.7,SD,L,NO,-3.5,@OAK,3.5,DEN,4.0,@ATL,3.5,@DEN,8.0,TEN,-4.5,MIA,-3.5,BYE,,@HOU,4.5,TB,-3.0,@CAR,9.0,OAK,-0.5,@CLE,-4.5,KC,3.5,0.21198830086757
0.98,63.3,1.8,MIN,W,NYG,-3.5,HOU,-6.5,BYE,,@PHI,-2.5,@CHI,-6.5,DET,-7.0,@WAS,-3.5,ARI,-2.5,@DET,-3.5,DAL,-3.5,@JAX,-6.5,IND,-6.5,@GB,3.5,CHI,-10.5,0.75963265368536
0.97,63.3,3.4,NE,L,BUF,-3.5,@CLE,-10.5,CIN,-3.0,@PIT,3.5,@BUF,-3.5,BYE,,SEA,-2.0,@SF,-6.5,@NYJ,-0.5,LAR,-6.5,BAL,-3.5,@DEN,3.5,NYJ,-4.0,@MIA,-4.0,0.55846661719868
0.97,61.9,0.7,BAL,L,OAK,-3.5,WAS,-3.5,@NYG,2.0,@NYJ,1.5,BYE,,PIT,2.0,CLE,-11.0,@DAL,3.0,CIN,-2.0,MIA,-6.5,@NE,3.5,PHI,-3.5,@PIT,5.5,@CIN,3.0,0.34159510505659
0.96,73.8,30.8,WAS,W,CLE,-7.5,@BAL,3.5,PHI,-1.0,@DET,3.0,@CIN,6.5,BYE,,MIN,3.5,GB,4.0,@DAL,6.5,@ARI,7.5,@PHI,3.5,CAR,4.5,@CHI,-2.5,NYG,0.5,0.029440075941359
0.95,63.3,5.3,HOU,W,TEN,-3.5,@MIN,6.5,IND,-4.0,@DEN,6.5,DET,-4.0,BYE,,@JAX,-3.5,@OAK,2.5,SD,-4.5,@GB,6.5,@IND,-0.5,JAX,-7.5,CIN,-1.5,@TEN,-3.5,0.39835449879055
0.95,62.0,2.6,DET,L,@CHI,-3.0,PHI,3.0,LAR,-3.0,WAS,-3.0,@HOU,4.0,@MIN,7.0,BYE,,JAX,-5.0,MIN,3.5,@NO,-0.5,CHI,-6.0,@NYG,4.0,@DAL,6.0,GB,4.0,0.21211376215055
0.95,62.3,3.4,PIT,W,KC,-3.0,NYJ,-7.0,@MIA,-6.0,NE,-3.5,BYE,,@BAL,-2.0,DAL,-4.0,@CLE,-10.0,@IND,-3.5,NYG,-6.5,@BUF,-4.0,@CIN,0.5,BAL,-5.5,CLE,-14.0,0.85156868362993
