EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,85.1,34.9,LAR,W,ARI,-13.5,LAC,-7.0,MIN,-3.0,@SEA,-3.5,@DEN,-3.0,@SF,-3.0,GB,-3.5,@NO,1.5,SEA,-8.0,KC,-5.0,BYE,,@DET,-4.0,@CHI,-3.0,PHI,-3.0,@ARI,-6.5,SF,-7.0,0.64463233740646
1.05,79.0,19.6,NO,W,CLE,-9.5,@ATL,3.0,@NYG,-3.0,WAS,-7.0,BYE,,@BAL,1.0,@MIN,3.5,LAR,-1.5,@CIN,-3.0,PHI,-2.0,ATL,-3.5,@DAL,-1.5,@TB,-3.5,@CAR,1.0,PIT,-2.0,CAR,-3.5,0.30761841172519
0.99,68.3,0.9,ATL,W,CAR,-5.5,NO,-3.0,CIN,-6.5,@PIT,3.5,TB,-7.0,NYG,-6.5,BYE,,@WAS,-2.5,@CLE,-3.5,DAL,-4.5,@NO,3.5,BAL,-3.5,@GB,3.5,ARI,-9.5,@CAR,1.5,@TB,-3.0,0.54110431466146
0.98,69.4,3.8,SF,W,DET,-6.0,@KC,6.5,@LAC,4.0,ARI,-8.0,@GB,5.0,LAR,3.0,@ARI,-3.5,OAK,-6.0,NYG,-6.0,BYE,,@TB,-1.0,@SEA,0.5,DEN,-3.5,SEA,-4.0,CHI,-4.0,@LAR,7.0,0.40437952187467
0.98,69.5,5.4,WAS,L,IND,-6.0,GB,3.0,BYE,,@NO,7.0,CAR,-1.0,DAL,-3.0,@NYG,3.0,ATL,2.5,@TB,3.0,HOU,1.5,@DAL,3.5,@PHI,7.0,NYG,-3.0,@JAX,7.0,@TEN,3.0,PHI,3.0,0.058038732349845
0.97,68.4,3.4,DEN,W,OAK,-5.5,@BAL,5.0,KC,-0.5,@NYJ,-1.5,LAR,3.0,@ARI,-3.5,@KC,4.0,HOU,-1.0,BYE,,@LAC,4.5,PIT,3.0,@CIN,1.0,@SF,3.5,CLE,-6.0,@OAK,1.5,LAC,1.0,0.11983264611755
0.96,66.4,0.7,CHI,W,SEA,-4.5,@ARI,-6.5,TB,-3.0,BYE,,@MIA,-0.5,NE,4.0,NYJ,-4.5,@BUF,-3.5,DET,-3.0,MIN,3.0,@DET,3.0,@NYG,2.0,LAR,3.0,GB,3.0,@SF,4.0,@MIN,7.0,0.23417051459174
0.94,65.4,0.7,PIT,L,KC,-4.5,@TB,-1.5,BAL,-4.0,ATL,-3.5,@CIN,-3.5,BYE,,CLE,-9.5,@BAL,1.0,CAR,-5.0,@JAX,1.0,@DEN,-3.0,LAC,-3.5,@OAK,-4.0,NE,-1.0,@NO,2.0,CIN,-6.5,0.49980599646306
0.94,73.2,21.8,LAC,W,@BUF,-7.5,@LAR,7.0,SF,-4.0,OAK,-7.0,@CLE,-4.0,TEN,-5.0,BYE,,@SEA,-2.5,@OAK,-3.0,DEN,-4.5,ARI,-9.5,@PIT,3.5,CIN,-6.5,@KC,2.5,BAL,-3.5,@DEN,-1.0,0.54929365839801
0.9,62.6,1.7,HOU,L,@TEN,-3.5,NYG,-6.0,@IND,-3.0,DAL,-3.5,BUF,-9.5,@JAX,3.5,MIA,-7.0,@DEN,1.0,BYE,,@WAS,-1.5,TEN,-4.0,CLE,-8.0,IND,-7.0,@NYJ,-1.0,@PHI,5.0,JAX,-0.5,0.55142256144263
0.87,60.2,0.4,DAL,W,NYG,-3.0,@SEA,1.0,DET,-3.5,@HOU,3.5,JAX,1.5,@WAS,3.0,BYE,,TEN,-3.5,@PHI,6.5,@ATL,4.5,WAS,-3.5,NO,1.5,PHI,3.0,@IND,-1.5,TB,-3.5,@NYG,2.0,0.17370325126551
0.87,60.8,1.7,NYJ,L,MIA,-3.0,@CLE,3.0,@JAX,9.0,DEN,1.5,IND,-3.0,MIN,4.5,@CHI,4.5,@MIA,3.0,BUF,-5.0,BYE,,NE,7.0,@TEN,4.5,@BUF,-1.5,HOU,1.0,GB,5.0,@NE,9.5,0.093194407012037
0.84,58.3,1.4,PHI,L,@TB,-3.0,IND,-6.0,@TEN,-3.0,MIN,-3.0,@NYG,-3.5,CAR,-5.0,@JAX,1.0,BYE,,DAL,-6.5,@NO,2.0,NYG,-8.0,WAS,-7.0,@DAL,-3.0,@LAR,3.0,HOU,-5.0,@WAS,-3.0,0.59167465626195
0.79,54.6,0.6,NE,L,@JAX,-2.0,@DET,-6.0,MIA,-10.5,IND,-10.0,KC,-6.0,@CHI,-4.0,@BUF,-8.0,GB,-4.0,@TEN,-4.5,BYE,,@NYJ,-7.0,MIN,-3.5,@MIA,-6.5,@PIT,1.0,BUF,-13.5,NYJ,-9.5,1.0
