EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.19,68.0,2.3,PHI,W,WAS,-5.0,SF,-13.0,DEN,-3.0,BYE,,@DAL,2.5,CHI,-9.5,@SEA,3.0,@LAR,0.5,@NYG,-4.0,OAK,-5.5,DAL,-3.0,0.60427995338621
1.14,66.4,4.3,PIT,W,CIN,-4.0,@DET,-3.0,BYE,,@IND,-6.5,TEN,-3.5,GB,-6.5,@CIN,-1.5,BAL,-6.5,NE,1.0,@HOU,-1.5,CLE,-13.5,0.67799251442014
1.14,65.0,1.9,SEA,W,@NYG,-4.0,HOU,-5.5,WAS,-5.0,@ARI,-3.0,ATL,-1.5,@SF,-7.0,PHI,-3.0,@JAX,-3.5,LAR,-4.0,@DAL,1.5,ARI,-7.0,0.70409176294715
1.09,63.3,4.5,NO,W,@GB,-3.5,CHI,-9.0,TB,-5.0,@BUF,-1.0,WAS,-4.0,@LAR,-0.5,CAR,-3.0,@ATL,3.5,NYJ,-9.5,ATL,-1.0,@TB,-1.5,0.56709641895479
1.07,60.6,0.8,LAR,W,ARI,-3.0,BYE,,@NYG,-2.0,HOU,-3.0,@MIN,3.5,NO,0.5,@ARI,1.0,PHI,-0.5,@SEA,4.0,@TEN,3.5,SF,-7.5,0.20715179971368
1.05,64.6,9.6,MIN,W,BAL,-4.0,@CLE,-9.0,BYE,,@WAS,1.5,LAR,-3.5,@DET,1.5,@ATL,4.0,@CAR,3.0,CIN,-3.5,@GB,-1.0,CHI,-7.5,0.41434130373791
1.05,60.0,1.6,BUF,W,TB,-3.0,OAK,-2.5,@NYJ,-2.5,NO,1.0,@LAC,2.0,@KC,7.0,NE,4.0,IND,-7.0,MIA,-4.0,@NE,8.0,@MIA,0.5,0.26487946503856
1.05,60.6,3.1,MIA,W,NYJ,-3.0,@BAL,3.0,OAK,-1.0,@CAR,6.5,TB,-1.0,@NE,11.0,DEN,3.5,NE,7.0,@BUF,4.0,@KC,9.5,BUF,-0.5,0.020997039416932
1.04,59.0,1.2,JAX,W,@IND,-3.0,BYE,,CIN,-1.0,LAC,-2.0,@CLE,-3.5,@ARI,3.0,IND,-5.0,SEA,3.5,HOU,-1.5,@SF,-2.0,@TEN,6.0,0.22455399345346
1.03,59.0,2.3,KC,L,@OAK,-3.0,DEN,-7.5,@DAL,-0.5,BYE,,@NYG,-6.0,BUF,-7.0,@NYJ,-7.0,OAK,-7.0,LAC,-7.0,MIA,-9.5,@DEN,0.5,0.89729538715871
1.02,57.4,0.4,NE,W,ATL,-3.0,LAC,-7.5,BYE,,@DEN,-2.5,@OAK,-5.0,MIA,-11.0,@BUF,-4.0,@MIA,-7.0,@PIT,-1.0,BUF,-8.0,NYJ,-14.0,1.0
1.01,71.2,28.6,DAL,W,@SF,-6.5,@WAS,-2.5,KC,0.5,@ATL,3.5,PHI,-2.5,LAC,-5.0,WAS,-4.0,@NYG,-3.5,@OAK,-1.5,SEA,-1.5,@PHI,3.0,0.32954628722705
0.97,57.8,5.3,CAR,L,@CHI,-2.5,@TB,2.5,ATL,0.5,MIA,-6.5,BYE,,@NYJ,-4.0,@NO,3.0,MIN,-3.0,GB,-4.0,TB,-4.5,@ATL,4.0,0.40645024885754
0.93,68.0,31.3,TEN,W,@CLE,-5.5,BYE,,BAL,-5.0,CIN,-3.5,@PIT,3.5,@IND,-4.0,HOU,-3.5,@ARI,-2.0,@SF,-5.0,LAR,-3.5,JAX,-6.0,0.56819771821364
0.9,50.5,0.5,DEN,L,@LAC,-1.0,@KC,7.5,@PHI,3.0,NE,2.5,CIN,-4.0,@OAK,-2.5,@MIA,-3.5,NYJ,-9.5,@IND,-6.5,@WAS,-1.0,KC,-0.5,0.45386946340837
