EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.49,91.5,8.0,NE,W,NYJ,-17.0,@MIA,-10.0,1.0
1.26,78.1,4.6,SEA,L,ARI,-8.5,@SF,-10.0,0.97357560598045
1.15,70.1,1.8,PIT,W,BAL,-5.5,CLE,-6.0,0.65679396104494
1.13,71.2,7.0,DAL,W,DET,-6.5,@PHI,4.0,0.0
1.11,70.5,7.4,GB,W,MIN,-6.5,@DET,-3.5,0.37768928234193
1.11,67.5,0.9,BUF,L,MIA,-4.5,@NYJ,-3.5,0.36141674901249
1.11,68.6,3.7,LAR,L,SF,-5.5,ARI,6.0,0.0
1.05,64.0,1.4,KC,W,DEN,-3.5,@SD,-5.5,0.64720053193967
1.02,62.3,1.1,NO,W,TB,-3.0,@ATL,7.0,0.0
0.98,62.3,6.8,OAK,W,IND,-3.5,@DEN,0.0,0.0
0.98,59.5,0.8,HOU,W,CIN,-3.0,@TEN,3.0,0.0
0.97,65.3,14.4,TEN,L,@JAX,-4.5,HOU,-3.0,0.3646216729645
0.97,58.6,0.3,ATL,W,@CAR,-3.0,NO,-7.0,0.73084734096235
0.94,57.8,2.4,WAS,W,@CHI,-3.0,NYG,-8.0,0.91593633585573
0.89,53.8,0.4,PHI,W,NYG,-1.0,DAL,-4.0,0.45547119345132
0.84,65.9,35.5,SD,L,@CLE,-4.5,KC,5.5,0.0
0.81,34.1,0.2,CLE,W,SD,4.5,@PIT,6.0,0.0
0.76,46.2,1.2,NYG,L,@PHI,1.0,@WAS,8.0,0.0
0.71,42.2,0.2,CHI,L,WAS,3.0,@MIN,5.5,0.0
0.68,41.4,0.2,CAR,L,ATL,3.0,@TB,6.0,0.0
0.68,34.7,0.7,JAX,W,TEN,4.5,@IND,4.5,0.0
0.67,40.5,0.1,CIN,L,@HOU,3.0,BAL,-2.5,0.20227261584665
0.67,37.7,0.1,IND,L,@OAK,3.5,JAX,-4.5,0.58975411350667
0.63,37.7,0.2,TB,L,@NO,3.0,CAR,-6.0,0.65679396104494
0.6,36.0,0.1,DEN,L,@KC,3.5,OAK,0.0,0.08181432447885
0.54,31.4,0.2,SF,W,@LAR,5.5,SEA,10.0,0.0
0.54,32.5,0.1,MIA,W,@BUF,4.5,NE,10.0,0.0
0.54,29.5,0.0,MIN,L,@GB,6.5,CHI,-5.5,0.61301134385654
0.52,28.8,0.1,DET,L,@DAL,6.5,GB,3.5,0.0
0.5,29.9,0.1,BAL,L,@PIT,5.5,@CIN,2.5,0.0
0.39,21.9,0.0,ARI,W,@SEA,8.5,@LAR,-6.0,0.65679396104494
0.16,8.5,0.0,NYJ,L,@NE,17.0,BUF,3.5,0.0
