EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,76.1,9.1,GB,L,NYJ,-7.5,@WAS,-4.5,@BUF,7.0,@DET,-5.5,DAL,-2.5,TEN,-5.0,@PHI,3.5,@CHI,-6.5,BYE,,LAR,-4.0,@MIA,-0.5,MIN,-3.0,DET,-9.5,0.42652504140463
1.12,72.4,1.7,PHI,W,DAL,-6.5,BYE,,PIT,-13.0,@HOU,-9.5,WAS,-10.0,@IND,-3.5,GB,-3.5,TEN,-7.0,@NYG,-5.0,@CHI,-7.5,@DAL,0.5,NO,-8.0,NYG,-9.5,0.77097531650055
1.05,68.2,2.6,BAL,L,@NYG,-5.5,CLE,-6.5,@TB,3.5,@NO,-3.0,BYE,,CAR,-11.5,@JAX,-3.0,DEN,-6.5,@PIT,-6.5,@CLE,-1.5,ATL,-10.0,PIT,-10.0,@CIN,1.5,0.57307968510314
1.02,77.6,30.6,TB,L,@PIT,-10.0,@CAR,-10.5,BAL,-3.5,LAR,-5.5,SEA,-10.0,BYE,,@CLE,-3.0,NO,-7.0,@SF,2.0,CIN,-4.0,@ARI,-3.5,CAR,-13.0,@ATL,-7.0,0.67327137106737
1.01,78.1,34.0,LAR,W,CAR,-10.0,BYE,,SF,-0.5,@TB,5.5,ARI,-4.5,@NO,-0.5,@KC,6.5,SEA,-8.0,LV,-4.0,@GB,4.0,DEN,-3.5,@LAC,3.0,@SEA,-3.5,0.26853051749089
0.96,63.6,4.6,LAC,W,DEN,-3.5,SEA,-6.0,BYE,,@ATL,-4.5,@SF,4.0,KC,2.5,@ARI,-1.5,@LV,-0.5,MIA,-3.5,TEN,-3.5,@IND,0.5,LAR,-3.0,@DEN,-0.5,0.23972319535911
0.94,61.0,2.2,MIN,W,@MIA,-3.0,BYE,,ARI,-7.0,@WAS,-4.0,@BUF,7.0,DAL,-3.0,NE,-6.0,NYJ,-9.5,@DET,-5.0,IND,-4.5,NYG,-7.0,@GB,3.0,@CHI,-6.5,0.54596099743314
0.94,60.3,1.0,CIN,W,@NO,-3.0,ATL,-6.5,@CLE,-3.0,CAR,-9.5,BYE,,@PIT,-6.5,@TEN,-0.5,KC,1.5,CLE,-4.0,@TB,4.0,@NE,-1.5,BUF,3.5,BAL,-1.5,0.32306845967726
0.92,63.8,9.5,SF,L,@ATL,-4.0,KC,3.0,@LAR,0.5,BYE,,LAC,-4.0,ARI,-4.0,NO,-7.0,MIA,-5.0,TB,-2.0,@SEA,-6.5,WAS,-9.5,@LV,-3.0,ARI,-7.0,0.49375491396106
0.91,58.3,0.1,BUF,W,@KC,-2.5,BYE,,GB,-7.0,@NYJ,-10.5,MIN,-7.0,CLE,-11.5,@DET,-10.5,@NE,-6.5,NYJ,-14.5,MIA,-9.5,@CHI,-12.0,@CIN,-3.5,NE,-10.5,1.0
0.9,57.8,0.4,CLE,L,NE,-2.5,@BAL,6.5,CIN,3.0,BYE,,@MIA,4.0,@BUF,11.5,TB,3.0,@HOU,-4.0,@CIN,4.0,BAL,1.5,NO,-3.5,@WAS,-2.5,@PIT,-3.5,0.14335750314533
0.86,55.0,0.8,ARI,L,@SEA,-2.5,NO,-1.0,@MIN,7.0,SEA,-6.0,@LAR,4.5,SF,4.0,LAC,1.5,BYE,,NE,-3.0,@DEN,3.0,TB,3.5,@ATL,-2.0,@SF,7.0,0.10473319098258
0.84,54.0,0.8,IND,W,JAX,-1.0,@TEN,2.0,WAS,-6.0,@NE,3.0,@LV,3.0,PHI,3.5,PIT,-6.5,@DAL,5.0,BYE,,@MIN,4.5,LAC,-0.5,@NYG,1.0,HOU,-8.0,0.2130259244668
0.83,52.8,0.5,WAS,W,@CHI,-1.0,GB,4.5,@IND,6.0,MIN,4.0,@PHI,10.0,@HOU,-1.0,ATL,-3.5,@NYG,3.5,BYE,,NYG,-1.5,@SF,9.5,CLE,2.5,DAL,4.0,0.05234641986187
0.73,47.2,1.0,CHI,L,WAS,1.0,@NE,7.5,@DAL,9.5,MIA,3.5,DET,-1.5,@ATL,3.0,@NYJ,3.5,GB,6.5,BYE,,PHI,7.5,BUF,12.0,@DET,3.5,MIN,6.5,0.011261088875492
