EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.05,75.8,5.7,KC,W,@DET,-7.5,IND,-11.0,HOU,-6.0,@DEN,-7.5,GB,-4.0,MIN,-4.0,@TEN,-4.5,LAC,-3.0,BYE,,OAK,-12.5,@NE,4.0,DEN,-12.0,@CHI,-1.5,LAC,-6.5,0.6953524222081
1.05,73.8,1.5,NE,W,@BUF,-7.0,@WAS,-15.0,NYG,-14.0,@NYJ,-14.0,CLE,-9.5,@BAL,-3.5,BYE,,@PHI,-3.5,DAL,-6.0,@HOU,-4.0,KC,-4.0,@CIN,-10.0,BUF,-9.5,MIA,-18.5,1.0
1.05,74.4,3.6,BAL,L,CLE,-7.5,@PIT,-3.5,CIN,-9.5,@SEA,1.5,BYE,,NE,3.5,@CIN,-6.0,HOU,-3.0,@LAR,3.5,SF,-3.0,@BUF,-0.5,NYJ,-13.5,@CLE,0.5,PIT,-9.5,0.44904319084792
1.03,86.0,43.8,LAC,W,@MIA,-15.0,DEN,-6.0,PIT,-8.0,@TEN,-1.0,@CHI,3.0,GB,-1.0,@OAK,-4.0,KC,3.0,BYE,,@DEN,-4.0,@JAX,-3.0,MIN,-1.0,OAK,-8.0,@KC,6.5,0.36934406410044
0.98,79.2,28.9,LAR,L,TB,-9.0,@SEA,2.0,SF,-4.0,@ATL,-3.0,CIN,-11.5,BYE,,@PIT,-7.0,CHI,-3.5,BAL,-3.5,@ARI,-9.5,SEA,-5.0,@DAL,3.0,@SF,-0.5,ARI,-13.5,0.58088526153427
0.97,68.5,1.9,HOU,L,CAR,-5.5,ATL,-5.0,@KC,6.0,@IND,1.0,OAK,-8.0,JAX,-3.0,BYE,,@BAL,3.0,IND,-3.5,NE,4.0,DEN,-9.0,@TEN,-2.0,@TB,-3.5,TEN,-6.0,0.39888727988326
0.97,68.5,2.4,SEA,W,@ARI,-5.5,LAR,-2.0,@CLE,1.5,BAL,-1.5,@ATL,1.0,TB,-7.0,@SF,3.0,BYE,,@PHI,3.0,MIN,-1.0,@LAR,5.0,@CAR,-0.5,ARI,-10.0,SF,-2.5,0.2139899727812
0.96,69.6,6.5,IND,L,OAK,-6.0,@KC,11.0,BYE,,HOU,-1.0,DEN,-7.0,@PIT,-3.5,MIA,-15.0,JAX,-5.0,@HOU,3.5,TEN,-3.5,@TB,-2.0,@NO,3.5,CAR,-3.5,@JAX,-1.5,0.39434215579669
0.91,64.1,1.6,GB,L,PHI,-3.5,@DAL,3.5,DET,-7.0,OAK,-9.5,@KC,4.0,@LAC,1.0,CAR,-7.0,BYE,,@SF,1.5,@NYG,-6.5,WAS,-11.5,CHI,-3.0,@MIN,2.5,@DET,-3.0,0.4671552641931
0.89,62.5,0.9,PIT,W,CIN,-3.5,BAL,3.5,@LAC,8.0,BYE,,MIA,-12.0,IND,3.5,LAR,7.0,@CLE,7.0,@CIN,1.0,CLE,3.5,@ARI,1.0,BUF,3.5,@NYJ,-3.0,@BAL,9.5,0.1332109612005
0.87,61.5,1.0,NYG,W,WAS,-3.5,MIN,5.5,@NE,14.0,ARI,-3.5,@DET,4.5,DAL,7.0,@NYJ,-3.0,BYE,,@CHI,9.5,GB,6.5,@PHI,8.0,MIA,-11.0,@WAS,-0.5,PHI,4.0,0.17050614599122
