EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.16,86.4,18.0,BAL,W,IND,-13.5,CIN,-10.0,0.74177552685841
1.14,82.1,4.7,NE,W,BUF,-11.0,NYJ,-16.5,1.0
1.11,79.5,1.2,PHI,W,OAK,-10.0,DAL,2.5,0.0
1.11,79.2,1.4,MIN,W,@GB,-9.5,CHI,-11.5,0.83573861120019
1.11,81.9,12.1,KC,W,MIA,-11.0,@DEN,3.5,0.0
1.09,78.1,2.5,PIT,W,@HOU,-8.0,CLE,-14.0,0.91213875969506
1.02,73.2,3.0,LAC,W,@NYJ,-7.5,OAK,-8.0,0.66907581440916
1.0,79.9,28.7,CAR,W,TB,-10.0,@ATL,4.0,0.0
0.96,68.5,3.5,LAR,W,@TEN,-5.5,SF,-4.0,0.33465072400665
0.95,67.5,0.1,NO,W,ATL,-5.5,@TB,-7.5,0.59831111740812
0.92,65.9,1.8,JAX,L,@SF,-4.0,@TEN,6.0,0.0
0.91,65.3,0.9,DAL,L,SEA,-3.5,@PHI,-2.5,0.20315745019393
0.91,68.6,11.9,CHI,W,CLE,-5.5,@MIN,11.5,0.0
0.87,62.3,1.1,DET,L,@CIN,-3.5,GB,-7.0,0.5671166104237
0.86,61.9,2.3,ARI,W,NYG,-3.0,@SEA,8.0,0.0
0.85,61.1,1.0,WAS,W,DEN,-3.0,@NYG,-3.5,0.29798239188579
0.55,38.9,0.3,DEN,L,@WAS,3.0,KC,-3.5,0.30506871313326
0.55,38.1,0.4,NYG,L,@ARI,3.0,WAS,3.5,0.0
0.53,37.7,0.2,CIN,W,DET,3.5,@BAL,10.0,0.0
0.5,31.4,0.5,CLE,L,@CHI,5.5,@PIT,14.0,0.0
0.49,34.7,0.1,SEA,W,@DAL,3.5,ARI,-8.0,0.65054739505968
0.49,34.1,0.4,SF,W,JAX,4.0,@LAR,4.0,0.0
0.46,32.5,0.3,ATL,L,@NO,5.5,CAR,-4.0,0.3736161279288
0.45,31.5,2.2,TEN,L,LAR,5.5,JAX,-6.0,0.50890038669393
0.4,20.1,0.2,TB,L,@CAR,10.0,NO,7.5,0.0
0.39,26.8,0.3,NYJ,L,LAC,7.5,@NE,16.5,0.0
0.32,21.9,0.1,HOU,L,PIT,8.0,@IND,4.5,0.0
0.3,18.1,0.1,MIA,L,@KC,11.0,BUF,3.0,0.0
0.3,20.8,0.4,GB,L,MIN,9.5,@DET,7.0,0.0
0.29,20.5,0.3,OAK,L,@PHI,10.0,@LAC,8.0,0.0
0.27,17.9,0.0,BUF,L,@NE,11.0,@MIA,-3.0,0.20773520530121
0.25,13.6,0.2,IND,L,@BAL,13.5,HOU,-4.5,0.39898706685536
