EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,84.2,20.8,SD,L,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
1.15,80.3,7.4,GB,W,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.62203999972181
1.11,76.2,2.1,KC,W,DEN,-10.0,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.27704969255028
1.1,75.2,1.6,NYG,W,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.3410541261825
1.07,74.1,3.0,NO,W,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.49870654758075
1.02,70.1,1.6,IND,L,DAL,-6.0,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.57746037967921
0.99,67.7,0.6,MIA,L,CLE,-5.0,@NYJ,5.0,BUF,-4.5,DET,-3.5,@NE,5.5,0.28679195752796
0.99,76.8,27.5,PHI,W,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.50553729734297
0.98,67.4,2.3,MIN,W,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.0
0.96,65.6,0.2,NE,W,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.85124152105251
0.92,62.7,0.0,BAL,L,PIT,-3.0,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.53478758997816
0.92,62.6,0.8,STL,W,@ARI,-3.5,@NO,9.5,KC,-3.0,SF,-2.5,@SEA,-3.0,0.24744574547068
0.91,62.1,0.0,TEN,L,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.022422861516667
0.9,66.1,12.0,CHI,W,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.23614968690815
0.87,59.5,0.4,ATL,W,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.80251574857231
0.86,66.1,19.0,SEA,W,CAR,-5.0,@SF,5.0,ATL,6.5,@TB,6.0,STL,3.0,0.0
0.61,33.9,0.0,CAR,L,@SEA,5.0,ATL,9.0,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.071000333467159
0.6,40.5,0.0,TB,L,ATL,3.0,@WAS,-1.0,DET,-4.0,SEA,-6.0,@NO,7.5,0.32525228222334
0.57,33.9,0.0,DET,L,CHI,4.5,GB,7.0,@TB,4.0,@MIA,3.5,MIN,-3.5,0.13086102236956
0.55,37.9,0.3,JAX,W,@TEN,3.5,OAK,-3.5,@IND,5.0,WAS,-7.0,@HOU,5.0,0.34787892597978
0.55,37.4,0.0,ARI,L,STL,3.5,DEN,4.5,@CAR,2.5,DAL,7.5,@SF,6.0,0.0
0.55,37.3,0.1,PIT,W,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.91573807483702
0.51,34.4,0.1,NYJ,L,@NE,4.0,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.19330505401758
0.49,32.6,0.0,BUF,L,@MIN,5.0,CLE,0.0,@MIA,4.5,NE,7.5,@NYJ,6.5,0.01619655886961
0.48,23.2,0.0,HOU,L,@PHI,8.0,BAL,3.0,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.19204853237592
0.48,32.3,0.1,CLE,W,@MIA,5.0,@BUF,0.0,@CIN,1.0,BAL,3.5,PIT,5.5,0.0
0.45,29.9,0.0,DAL,W,@IND,6.0,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.47954059129602
0.4,25.9,0.0,CIN,L,NO,7.0,@PIT,9.0,CLE,-1.0,SD,8.5,@BAL,9.5,0.01619655886961
0.37,24.8,0.0,WAS,L,@NYG,7.5,TB,1.0,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.36,23.8,0.0,DEN,L,@KC,10.0,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.13592471924174
0.32,19.7,0.0,SF,L,@GB,9.5,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.32608988682903
0.32,15.8,0.0,OAK,W,@SD,13.0,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.24316539280222
