EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.29,85.6,14.9,KC,W,@HOU,-14.5,SEA,-10.0,DEN,-12.0,@LV,-4.5,1.0
1.18,77.1,6.4,PHI,W,@CHI,-8.5,@DAL,5.5,NO,-9.5,NYG,-12.0,0.82255679575259
1.15,74.2,2.8,BUF,W,MIA,-7.0,@CHI,-8.5,@CIN,-1.5,NE,-9.0,0.75265681911365
1.14,75.7,10.1,GB,W,LAR,-8.0,@MIA,4.0,MIN,-1.5,DET,-4.0,0.2047102856938
1.01,64.7,1.6,DAL,L,@JAX,-4.0,PHI,-5.5,@TEN,-3.5,@WAS,-4.0,0.53965427236351
0.99,66.9,9.7,NO,W,ATL,-4.5,@CLE,3.0,@PHI,9.5,CAR,-3.5,0.13207289559313
0.97,65.5,9.2,WAS,L,NYG,-4.5,@SF,7.5,CLE,-0.5,DAL,4.0,0.015254815558236
0.97,62.3,2.1,CIN,W,@TB,-3.5,@NE,-3.5,BUF,1.5,BAL,-3.5,0.29020423576196
0.93,61.5,6.0,SF,W,@SEA,-3.0,WAS,-7.5,@LV,-2.5,ARI,-9.5,0.76761685958121
0.91,58.0,0.5,CLE,W,BAL,-2.5,NO,-3.0,@WAS,0.5,@PIT,-1.5,0.14789080311105
0.91,59.0,2.8,LAC,W,TEN,-3.0,@IND,-4.0,LAR,-5.5,@DEN,-1.0,0.45761011477732
0.9,57.6,1.6,CAR,L,PIT,-2.5,DET,3.0,@TB,6.0,@NO,3.5,0.0
0.86,55.0,1.1,LV,W,NE,-1.0,@PIT,3.0,SF,2.5,KC,4.5,0.0
0.86,63.5,22.3,MIN,W,IND,-3.5,NYG,-3.0,@GB,1.5,@CHI,-4.0,0.34371258396266
0.85,53.6,1.6,NYJ,L,DET,-1.0,JAX,1.0,@SEA,3.0,@MIA,5.0,0.0
0.84,53.5,0.5,DEN,W,ARI,-1.5,@LAR,-1.0,@KC,12.0,LAC,1.0,0.057706580066081
0.73,46.5,0.8,ARI,L,@DEN,1.5,TB,6.0,@ATL,1.5,@SF,9.5,0.0
0.73,46.4,2.1,DET,W,@NYJ,1.0,@CAR,-3.0,CHI,-5.0,@GB,4.0,0.30778540156316
0.71,36.5,0.2,IND,L,@MIN,3.5,LAC,4.0,@NYG,1.5,HOU,-7.5,0.31117741916562
0.71,45.0,0.6,NE,L,@LV,1.0,CIN,3.5,MIA,-2.5,@BUF,9.0,0.06844362053578
0.67,42.4,1.1,PIT,W,@CAR,2.5,LV,-3.0,@BAL,7.5,CLE,1.5,0.096073758943907
0.66,41.0,0.1,TEN,L,@LAC,3.0,HOU,-5.5,DAL,3.5,@JAX,0.5,0.23776004515071
0.66,42.0,0.5,BAL,L,@CLE,2.5,ATL,-7.5,PIT,-7.5,@CIN,3.5,0.64326029412603
0.64,38.5,0.4,SEA,L,SF,3.0,@KC,10.0,NYJ,-3.0,LAR,-3.0,0.21725188405643
0.6,37.7,0.2,TB,L,CIN,3.5,@ARI,-6.0,CAR,-6.0,@ATL,-4.0,0.66621782306744
0.6,34.5,0.5,NYG,W,@WAS,4.5,@MIN,3.0,IND,-1.5,@PHI,12.0,0.052402564790409
0.58,33.1,0.1,ATL,L,@NO,4.5,@BAL,7.5,ARI,-1.5,TB,4.0,0.047773587037975
0.56,35.3,0.1,JAX,W,DAL,4.0,@NYJ,-1.0,@HOU,-3.5,TEN,-0.5,0.16736931868142
0.44,24.3,0.1,LAR,L,@GB,8.0,DEN,1.0,@LAC,5.5,@SEA,3.0,0.0
0.42,25.8,0.0,MIA,L,@BUF,7.0,GB,-4.0,@NE,2.5,NYJ,-5.0,0.4088497241669
0.39,22.9,0.1,CHI,L,PHI,8.5,BUF,8.5,@DET,5.0,MIN,4.0,0.0
0.29,14.4,0.0,HOU,L,KC,14.5,@TEN,5.5,JAX,3.5,@IND,7.5,0.0
