EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,72.2,0.9,LAR,W,CHI,-6.5,@MIA,-4.0,BYE,,SEA,-2.5,@TB,3.0,SF,-4.5,@ARI,0.5,NE,-3.5,NYJ,-14.5,@SEA,3.0,ARI,-3.5,0.39515551906881
1.09,74.3,9.1,NO,W,CAR,-7.0,@CHI,-4.0,@TB,3.0,SF,-4.0,ATL,-6.5,@DEN,-4.0,@ATL,-3.0,@PHI,-3.5,KC,3.5,MIN,-6.5,@CAR,-3.5,0.45555213601596
1.07,76.2,16.7,LAC,W,JAX,-8.0,@DEN,-3.0,LV,-3.5,@MIA,-1.5,NYJ,-10.5,@BUF,4.0,NE,-1.0,ATL,-3.5,@LV,1.5,DEN,-6.0,@KC,10.0,0.34483432732063
1.06,73.5,12.4,KC,W,@DEN,-7.0,NYJ,-19.5,CAR,-13.5,BYE,,@LV,-7.5,@TB,-3.0,DEN,-14.5,@MIA,-9.5,@NO,-3.5,ATL,-13.0,LAC,-10.0,1.0
1.01,67.2,5.3,PHI,W,NYG,-5.0,DAL,-7.5,BYE,,@NYG,-1.0,@CLE,5.5,SEA,4.0,@GB,8.0,NO,3.5,@ARI,6.5,@DAL,3.0,WAS,-5.0,0.16547007266761
1.0,64.6,0.6,TB,W,@LV,-4.0,@NYG,-10.5,NO,-3.0,@CAR,-3.5,LAR,-3.0,KC,3.0,BYE,,MIN,-7.0,@ATL,-3.5,@DET,-3.0,ATL,-7.0,0.48267863373886
0.98,63.1,0.6,SEA,L,@ARI,-3.5,SF,-3.0,@BUF,1.5,@LAR,2.5,ARI,-4.0,@PHI,-4.0,NYG,-12.0,NYJ,-15.0,@WAS,-7.0,LAR,-3.0,@SF,-2.0,0.58512083948393
0.97,63.4,1.9,CLE,W,@CIN,-3.5,LV,-2.5,BYE,,HOU,-3.5,PHI,-5.5,@JAX,-5.0,@TEN,3.0,BAL,3.5,@NYG,-4.0,@NYJ,-7.0,PIT,2.0,0.35916299035666
0.96,80.1,47.3,BUF,W,@NYJ,-10.5,NE,-4.0,SEA,-1.5,@ARI,1.5,BYE,,LAC,-4.0,@SF,1.0,PIT,-1.0,@DEN,-3.5,@NE,2.0,MIA,-7.0,0.27010266285533
0.94,60.2,0.2,NE,L,SF,-3.0,@BUF,4.0,@NYJ,-8.0,BAL,3.5,@HOU,0.5,ARI,-3.0,@LAC,1.0,@LAR,3.5,@MIA,-3.0,BUF,-2.0,NYJ,-13.5,0.33478661839989
0.88,57.9,3.0,GB,W,@HOU,-3.0,MIN,-6.5,@SF,-2.5,JAX,-13.5,@IND,0.5,CHI,-7.0,PHI,-8.0,@DET,-3.5,CAR,-8.0,TEN,-4.0,@CHI,-3.5,0.67909239694031
0.82,52.6,0.5,ATL,L,DET,-1.0,@CAR,2.5,DEN,-3.5,BYE,,@NO,6.5,LV,-2.5,NO,3.0,@LAC,3.5,TB,3.5,@KC,13.0,@TB,7.0,0.067643688549908
0.81,51.6,0.1,TEN,L,PIT,-1.0,@CIN,-6.0,CHI,-4.0,IND,-3.0,@BAL,6.5,@IND,3.0,CLE,-3.0,@JAX,-6.5,DET,-6.0,@GB,4.0,@HOU,-0.5,0.3455045945923
0.79,50.0,0.2,WAS,W,DAL,-1.0,BYE,,NYG,-3.0,@DET,6.0,CIN,-1.5,@DAL,6.0,@PIT,10.5,@SF,7.5,SEA,7.0,CAR,1.5,@PHI,5.0,0.044664691909898
0.78,50.0,0.7,DAL,L,@WAS,1.0,@PHI,7.5,PIT,3.5,BYE,,@MIN,3.0,WAS,-6.0,@BAL,10.0,@CIN,-0.5,SF,-0.5,PHI,-3.0,@NYG,-2.0,0.13274912769075
0.76,48.4,0.1,PIT,W,@TEN,1.0,@BAL,3.5,@DAL,-3.5,CIN,-9.5,@JAX,-7.5,BAL,1.0,WAS,-10.5,@BUF,1.0,@CIN,-6.0,IND,-4.0,@CLE,-2.0,0.53661548528176
0.75,47.4,0.1,DET,W,@ATL,1.0,IND,2.5,@MIN,3.0,WAS,-6.0,@CAR,2.0,HOU,-1.5,@CHI,3.0,GB,3.5,@TEN,6.0,TB,3.0,MIN,-2.5,0.11282570634381
0.69,42.1,0.0,HOU,L,GB,3.0,BYE,,@JAX,-4.0,@CLE,3.5,NE,-0.5,@DET,1.5,IND,-0.5,@CHI,2.0,@IND,4.0,CIN,-6.0,TEN,0.5,0.12985314684739
0.62,39.8,0.0,SF,W,@NE,3.0,@SEA,3.0,GB,2.5,@NO,4.0,BYE,,@LAR,4.5,BUF,-1.0,WAS,-7.5,@DAL,0.5,@ARI,3.0,SEA,2.0,0.10323748921546
0.6,19.9,0.0,NYJ,L,BUF,10.5,@KC,19.5,NE,8.0,BYE,,@LAC,10.5,MIA,3.5,LV,5.0,@SEA,15.0,@LAR,14.5,CLE,7.0,@NE,13.5,0.0
0.59,36.6,0.0,CIN,L,CLE,3.5,TEN,6.0,BYE,,@PIT,9.5,@WAS,1.5,NYG,-3.5,@MIA,3.5,DAL,0.5,PIT,6.0,@HOU,6.0,BAL,9.5,0.042743436172074
0.58,36.9,0.0,ARI,W,SEA,3.5,BYE,,MIA,-6.5,BUF,-1.5,@SEA,4.0,@NE,3.0,LAR,-0.5,@NYG,-4.0,PHI,-6.5,SF,-3.0,@LAR,3.5,0.26440423393923
0.56,35.4,0.0,LV,L,TB,4.0,@CLE,2.5,@LAC,3.5,DEN,-4.0,KC,7.5,@ATL,2.5,@NYJ,-5.0,IND,1.0,LAC,-1.5,MIA,-3.5,@DEN,-0.5,0.18400000569227
0.56,32.8,0.0,NYG,L,@PHI,5.0,TB,10.5,@WAS,3.0,PHI,1.0,BYE,,@CIN,3.5,@SEA,12.0,ARI,4.0,CLE,4.0,@BAL,15.5,DAL,2.0,0.0
0.51,26.5,0.0,DEN,L,KC,7.0,LAC,3.0,@ATL,3.5,@LV,4.0,MIA,-2.5,NO,4.0,@KC,14.5,@CAR,3.0,BUF,3.5,@LAC,6.0,LV,0.5,0.023234846662177
