EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.19,82.8,3.5,KC,L,LV,-11.0,CIN,-7.0,@LAC,-3.5,0.47987835212892
1.18,84.4,12.1,BUF,W,@LAC,-13.0,NE,-12.0,@MIA,2.0,0.47866305931292
1.1,84.9,30.8,PHI,W,NYG,-14.0,ARI,-11.0,@NYG,-14.0,1.0
1.03,70.6,0.2,SF,L,BAL,-6.5,@WAS,-13.5,LAR,-8.0,0.88100975923796
0.96,67.2,3.3,CHI,W,ARI,-4.5,ATL,-3.0,@GB,3.5,0.14265967532868
0.94,65.2,1.8,LAR,W,NO,-4.0,@NYG,-6.0,@SF,8.0,0.26059194472747
0.93,74.3,28.4,DEN,L,NE,-7.0,LAC,-5.0,@LV,3.0,0.23618981317323
0.86,64.0,12.6,GB,W,@CAR,-3.5,@MIN,2.5,CHI,-3.5,0.16291971173043
0.85,58.6,0.6,SEA,W,@TEN,-3.0,PIT,-3.5,@ARI,-3.5,0.36885281754117
0.85,58.4,0.8,ATL,W,IND,-3.0,@CHI,3.0,@NO,3.0,0.0
0.84,58.2,0.7,NYJ,W,WAS,-3.0,@CLE,7.0,@NE,2.5,0.0
0.84,57.5,0.4,CLE,W,@HOU,-3.0,NYJ,-7.0,@CIN,3.0,0.34910906087413
0.82,56.9,1.0,CIN,L,@PIT,-3.0,@KC,7.0,CLE,-3.0,0.1161027364544
0.81,55.9,0.3,DET,W,@MIN,-2.5,@DAL,6.0,MIN,-6.5,0.29781102053497
0.79,54.5,0.0,MIA,W,DAL,-1.0,@BAL,4.0,BUF,-2.0,0.074491349285888
0.78,53.9,0.3,JAX,L,@TB,-1.5,CAR,-7.0,@TEN,-0.5,0.32933843786387
0.67,46.1,0.2,TB,W,JAX,1.5,NO,-3.0,@CAR,-3.0,0.27004209845572
0.66,45.5,0.1,DAL,L,@MIA,1.0,DET,-6.0,@WAS,-8.0,0.67897155610744
0.64,44.1,0.2,MIN,L,DET,2.5,GB,-2.5,@DET,6.5,0.06602182322465
0.63,43.1,0.2,PIT,W,CIN,3.0,@SEA,3.5,@BAL,6.5,0.0
0.62,42.5,0.3,HOU,L,CLE,3.0,TEN,-3.5,@IND,3.5,0.17675333675208
0.61,41.8,0.1,WAS,L,@NYJ,3.0,SF,13.5,DAL,8.0,0.0
0.61,41.6,0.5,IND,L,@ATL,3.0,LV,-3.0,HOU,-3.5,0.27245917482779
0.61,41.4,0.2,TEN,L,SEA,3.0,@HOU,3.5,JAX,0.5,0.0
0.6,36.0,0.1,CAR,L,GB,3.5,@JAX,7.0,TB,3.0,0.0
0.53,25.7,0.4,NE,W,@DEN,7.0,@BUF,12.0,NYJ,-2.5,0.077997719389918
0.52,34.8,0.1,NO,L,@LAR,4.0,@TB,3.0,ATL,-3.0,0.13447975614136
0.5,32.8,0.3,ARI,L,@CHI,4.5,@PHI,11.0,SEA,3.5,0.0
0.43,29.4,0.1,BAL,W,@SF,6.5,MIA,-4.0,PIT,-6.5,0.4832561142575
0.35,15.1,0.1,NYG,L,@PHI,14.0,LAR,6.0,PHI,14.0,0.0
0.28,15.6,0.0,LAC,L,BUF,13.0,@DEN,5.0,KC,3.5,0.0
0.26,17.2,0.1,LV,W,@KC,11.0,@IND,3.0,DEN,-3.0,0.093089664630287
