EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.2,89.5,12.7,SEA,W,LAR,-15.0,ARI,-8.0,@SF,-9.5,0.91593109707132
1.03,79.5,15.9,BUF,W,CLE,-10.5,MIA,-3.5,@NYJ,-3.0,0.34767928299156
1.0,72.3,0.8,WAS,L,CAR,-7.0,@CHI,-3.0,NYG,-3.0,0.35110246142571
1.0,86.8,50.9,ATL,W,SF,-13.5,@CAR,-2.0,NO,-5.5,0.39106925489115
0.99,72.2,2.1,DAL,W,TB,-7.0,DET,-7.5,@PHI,-3.0,0.52627115779806
0.95,69.6,2.2,KC,L,TEN,-6.0,DEN,-4.0,@SD,-2.0,0.3302371794438
0.94,68.3,0.7,MIN,L,IND,-5.0,@GB,6.5,CHI,-6.5,0.33191647555152
0.93,67.6,1.7,BAL,W,PHI,-5.0,@PIT,4.5,@CIN,2.0,0.0
0.91,66.4,2.4,GB,W,@CHI,-4.5,MIN,-6.5,@DET,-1.0,0.38885901451247
0.89,64.6,0.5,NYG,W,DET,-4.0,@PHI,-2.5,@WAS,3.0,0.14686905835831
0.83,63.0,7.0,HOU,W,JAX,-3.5,CIN,-1.0,@TEN,3.5,0.058247000875266
0.82,59.2,0.3,PIT,W,@CIN,-3.0,BAL,-4.5,CLE,-15.0,0.9236655392945
0.81,58.6,0.3,ARI,L,NO,-3.0,@SEA,8.0,@LAR,-3.5,0.21218808949075
0.81,58.4,0.1,NE,W,@DEN,-3.0,NYJ,-16.5,@MIA,-6.5,1.0
0.78,56.2,0.2,MIA,W,@NYJ,-2.5,@BUF,3.5,NE,6.5,0.0
0.76,55.4,0.8,OAK,W,@SD,-2.5,IND,-3.5,@DEN,3.0,0.22164486763136
0.62,44.6,0.1,SD,L,OAK,2.5,@CLE,-6.0,KC,2.0,0.3096302547426
0.61,43.8,0.3,NYJ,L,MIA,2.5,@NE,16.5,BUF,3.0,0.0
0.58,41.6,0.0,DEN,L,NE,3.0,@KC,4.0,OAK,-3.0,0.12954293816244
0.58,41.4,0.0,NO,W,@ARI,3.0,TB,-3.0,@ATL,5.5,0.12996753501973
0.57,40.8,0.0,CIN,L,PIT,3.0,@HOU,1.0,BAL,-2.0,0.086575717185728
0.55,37.0,0.1,JAX,L,@HOU,3.5,TEN,4.5,@IND,5.0,0.0
0.49,35.4,0.0,DET,L,@NYG,4.0,@DAL,7.5,GB,1.0,0.0
0.48,33.6,0.0,CHI,L,GB,4.5,WAS,3.0,@MIN,6.5,0.0
0.46,32.4,0.1,PHI,L,@BAL,5.0,NYG,2.5,DAL,3.0,0.0
0.44,31.7,0.1,IND,W,@MIN,5.0,@OAK,3.5,JAX,-5.0,0.28100330472663
0.43,30.4,0.0,TEN,W,@KC,6.0,@JAX,-4.5,HOU,-3.5,0.49446016388535
0.4,27.8,0.1,TB,L,@DAL,7.0,@NO,3.0,CAR,-1.5,0.059063046012832
0.39,13.2,0.0,SF,L,@ATL,13.5,@LAR,4.0,SEA,9.5,0.0
0.39,27.7,0.2,CAR,W,@WAS,7.0,ATL,2.0,@TB,1.5,0.0
0.36,20.5,0.1,CLE,L,@BUF,10.5,SD,6.0,@PIT,15.0,0.0
0.18,10.5,0.0,LAR,L,@SEA,15.0,SF,-4.0,ARI,3.5,0.23799442709725
