EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.07,83.8,23.3,KC,W,CHI,-13.0,@NYJ,-10.0,@MIN,-4.5,DEN,-9.5,LAC,-6.5,@DEN,-5.0,MIA,-4.0,BYE,,PHI,-3.0,@LV,-6.0,@GB,-4.0,BUF,-3.5,@NE,-6.5,LV,-9.5,CIN,-4.0,@LAC,-3.0,1.0
1.07,82.0,16.6,DAL,L,@ARI,-11.0,NE,-7.0,@SF,3.0,@LAC,-1.0,BYE,,LAR,-8.0,@PHI,3.0,NYG,-8.0,@CAR,-6.5,WAS,-7.0,SEA,-6.0,PHI,-2.0,@BUF,3.0,@MIA,1.5,DET,-4.0,@WAS,-3.5,0.7102014250075
1.05,80.8,16.0,SF,W,NYG,-10.5,ARI,-14.0,DAL,-3.0,@CLE,-2.0,@MIN,-3.5,CIN,-3.5,BYE,,@JAX,-2.0,TB,-8.0,@SEA,-3.0,@PHI,2.5,SEA,-6.5,@ARI,-9.5,BAL,-3.5,@WAS,-4.0,LAR,-9.5,0.8828738510961
1.01,75.3,5.1,BAL,L,IND,-7.5,@CLE,2.5,@PIT,-2.0,@TEN,-4.0,DET,-3.5,@ARI,-8.5,SEA,-4.5,CLE,-3.5,CIN,-2.0,@LAC,0.5,BYE,,LAR,-8.0,@JAX,0.5,@SF,3.5,MIA,-2.5,PIT,-5.0,0.56384487194424
0.95,69.2,0.5,PHI,W,@TB,-5.5,WAS,-8.5,@LAR,-6.5,@NYJ,-3.5,MIA,-3.5,@WAS,-4.0,DAL,-3.0,BYE,,@KC,3.0,BUF,-3.0,SF,-2.5,@DAL,2.0,@SEA,-3.0,NYG,-9.5,ARI,-13.5,@NYG,-6.0,0.81701788597576
0.95,75.9,22.0,JAX,L,HOU,-7.5,ATL,-3.0,@BUF,4.0,IND,-7.5,@NO,3.0,@PIT,1.0,BYE,,SF,2.0,TEN,-5.5,@HOU,-7.0,CIN,-0.5,@CLE,2.5,BAL,-0.5,@TB,-3.0,CAR,-8.0,@TEN,-2.0,0.46547497712494
0.93,69.7,4.9,MIA,W,DEN,-6.0,@BUF,2.5,NYG,-8.0,CAR,-9.5,@PHI,3.5,NE,-7.0,@KC,4.0,BYE,,LV,-7.0,@NYJ,-2.5,@WAS,-3.5,TEN,-7.0,NYJ,-5.0,DAL,-1.5,@BAL,2.5,BUF,-2.5,0.69606860563822
0.93,67.8,1.0,BUF,W,@WAS,-5.5,MIA,-2.5,JAX,-4.0,NYG,-9.5,@NE,-4.5,TB,-9.5,@CIN,1.0,DEN,-7.5,NYJ,-6.5,@PHI,3.0,BYE,,@KC,3.5,DAL,-3.0,@LAC,-1.5,NE,-8.0,@MIA,2.5,0.72651103628896
0.87,65.5,7.1,SEA,W,CAR,-4.5,@NYG,1.0,BYE,,@CIN,5.0,ARI,-9.5,CLE,-1.0,@BAL,4.5,WAS,-4.0,@LAR,-1.5,SF,3.0,@DAL,6.0,@SF,6.5,PHI,3.0,@TEN,-0.5,PIT,-2.5,@ARI,-7.0,0.31376150131944
0.85,62.1,0.2,CLE,W,TEN,-3.5,BAL,-2.5,BYE,,SF,2.0,@IND,-4.0,@SEA,1.0,ARI,-10.5,@BAL,3.5,PIT,-3.0,@DEN,-2.5,@LAR,-3.0,JAX,-2.5,CHI,-7.0,@HOU,-6.5,NYJ,-3.5,@CIN,3.5,0.55424258246978
0.84,61.2,0.8,DET,W,ATL,-3.0,@GB,-1.0,CAR,-8.0,@TB,-3.0,@BAL,3.5,LV,-6.5,BYE,,@LAC,3.0,CHI,-7.5,GB,-4.0,@NO,2.5,@CHI,-3.5,DEN,-4.5,@MIN,-1.0,@DAL,4.0,MIN,-4.0,0.57202881277223
0.83,60.4,0.1,CIN,W,LAR,-3.0,@TEN,-2.5,@ARI,-9.5,SEA,-5.0,BYE,,@SF,3.5,BUF,-1.0,HOU,-11.5,@BAL,2.0,PIT,-4.5,@JAX,0.5,IND,-9.5,MIN,-6.5,@PIT,-1.5,@KC,4.0,CLE,-3.5,0.67783883328466
0.82,59.7,0.2,LV,L,PIT,-3.0,@LAC,6.0,GB,1.0,NE,-2.5,@CHI,-0.5,@DET,6.5,NYG,-3.0,NYJ,0.5,@MIA,7.0,KC,6.0,BYE,,MIN,0.5,LAC,3.0,@KC,9.5,@IND,-0.5,DEN,-1.5,0.079414312335991
0.75,55.3,1.0,NE,W,@NYJ,-2.5,@DAL,7.0,NO,2.5,@LV,2.5,BUF,4.5,@MIA,7.0,WAS,-2.5,IND,-3.5,BYE,,@NYG,1.5,LAC,3.0,@PIT,4.0,KC,6.5,@DEN,3.0,@BUF,8.0,NYJ,-0.5,0.077108909863676
0.73,53.2,0.1,NO,L,@GB,-1.0,TB,-3.0,@NE,-2.5,@HOU,-6.5,JAX,-3.0,@IND,-3.5,CHI,-6.5,@MIN,-1.0,BYE,,@ATL,-0.5,DET,-2.5,CAR,-7.5,NYG,-6.5,@LAR,-3.0,@TB,-3.0,ATL,-3.5,0.6183258609014
0.7,51.3,0.2,MIN,L,LAC,-1.0,@CAR,-3.5,KC,4.5,@CHI,-2.5,SF,3.5,@GB,3.0,@ATL,3.0,NO,1.0,@DEN,1.5,CHI,-5.5,BYE,,@LV,-0.5,@CIN,6.5,DET,1.0,GB,-2.0,@DET,4.0,0.17652119148421
0.67,48.7,0.1,LAC,W,@MIN,1.0,LV,-6.0,BYE,,DAL,1.0,@KC,6.5,CHI,-7.0,@NYJ,-0.5,DET,-3.0,@GB,-0.5,BAL,-0.5,@NE,-3.0,DEN,-5.0,@LV,-3.0,BUF,1.5,@DEN,-1.5,KC,3.0,0.35960225825608
0.64,46.8,0.1,GB,W,NO,1.0,DET,1.0,@LV,-1.0,BYE,,@DEN,1.0,MIN,-3.0,LAR,-3.5,@PIT,3.0,LAC,0.5,@DET,4.0,KC,4.0,@NYG,-2.0,TB,-4.0,@CAR,-3.5,@MIN,2.0,CHI,-5.0,0.27879794811627
0.62,44.7,0.1,NYJ,L,NE,2.5,KC,10.0,@DEN,0.5,PHI,3.5,BYE,,@NYG,-1.5,LAC,0.5,@LV,-0.5,@BUF,6.5,MIA,2.5,ATL,-3.0,HOU,-9.5,@MIA,5.0,WAS,-3.5,@CLE,3.5,@NE,0.5,0.20118071085146
0.55,40.3,0.1,PIT,W,@LV,3.0,@HOU,-3.0,BAL,2.0,BYE,,@LAR,-1.5,JAX,-1.0,TEN,-4.0,GB,-3.0,@CLE,3.0,@CIN,4.5,ARI,-9.5,NE,-4.0,@IND,-3.0,CIN,1.5,@SEA,2.5,@BAL,5.0,0.35579384276363
0.54,39.6,0.1,LAR,L,@CIN,3.0,@IND,1.0,PHI,6.5,ARI,-7.5,PIT,1.5,@DAL,8.0,@GB,3.5,BYE,,SEA,1.5,@ARI,-4.0,CLE,3.0,@BAL,8.0,WAS,-1.5,NO,3.0,@NYG,1.5,@SF,9.5,0.17032627358142
0.54,38.8,0.0,ATL,L,@DET,3.0,@JAX,3.0,HOU,-7.5,WAS,-4.0,@TB,-1.0,@TEN,0.5,MIN,-3.0,@ARI,-6.0,BYE,,NO,0.5,@NYJ,3.0,TB,-4.0,@CAR,-3.0,IND,-6.0,@CHI,-3.0,@NO,3.5,0.47705913418237
0.52,37.9,0.1,TEN,L,@CLE,3.5,CIN,2.5,@IND,-1.0,BAL,4.0,BYE,,ATL,-0.5,@PIT,4.0,@TB,1.5,@JAX,5.5,CAR,-4.0,IND,-3.5,@MIA,7.0,HOU,-6.5,SEA,0.5,@HOU,-3.5,JAX,2.0,0.25644380728624
0.51,34.5,0.0,CAR,L,@SEA,4.5,MIN,3.5,@DET,8.0,@MIA,9.5,BYE,,HOU,-3.5,IND,-1.0,@CHI,3.0,DAL,6.5,@TEN,4.0,@TB,4.0,@NO,7.5,ATL,3.0,GB,3.5,@JAX,8.0,TB,1.5,0.061231440262374
