EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.2,88.7,12.5,NE,W,WAS,-13.5,@NYG,-7.5,BUF,-9.5,@DEN,-3.0,PHI,-8.0,@HOU,-9.5,TEN,-17.0,@NYJ,-4.0,@MIA,-7.0,1.0
1.05,87.1,42.1,CIN,W,CLE,-13.0,HOU,-10.5,@ARI,2.5,STL,-6.5,@CLE,-7.0,PIT,-5.5,@SF,-9.5,@DEN,1.5,BAL,-8.0,0.76033794848601
1.04,75.4,2.6,ATL,L,@SF,-7.5,BYE,,IND,-4.0,MIN,-3.5,@TB,-4.0,@CAR,3.0,@JAX,-4.5,CAR,-2.0,NO,-4.5,0.4019000612857
1.01,74.9,7.2,NYJ,W,JAX,-7.5,BUF,-2.5,@HOU,-3.0,MIA,-3.5,@NYG,-1.5,TEN,-9.5,@DAL,-3.0,NE,4.0,@BUF,1.5,0.3375078140588
0.95,69.5,3.8,PIT,W,OAK,-5.5,CLE,-4.5,BYE,,@SEA,4.5,IND,-4.0,@CIN,5.5,DEN,0.5,@BAL,-1.5,@CLE,-3.5,0.23809480870669
0.91,65.3,0.5,BUF,W,MIA,-4.0,@NYJ,2.5,@NE,9.5,@KC,3.0,HOU,-5.0,@PHI,3.5,@WAS,-2.0,DAL,-5.5,NYJ,-1.5,0.22158503784557
0.88,71.9,24.2,NO,L,TEN,-6.5,@WAS,-1.0,BYE,,@HOU,1.5,CAR,3.0,@TB,-1.5,DET,-5.5,JAX,-6.0,@ATL,4.5,0.20873217609764
0.87,62.6,1.4,SD,L,CHI,-3.5,BYE,,KC,1.5,@JAX,0.5,DEN,4.0,@KC,5.0,MIA,1.0,@OAK,3.0,@DEN,8.0,0.0
0.85,61.1,0.3,PHI,W,@DAL,-3.0,MIA,-6.0,TB,-8.0,@DET,-4.0,@NE,8.0,BUF,-3.5,ARI,1.5,WAS,-7.0,@NYG,-1.0,0.49054117866819
0.84,61.4,2.4,DEN,L,@IND,-3.5,KC,-6.5,@CHI,-6.5,NE,3.0,@SD,-4.0,OAK,-7.5,@PIT,-0.5,CIN,-1.5,SD,-8.0,0.57335783154922
0.75,53.8,0.5,GB,L,@CAR,-2.0,DET,-11.0,@MIN,-3.5,CHI,-13.5,@DET,-8.0,DAL,-10.5,@OAK,-6.5,@ARI,1.5,MIN,-7.0,0.93338076923691
0.74,53.8,1.1,NYG,W,@TB,-1.5,NE,7.5,BYE,,@WAS,0.5,NYJ,1.5,@MIA,3.5,CAR,3.0,@MIN,4.0,PHI,1.0,0.0
0.74,53.3,0.5,MIN,W,STL,-1.5,@OAK,3.0,GB,3.5,@ATL,3.5,SEA,1.5,@ARI,6.0,CHI,-7.0,NYG,-4.0,@GB,7.0,0.19152902299375
0.66,46.7,0.1,STL,L,@MIN,1.5,CHI,-7.5,@BAL,-0.5,@CIN,6.5,ARI,2.5,DET,-7.0,TB,-7.0,@SEA,5.0,@SF,-4.0,0.4296573631818
0.65,46.2,0.0,TB,L,NYG,1.5,DAL,-2.0,@PHI,8.0,@IND,6.0,ATL,4.0,NO,1.5,@STL,7.0,CHI,-3.0,@CAR,9.5,0.057371364814924
0.65,46.2,0.0,CAR,W,GB,2.0,@TEN,-4.0,WAS,-8.0,@DAL,-3.5,@NO,-3.0,ATL,-3.0,@NYG,-3.0,@ATL,2.0,TB,-9.5,0.54796108813322
0.55,38.6,0.0,IND,W,DEN,3.5,BYE,,@ATL,4.0,TB,-6.0,@PIT,4.0,@JAX,-2.5,HOU,-3.5,@MIA,3.0,TEN,-6.5,0.30517359736865
0.54,38.9,0.1,DAL,L,PHI,3.0,@TB,2.0,@MIA,4.5,CAR,3.5,@WAS,2.0,@GB,10.5,NYJ,3.0,@BUF,5.5,WAS,-3.0,0.048245528632539
0.53,37.4,0.1,CHI,W,@SD,3.5,@STL,7.5,DEN,6.5,@GB,13.5,SF,-3.5,WAS,-1.5,@MIN,7.0,@TB,3.0,DET,-3.0,0.11964686649624
0.52,28.1,0.0,TEN,W,@NO,6.5,CAR,4.0,@JAX,3.0,OAK,2.0,JAX,-2.0,@NYJ,9.5,@NE,17.0,HOU,1.5,@IND,6.5,0.025958954836498
0.49,34.7,0.1,MIA,L,@BUF,4.0,@PHI,6.0,DAL,-4.5,@NYJ,3.5,BAL,-3.5,NYG,-3.5,@SD,-1.0,IND,-3.0,NE,7.0,0.24913634003959
0.45,30.5,0.0,OAK,L,@PIT,5.5,MIN,-3.0,@DET,-1.5,@TEN,-2.0,KC,0.5,@DEN,7.5,GB,6.5,SD,-3.0,@KC,4.0,0.14798096339349
0.39,25.1,0.0,JAX,L,@NYJ,7.5,@BAL,5.5,TEN,-3.0,SD,-0.5,@TEN,2.0,IND,2.5,ATL,4.5,@NO,6.0,@HOU,3.5,0.048643368253803
0.36,24.6,0.1,SF,W,ATL,7.5,BYE,,@SEA,13.5,ARI,9.5,@CHI,3.5,@CLE,4.0,CIN,9.5,@DET,3.5,STL,4.0,0.0
0.34,12.9,0.1,CLE,L,@CIN,13.0,@PIT,4.5,BYE,,BAL,0.5,CIN,7.0,SF,-4.0,@SEA,10.5,@KC,6.5,PIT,3.5,0.071368672128148
0.2,11.3,0.0,WAS,L,@NE,13.5,NO,1.0,@CAR,8.0,NYG,-0.5,DAL,-2.0,@CHI,1.5,BUF,2.0,@PHI,7.0,@DAL,3.0,0.025706362888682
,,,ARI,,BYE,,@SEA,3.0,CIN,-2.5,@SF,-9.5,@STL,-2.5,MIN,-6.0,@PHI,-1.5,GB,-1.5,SEA,-3.0,0.38505904706372
,,,BAL,,BYE,,JAX,-5.5,STL,0.5,@CLE,-0.5,@MIA,3.5,SEA,4.0,KC,0.5,PIT,1.5,@CIN,8.0,0.097526878923476
,,,DET,,BYE,,@GB,11.0,OAK,1.5,PHI,4.0,GB,8.0,@STL,7.0,@NO,5.5,SF,-3.5,@CHI,3.0,0.060423498919523
,,,HOU,,BYE,,@CIN,10.5,NYJ,3.0,NO,-1.5,@BUF,5.0,NE,9.5,@IND,3.5,@TEN,-1.5,JAX,-3.5,0.099187039765184
,,,KC,,BYE,,@DEN,6.5,@SD,-1.5,BUF,-3.0,@OAK,-0.5,SD,-5.0,@BAL,-0.5,CLE,-6.5,OAK,-4.0,0.32767336008257
,,,SEA,,BYE,,ARI,-3.0,SF,-13.5,PIT,-4.5,@MIN,-1.5,@BAL,-4.0,CLE,-10.5,STL,-5.0,@ARI,3.0,0.66792518155945
