EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,77.5,9.4,DEN,W,HOU,-8.5,SD,-5.0,@OAK,-2.0,@NO,-3.5,BYE,,KC,-3.0,@JAX,-5.0,@TEN,-3.5,NE,2.0,@KC,2.0,OAK,-6.0,0.43110394252865
1.1,73.8,3.8,NE,W,@PIT,-7.5,@BUF,-6.5,BYE,,SEA,-4.0,@SF,-10.0,@NYJ,-7.0,LAR,-10.5,BAL,-9.5,@DEN,-2.0,NYJ,-10.5,@MIA,-8.0,1.0
1.03,69.3,3.7,KC,W,NO,-6.0,@IND,-2.5,JAX,-8.0,@CAR,1.5,TB,-6.5,@DEN,3.0,@ATL,1.5,OAK,-4.0,TEN,-6.5,DEN,-2.0,@SD,-3.0,0.4968290713595
1.02,83.2,42.8,CIN,W,CLE,-11.5,WAS,-2.5,BYE,,@NYG,1.5,BUF,-3.0,@BAL,0.5,PHI,-4.0,@CLE,-6.5,PIT,-3.0,@HOU,0.5,BAL,-4.0,0.33694094718625
0.98,74.9,23.3,GB,W,CHI,-7.5,@ATL,2.5,IND,-7.5,@TEN,-3.5,@WAS,-3.0,@PHI,-3.0,HOU,-6.5,SEA,-2.0,@CHI,-6.0,MIN,-3.0,@DET,-3.5,0.54914190463982
0.98,64.5,0.2,TEN,L,IND,-4.0,JAX,-3.5,@SD,2.5,GB,3.5,@IND,3.0,@CHI,0.5,BYE,,DEN,3.5,@KC,6.5,@JAX,1.5,HOU,-1.5,0.071533504791868
0.91,65.9,12.2,ATL,L,SD,-4.5,GB,-2.5,@TB,-2.0,@PHI,-1.0,BYE,,ARI,-0.5,KC,-1.5,@LAR,-2.5,SF,-9.5,@CAR,2.0,NO,-6.5,0.3464990880163
0.87,57.1,0.5,NYG,W,@LAR,-3.0,BYE,,PHI,-3.0,CIN,-1.5,CHI,-6.5,@CLE,-4.0,@PIT,3.5,DAL,-0.5,DET,-4.0,@PHI,2.0,@WAS,1.5,0.2891487210007
0.85,55.9,0.7,BUF,L,@MIA,-2.5,NE,6.5,@SEA,6.0,BYE,,@CIN,3.0,JAX,-7.0,@OAK,1.5,PIT,-2.0,CLE,-9.5,MIA,-6.5,@NYJ,-2.0,0.39571924491896
0.84,54.6,0.1,JAX,L,OAK,-2.0,@TEN,3.5,@KC,8.0,HOU,1.5,@DET,3.5,@BUF,7.0,DEN,5.0,MIN,5.0,@HOU,5.0,TEN,-1.5,@IND,3.5,0.012065537787991
0.83,54.8,0.8,MIN,L,@PHI,-2.5,@CHI,-5.5,DET,-7.0,@WAS,-3.0,ARI,-2.5,@DET,-3.5,DAL,-3.5,@JAX,-5.0,IND,-7.0,@GB,3.0,CHI,-9.5,0.7225169546034
0.83,54.2,0.0,ARI(tie),,SEA,-2.5,@CAR,2.5,BYE,,SF,-11.0,@MIN,2.5,@ATL,0.5,WAS,-6.5,@MIA,-5.0,NO,-7.5,@SEA,3.0,@LAR,-3.5,0.51088197280618
0.82,53.8,0.1,NYJ,W,BAL,-2.0,@CLE,-4.5,@MIA,1.5,LAR,-3.0,BYE,,NE,7.0,IND,-3.0,@SF,-2.0,MIA,-3.5,@NE,10.5,BUF,2.0,0.22413765747327
0.78,50.9,0.1,SF,L,TB,-1.0,BYE,,NO,2.0,@ARI,11.0,NE,10.0,@MIA,3.5,@CHI,3.5,NYJ,2.0,@ATL,9.5,@LAR,5.5,SEA,7.5,0.0
0.76,50.0,0.1,WAS,L,@DET,-1.0,@CIN,2.5,BYE,,MIN,3.0,GB,3.0,@DAL,4.0,@ARI,6.5,@PHI,3.0,CAR,1.0,@CHI,-2.0,NYG,-1.5,0.043306968546194
0.76,50.0,0.2,DET,W,WAS,1.0,@HOU,2.5,@MIN,7.0,BYE,,JAX,-3.5,MIN,3.5,@NO,3.0,CHI,-3.5,@NYG,4.0,@DAL,6.0,GB,3.5,0.11041332732717
0.75,49.1,0.4,TB,W,@SF,1.0,OAK,-1.0,ATL,2.0,CHI,-4.0,@KC,6.5,SEA,4.0,@SD,2.0,NO,-3.0,@DAL,5.0,@NO,2.5,CAR,1.5,0.11881966220767
0.7,46.2,0.4,BAL,L,@NYJ,2.0,BYE,,PIT,-0.5,CLE,-7.5,@DAL,4.0,CIN,-0.5,MIA,-4.5,@NE,9.5,PHI,-3.0,@PIT,3.5,@CIN,4.0,0.23699740399978
0.7,45.8,0.1,SEA(tie),,@ARI,2.5,@NO,-3.0,BUF,-6.0,@NE,4.0,PHI,-7.0,@TB,-4.0,CAR,-4.5,@GB,2.0,LAR,-8.0,ARI,-3.0,@SF,-7.5,0.66202538250403
0.7,45.2,0.1,PHI,W,MIN,2.5,@DAL,4.5,@NYG,3.0,ATL,1.0,@SEA,7.0,GB,3.0,@CIN,4.0,WAS,-3.0,@BAL,3.0,NYG,-2.0,DAL,0.5,0.063329936637619
0.69,45.4,0.7,OAK,W,@JAX,2.0,@TB,1.0,DEN,2.0,BYE,,HOU,-3.0,CAR,-0.5,BUF,-1.5,@KC,4.0,@SD,-0.5,IND,-3.5,@DEN,6.0,0.12194023056337
0.68,44.1,0.0,MIA,W,BUF,2.5,BYE,,NYJ,-1.5,@SD,3.5,@LAR,3.5,SF,-3.5,@BAL,4.5,ARI,5.0,@NYJ,3.5,@BUF,6.5,NE,8.0,0.074959244988075
0.66,42.9,0.0,LAR,L,NYG,3.0,BYE,,CAR,1.5,@NYJ,3.0,MIA,-3.5,@NO,2.5,@NE,10.5,ATL,2.5,@SEA,8.0,SF,-5.5,ARI,3.5,0.14514278830432
