EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,92.1,29.3,KC,W,NYJ,-20.0,CAR,-10.5,BYE,,@LV,-7.0,@TB,-3.0,DEN,-14.5,@MIA,-9.5,@NO,-3.0,ATL,-13.5,LAC,-9.5,0.98096548293037
0.99,84.2,32.4,TB,W,@NYG,-13.0,NO,-5.5,@CAR,-4.0,LAR,-3.0,KC,3.0,BYE,,MIN,-7.0,@ATL,-4.0,@DET,-3.5,ATL,-7.5,0.55562595821489
0.97,78.6,14.2,PHI,W,DAL,-10.0,BYE,,@NYG,-2.5,@CLE,4.0,SEA,3.0,@GB,7.5,NO,3.5,@ARI,4.5,@DAL,-0.5,WAS,-5.0,0.11430404710213
0.92,73.5,9.9,TEN,L,@CIN,-7.5,CHI,-5.5,IND,-3.0,@BAL,6.5,@IND,3.0,CLE,-3.5,@JAX,-6.5,DET,-6.0,@GB,3.5,@HOU,-2.0,0.40843437054136
0.88,67.8,0.6,NO,W,@CHI,-5.5,@TB,5.5,SF,-3.5,ATL,-7.5,@DEN,-5.0,@ATL,-3.5,@PHI,-3.5,KC,3.0,MIN,-7.0,@CAR,-3.0,0.52785751581755
0.87,69.5,9.2,GB,L,MIN,-5.5,@SF,-5.5,JAX,-13.5,@IND,0.5,CHI,-7.5,PHI,-7.5,@DET,-3.5,CAR,-8.0,TEN,-3.5,@CHI,-3.5,0.81433590474211
0.85,65.1,0.1,BAL,L,PIT,-4.0,@IND,-2.5,@NE,-4.5,TEN,-6.5,@PIT,-0.5,DAL,-13.5,@CLE,-4.0,JAX,-15.5,NYG,-16.5,@CIN,-9.5,1.0
0.85,65.1,0.5,BUF,W,NE,-4.0,SEA,2.5,@ARI,0.5,BYE,,LAC,-4.0,@SF,1.5,PIT,-1.5,@DEN,-4.0,@NE,-2.0,MIA,-7.0,0.29834777332879
0.82,62.9,0.2,IND,W,@DET,-3.5,BAL,2.5,@TEN,3.0,GB,-0.5,TEN,-3.0,@HOU,-2.0,@LV,-1.0,HOU,-6.0,@PIT,4.0,JAX,-10.0,0.31048763856764
0.79,61.3,1.0,LAR,L,@MIA,-3.5,BYE,,SEA,-3.0,@TB,3.0,SF,-3.5,@ARI,-0.5,NE,-6.0,NYJ,-14.0,@SEA,3.0,ARI,-4.0,0.44062519636938
0.79,61.0,0.5,LAC,L,@DEN,-3.0,LV,-1.5,@MIA,-0.5,NYJ,-10.0,@BUF,4.0,NE,-3.5,ATL,-4.0,@LV,1.5,DEN,-6.5,@KC,9.5,0.38412687887845
0.7,53.7,0.8,CAR,L,ATL,-1.5,@KC,10.5,TB,4.0,DET,-2.5,@MIN,3.0,BYE,,DEN,-3.5,@GB,8.0,@WAS,-2.5,NO,3.0,0.11747876455935
0.67,51.3,0.3,CLE,L,LV,-1.0,BYE,,HOU,-3.5,PHI,-4.0,@JAX,-4.0,@TEN,3.5,BAL,4.0,@NYG,-3.5,@NYJ,-6.5,PIT,3.0,0.36311316613306
0.66,50.7,0.5,SEA,W,SF,-1.0,@BUF,-2.5,@LAR,3.0,ARI,-4.0,@PHI,-3.0,NYG,-11.5,NYJ,-14.0,@WAS,-7.0,LAR,-3.0,@SF,1.5,0.64326048846354
0.65,49.3,0.0,SF,L,@SEA,1.0,GB,5.5,@NO,3.5,BYE,,@LAR,3.5,BUF,-1.5,WAS,-9.5,@DAL,-3.5,@ARI,1.5,SEA,-1.5,0.234154652045
0.64,48.7,0.2,LV,W,@CLE,1.0,@LAC,1.5,DEN,-4.5,KC,7.0,@ATL,1.5,@NYJ,-5.0,IND,1.0,LAC,-1.5,MIA,-3.5,@DEN,-1.0,0.24845255820848
0.61,46.3,0.2,ATL,W,@CAR,1.5,DEN,-4.0,BYE,,@NO,7.5,LV,-1.5,NO,3.5,@LAC,4.0,TB,4.0,@KC,13.5,@TB,7.5,0.087813854213502
