EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.28,81.3,14.4,NE,L,@MIA,-10.5,@PIT,-3.0,BUF,-13.0,NYJ,-13.5,1.0
1.16,70.9,4.4,LAC,W,WAS,-6.0,@KC,-1.0,@NYJ,-3.0,OAK,-3.0,0.23847563688035
1.14,69.2,2.5,PIT,W,BAL,-5.5,NE,3.0,@HOU,-7.5,CLE,-15.5,0.80684341347286
1.07,65.3,3.7,KC,W,OAK,-4.5,LAC,1.0,MIA,-8.0,@DEN,-3.5,0.49144738524433
1.05,70.1,18.1,CIN,L,CHI,-6.0,@MIN,11.0,DET,-1.5,@BAL,3.5,0.037520079865072
1.02,65.9,11.9,DAL,W,@NYG,-4.0,@OAK,-3.0,SEA,1.5,@PHI,7.5,0.11764036943577
0.97,57.8,0.2,JAX,W,SEA,-3.0,HOU,-10.5,@SF,-4.5,@TEN,2.0,0.60112636094049
0.95,57.4,2.2,TEN,L,@ARI,-2.5,@SF,2.0,LAR,-0.5,JAX,-2.0,0.065975644249013
0.94,61.1,10.7,BUF,W,IND,-3.0,MIA,-3.5,@NE,13.0,@MIA,1.0,0.1534637844805
0.92,55.2,1.1,MIN,L,@CAR,-2.5,CIN,-11.0,@GB,-3.5,CHI,-9.5,0.93814188346356
0.91,54.8,0.8,ATL,W,NO,-2.5,@TB,-6.0,@NO,3.0,CAR,-3.5,0.3990409231113
0.9,52.0,2.1,NYJ,L,@DEN,-1.0,@NO,16.0,LAC,3.0,@NE,13.5,0.0
0.86,52.8,3.3,HOU,L,SF,-1.0,@JAX,10.5,PIT,7.5,@IND,1.5,0.0
0.85,50.7,0.5,TB,L,DET,0.0,ATL,6.0,@CAR,6.5,NO,4.0,0.0
0.85,50.7,0.4,PHI,W,@LAR,-1.0,@NYG,-7.5,OAK,-6.5,DAL,-7.5,0.86927184149263
0.84,44.1,0.2,CLE,L,GB,2.5,BAL,7.5,@CHI,3.5,@PIT,15.5,0.0
0.83,55.9,13.8,GB,W,@CLE,-2.5,@CAR,6.5,MIN,3.5,@DET,4.0,0.0
0.83,49.3,0.2,LAR,L,PHI,1.0,@SEA,2.0,@TEN,0.5,SF,-10.5,0.39155450787835
0.82,49.3,0.7,DET,W,@TB,0.0,CHI,-5.5,@CIN,1.5,GB,-4.0,0.42094561016907
0.81,47.2,0.3,SF,W,@HOU,1.0,TEN,-2.0,JAX,4.5,@LAR,10.5,0.035813475222016
0.78,48.0,5.9,DEN,W,NYJ,1.0,@IND,-2.5,@WAS,4.0,KC,3.5,0.095573098538428
0.76,45.2,0.3,NO,L,@ATL,2.5,NYJ,-16.0,ATL,-3.0,@TB,-4.0,0.7946457546535
0.75,44.8,0.5,CAR,W,MIN,2.5,GB,-6.5,TB,-6.5,@ATL,3.5,0.49448123977742
0.73,38.9,0.3,IND,L,@BUF,3.0,DEN,2.5,@BAL,7.5,HOU,-1.5,0.039437209594087
0.73,42.6,0.4,ARI,W,TEN,2.5,@WAS,4.5,NYG,-3.5,@SEA,7.5,0.159348431155
0.7,42.2,0.7,SEA,L,@JAX,3.0,LAR,-2.0,@DAL,-1.5,ARI,-7.5,0.41175286431708
0.66,34.1,0.1,NYG,L,DAL,4.0,PHI,7.5,@ARI,3.5,WAS,3.0,0.0
0.63,29.9,0.1,CHI,W,@CIN,6.0,@DET,5.5,CLE,-3.5,@MIN,9.5,0.16463286606843
0.61,34.7,0.1,OAK,L,@KC,4.5,DAL,3.0,@PHI,6.5,@LAC,3.0,0.0
0.53,30.8,0.0,BAL,L,@PIT,5.5,@CLE,-7.5,IND,-7.5,CIN,-3.5,0.76779391423975
0.52,29.1,0.2,WAS,L,@LAC,6.0,ARI,-4.5,DEN,-4.0,@NYG,-3.0,0.48079462921958
0.39,18.7,0.1,MIA,W,NE,10.5,@BUF,3.5,@KC,8.0,BUF,-1.0,0.021010742389266
