EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,79.8,7.6,BAL,W,@CIN,-10.5,HOU,-4.5,@LAR,3.0,SF,-1.5,@BUF,-0.5,NYJ,-10.5,@CLE,-2.5,PIT,-6.5,0.43436940289135
1.05,70.7,0.2,SF,L,SEA,-6.5,ARI,-11.5,GB,-3.0,@BAL,1.5,@NO,2.5,ATL,-10.5,LAR,-3.0,@SEA,-0.5,0.45655272984357
1.04,71.2,2.4,CHI,W,DET,-7.0,@LAR,6.5,NYG,-6.0,@DET,0.5,DAL,2.0,@GB,5.0,KC,-1.5,@MIN,6.0,0.12821917495608
1.02,70.3,3.1,KC,L,@TEN,-6.0,LAC,-4.0,BYE,,OAK,-5.0,@NE,7.0,DEN,-7.0,@CHI,1.5,LAC,-3.5,0.37553599909117
1.0,85.3,46.8,NO,L,ATL,-14.0,@TB,-5.0,CAR,-5.5,@ATL,-6.5,SF,-2.5,IND,-6.5,@TEN,-3.5,@CAR,-2.0,0.56104357315079
0.99,67.6,1.1,TB,W,ARI,-5.5,NO,5.0,@ATL,0.5,@JAX,3.5,IND,-0.5,@DET,3.0,HOU,2.0,ATL,-3.5,0.073290216469438
0.98,80.7,33.5,IND,L,MIA,-11.0,JAX,-2.5,@HOU,3.5,TEN,-3.5,@TB,0.5,@NO,6.5,CAR,-1.5,@JAX,2.5,0.12916630649097
0.98,67.4,1.9,GB,W,CAR,-4.5,BYE,,@SF,3.0,@NYG,-6.0,WAS,-13.5,CHI,-5.0,@MIN,3.0,@DET,-3.5,0.46581366860817
0.97,65.8,0.7,LAR,L,@PIT,-4.0,CHI,-6.5,BAL,-3.0,@ARI,-7.0,SEA,-3.5,@DAL,3.0,@SF,3.0,ARI,-10.5,0.54856428169766
0.93,62.4,0.1,DAL,L,MIN,-3.5,@DET,-5.5,@NE,5.0,BUF,-6.0,@CHI,-2.0,LAR,-3.0,@PHI,1.0,WAS,-13.5,0.48491214580295
0.87,59.0,1.1,NYG,L,@NYJ,-3.0,BYE,,@CHI,6.0,GB,6.0,@PHI,8.0,MIA,-8.0,@WAS,-1.5,PHI,4.0,0.16106414262063
0.87,58.5,0.5,CLE,W,BUF,-2.5,PIT,-2.5,MIA,-10.5,@PIT,2.0,CIN,-7.5,@ARI,-2.5,BAL,2.5,@CIN,-3.5,0.47319608601947
0.79,53.4,0.2,LAC,L,@OAK,-1.0,KC,4.0,BYE,,@DEN,-1.5,@JAX,2.0,MIN,3.0,OAK,-3.5,@KC,3.5,0.092149763750629
0.69,46.6,0.2,OAK,W,LAC,1.0,CIN,-10.5,@NYJ,-2.5,@KC,5.0,TEN,-3.0,JAX,-1.5,@LAC,3.5,@DEN,1.0,0.26486295151077
0.62,41.5,0.2,BUF,L,@CLE,2.5,@MIA,-5.5,DEN,-6.5,@DAL,6.0,BAL,0.5,@PIT,1.0,@NE,9.0,NYJ,-7.5,0.34770727095434
0.62,41.0,0.1,NYJ,W,NYG,3.0,@WAS,1.0,OAK,2.5,@CIN,1.5,MIA,-6.0,@BAL,10.5,PIT,3.0,@BUF,7.5,0.10250506109175
0.56,37.6,0.0,MIN,W,@DAL,3.5,DEN,-10.5,BYE,,@SEA,0.5,DET,-7.0,@LAC,-3.0,GB,-3.0,CHI,-6.0,0.49740663173952
0.51,34.2,0.0,PIT,W,LAR,4.0,@CLE,2.5,@CIN,-3.5,CLE,-2.0,@ARI,-2.0,BUF,-1.0,@NYJ,-3.0,@BAL,6.5,0.17043275020162
0.5,32.6,0.0,CAR,L,@GB,4.5,ATL,-5.5,@NO,5.5,WAS,-9.5,@ATL,-3.0,SEA,-1.5,@IND,1.5,NO,2.0,0.32995632438319
0.5,19.3,0.0,MIA,W,@IND,11.0,BUF,5.5,@CLE,10.5,PHI,13.5,@NYJ,6.0,@NYG,8.0,CIN,1.5,@NE,18.5,0.0
0.49,32.4,0.0,ARI,L,@TB,5.5,@SF,11.5,BYE,,LAR,7.0,PIT,2.0,CLE,2.5,@SEA,9.5,@LAR,10.5,0.0
0.48,14.7,0.0,ATL,W,@NO,14.0,@CAR,5.5,TB,-0.5,NO,6.5,CAR,3.0,@SF,10.5,JAX,2.0,@TB,3.5,0.0053922477885854
0.47,29.7,0.0,TEN,W,KC,6.0,BYE,,JAX,-1.5,@IND,3.5,@OAK,3.0,HOU,2.0,NO,3.5,@HOU,5.5,0.021131943858543
0.45,28.8,0.1,DET,L,@CHI,7.0,DAL,5.5,@WAS,-3.0,CHI,-0.5,@MIN,7.0,TB,-3.0,@DEN,0.5,GB,3.5,0.11531175760746
0.44,29.3,0.1,SEA,W,@SF,6.5,BYE,,@PHI,3.0,MIN,-0.5,@LAR,3.5,@CAR,1.5,ARI,-9.5,SF,0.5,0.16028842467211
0.36,20.2,0.0,CIN,L,BAL,10.5,@OAK,10.5,PIT,3.5,NYJ,-1.5,@CLE,7.5,NE,13.5,@MIA,-1.5,CLE,3.5,0.030656189103046
,,,DEN,,BYE,,@MIN,10.5,@BUF,6.5,LAC,1.5,@HOU,6.5,@KC,7.0,DET,-0.5,OAK,-1.0,0.0097888027253996
,,,HOU,,BYE,,@BAL,4.5,IND,-3.5,NE,3.5,DEN,-6.5,@TEN,-2.0,@TB,-2.0,TEN,-5.5,0.34626544089756
,,,JAX,,BYE,,@IND,2.5,@TEN,1.5,TB,-3.5,LAC,-2.0,@OAK,1.5,@ATL,-2.0,IND,-2.5,0.15148843208527
,,,NE,,BYE,,@PHI,-3.5,DAL,-5.0,@HOU,-3.5,KC,-7.0,@CIN,-13.5,BUF,-9.0,MIA,-18.5,1.0
,,,PHI,,BYE,,NE,3.5,SEA,-3.0,@MIA,-13.5,NYG,-8.0,@WAS,-7.0,DAL,-1.0,@NYG,-4.0,0.61663135064446
,,,WAS,,BYE,,NYJ,-1.0,DET,3.0,@CAR,9.5,@GB,13.5,PHI,7.0,NYG,1.5,@DAL,13.5,0.010411991746458
