EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.09,81.9,29.6,SF,W,NE,-10.5,ARI,-7.5,@SEA,-5.5,KC,-1.5,DAL,-5.5,BYE,,@TB,-7.0,SEA,-9.0,@GB,-2.5,@BUF,-2.0,CHI,-6.0,LAR,-7.0,@MIA,-1.5,DET,-5.0,@ARI,-4.0,0.90113512034265
1.07,73.6,6.2,KC,W,@LAC,-7.0,NO,-5.0,BYE,,@SF,1.5,@LV,-5.5,TB,-7.5,DEN,-9.5,@BUF,-1.0,@CAR,-7.5,LV,-7.5,LAC,-6.5,@CLE,-2.5,HOU,-4.0,@PIT,-5.5,@DEN,-4.0,1.0
1.04,77.1,21.0,NYJ,L,DEN,-8.0,MIN,2.5,BUF,-1.5,@PIT,-1.0,@NE,-4.5,HOU,-2.0,@ARI,-3.0,IND,-4.0,BYE,,SEA,-4.5,@MIA,2.5,@JAX,-1.0,LAR,-3.0,@BUF,2.5,MIA,-3.0,0.37886782528623
0.99,66.4,1.5,DET,W,SEA,-4.5,BYE,,@DAL,1.0,@MIN,-3.5,TEN,-7.5,@GB,1.5,@HOU,1.5,JAX,-4.0,@IND,-2.5,CHI,-4.5,GB,-3.0,BUF,-2.5,@CHI,-1.5,@SF,5.0,MIN,-5.5,0.47713534129417
0.98,67.1,5.2,CIN,W,@CAR,-5.0,BAL,2.5,@NYG,-5.5,@CLE,-1.0,PHI,-2.5,LV,-7.0,@BAL,3.0,@LAC,-2.0,BYE,,PIT,-5.5,@DAL,1.5,@TEN,-4.0,CLE,-4.0,DEN,-8.5,@PIT,-1.0,0.59680689007932
0.95,68.8,13.1,DAL,W,@NYG,-5.5,@PIT,2.5,DET,-1.0,BYE,,@SF,5.5,@ATL,-1.0,PHI,-1.5,HOU,-2.5,@WSH,-3.5,NYG,-8.5,CIN,-1.5,@CAR,-6.0,TB,-5.0,@PHI,2.5,WSH,-5.5,0.5141592839406
0.95,68.4,12.2,HOU,W,JAX,-5.5,BUF,1.0,@NE,-4.5,@GB,2.0,IND,-4.0,@NYJ,2.0,DET,-1.5,@DAL,2.5,TEN,-6.5,@JAX,1.0,BYE,,MIA,-2.5,@KC,4.0,BAL,1.5,@TEN,-3.0,0.31537315573914
0.91,61.6,1.8,ARI,L,WSH,-3.5,@SF,7.5,@GB,5.0,LAC,-1.0,@MIA,6.5,CHI,1.5,NYJ,3.0,BYE,,@SEA,3.0,@MIN,2.0,SEA,-1.0,NE,-4.0,@CAR,-1.0,@LAR,6.0,SF,4.0,0.084121999054256
0.9,60.0,0.6,CHI,W,LAR,-3.0,CAR,-3.5,JAX,1.5,BYE,,@WSH,-2.5,@ARI,-1.5,NE,-6.0,GB,0.0,MIN,-3.5,@DET,4.5,@SF,6.0,@MIN,-1.0,DET,1.5,SEA,-3.5,@GB,3.5,0.28817548027781
0.88,58.3,0.4,MIA,L,TEN,-2.5,@NE,1.0,BYE,,@IND,-1.5,ARI,-6.5,@BUF,3.0,@LAR,1.0,LV,-6.5,NE,-7.5,@GB,3.0,NYJ,-2.5,@HOU,2.5,SF,1.5,@CLE,2.0,@NYJ,3.0,0.34844388610828
0.87,57.9,0.6,CLE,L,@LV,-2.5,@WSH,3.5,@PHI,3.0,CIN,1.0,BAL,1.0,LAC,-4.0,BYE,,@NO,-2.5,PIT,-3.0,@DEN,-3.5,@PIT,0.0,KC,2.5,@CIN,4.0,MIA,-2.0,@BAL,4.5,0.18799716302191
0.86,57.2,0.3,ATL,W,NO,-2.5,TB,-1.5,@CAR,-3.5,SEA,-3.5,@TB,1.0,DAL,1.0,@NO,-1.0,@DEN,-3.0,BYE,,LAC,-3.0,@MIN,-1.0,@LV,-1.0,NYG,-5.0,@WSH,-2.5,CAR,-6.5,0.41340912758026
0.86,56.9,0.1,BAL,W,BUF,-2.5,@CIN,-2.5,WSH,-8.5,@TB,-4.5,@CLE,-1.0,DEN,-10.5,CIN,-3.0,@PIT,-3.0,@LAC,-3.0,PHI,-3.5,BYE,,@NYG,-6.5,PIT,-6.0,@HOU,-1.5,CLE,-4.5,0.83240843832219
0.85,56.4,0.3,GB,L,MIN,-2.5,@LAR,-3.5,ARI,-5.0,HOU,-2.0,@JAX,-1.0,DET,-1.5,BYE,,@CHI,0.0,SF,2.5,MIA,-3.0,@DET,3.0,@SEA,-1.0,NO,-5.5,@MIN,-2.5,CHI,-3.5,0.36997166382412
0.83,56.3,2.8,PIT,L,@IND,-2.5,DAL,-2.5,@LV,-1.0,NYJ,1.0,NYG,-4.5,BYE,,@WSH,-1.5,BAL,3.0,@CLE,3.0,@CIN,5.5,CLE,0.0,@PHI,4.5,@BAL,6.0,KC,5.5,CIN,1.0,0.11182834084183
0.77,51.7,0.4,PHI,L,@TB,-1.0,BYE,,CLE,-3.0,@NYG,-5.0,@CIN,2.5,JAX,-4.0,@DAL,1.5,WSH,-7.0,@LAR,1.0,@BAL,3.5,CAR,-8.0,PIT,-4.5,@WSH,-3.5,DAL,-2.5,NYG,-5.0,0.64130931074622
0.73,48.3,0.1,TB,W,PHI,1.0,@ATL,1.5,@NO,1.5,BAL,4.5,ATL,-1.0,@KC,7.5,SF,7.0,BYE,,@NYG,-1.0,@CAR,-2.0,LV,-3.0,@LAC,3.0,@DAL,5.0,CAR,-5.5,NO,-2.5,0.16915950938184
0.67,43.7,0.1,IND,W,PIT,2.5,@JAX,3.0,@TEN,-1.5,MIA,1.5,@HOU,4.0,@MIN,1.0,BUF,2.5,@NYJ,4.0,DET,2.5,@NE,-3.5,BYE,,@DEN,-2.5,TEN,-4.0,@NYG,-2.0,JAX,-2.0,0.18372337875432
0.65,43.6,0.5,MIN,W,@GB,2.5,NYJ,-2.5,BYE,,DET,3.5,@LAR,4.0,IND,-1.0,@JAX,4.0,@TEN,0.0,@CHI,3.5,ARI,-2.0,ATL,1.0,CHI,1.0,@SEA,3.0,GB,2.5,@DET,5.5,0.061728776718957
0.65,43.1,0.3,BUF,L,@BAL,2.5,@HOU,-1.0,@NYJ,1.5,TEN,-7.5,@SEA,-3.0,MIA,-3.0,@IND,-2.5,KC,1.0,BYE,,SF,2.0,@LAR,-1.0,@DET,2.5,NE,-9.0,NYJ,-2.5,@NE,-3.5,0.43778736000737
0.64,42.8,0.5,NO,L,@ATL,2.5,@KC,5.0,TB,-1.5,DEN,-4.0,@LAC,3.5,@CAR,-1.0,ATL,1.0,CLE,2.5,BYE,,LAR,1.5,@NYG,1.0,WSH,-3.0,@GB,5.5,LV,-3.0,@TB,2.5,0.16313222896004
0.63,42.1,0.5,LV,W,CLE,2.5,@DEN,3.0,PIT,1.0,@LAR,5.0,KC,5.5,@CIN,7.0,BYE,,@MIA,6.5,DEN,-2.5,@KC,7.5,@TB,3.0,ATL,1.0,JAX,1.0,@NO,3.0,LAC,1.0,0.038973704093566
0.63,41.7,0.5,TEN,W,@MIA,2.5,BYE,,IND,1.5,@BUF,7.5,@DET,7.5,NE,-3.5,@LAC,4.0,MIN,0.0,@HOU,6.5,@WSH,1.5,JAX,1.5,CIN,4.0,@IND,4.0,@JAX,4.0,HOU,3.0,0.041513661629336
