EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,76.9,3.4,DEN,W,ARI,-8.0,@NYJ,-10.0,SF,-6.5,SD,-9.0,@NE,-3.0,@OAK,-11.5,@STL,-8.5,MIA,-6.5,@KC,1.0,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,1.0
1.07,78.8,17.0,GB,W,MIN,-9.0,@MIA,-2.5,CAR,-6.5,@NO,2.0,BYE,,CHI,-8.5,PHI,-4.5,@MIN,-7.5,NE,-2.5,ATL,-13.5,@BUF,-3.0,@TB,-11.5,DET,-8.0,0.79420145304232
1.04,73.2,4.4,SD,W,NYJ,-7.0,@OAK,-7.5,KC,-3.0,@DEN,9.0,@MIA,3.0,BYE,,OAK,-10.5,STL,-5.0,@BAL,6.5,NE,4.0,DEN,4.5,@SF,2.0,@KC,3.0,0.31365953867647
1.03,81.3,32.4,NO,W,TB,-10.5,BYE,,@DET,1.0,GB,-2.0,@CAR,-3.0,SF,-5.5,CIN,-7.5,BAL,-2.5,@PIT,3.5,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.52606253524178
0.99,71.9,9.9,SEA,W,@WAS,-7.0,DAL,-9.5,@STL,-6.0,@CAR,-6.0,OAK,-13.5,NYG,-10.0,@KC,1.0,ARI,-7.5,@SF,1.0,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.92846535810201
0.98,68.0,1.4,DAL,W,HOU,-5.5,@SEA,9.5,NYG,-4.5,WAS,-9.0,ARI,-1.5,@JAX,-7.5,BYE,,@NYG,-4.0,PHI,-3.0,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.53694676884978
0.96,66.7,0.8,SF,W,KC,-4.5,@STL,-3.5,@DEN,6.5,BYE,,STL,-10.5,@NO,5.5,@NYG,-3.5,WAS,-10.0,SEA,-1.0,@OAK,-8.0,@SEA,10.0,SD,-2.0,ARI,-6.5,0.52356937017133
0.95,65.3,0.7,NYG,W,ATL,-4.5,@PHI,1.5,@DAL,4.5,BYE,,IND,3.0,@SEA,10.0,SF,3.5,DAL,4.0,@JAX,-2.5,@TEN,-2.5,WAS,-7.0,@STL,6.5,PHI,1.0,0.13718849201387
0.94,68.0,8.6,PIT,W,@JAX,-5.5,@CLE,2.5,HOU,-3.0,IND,4.0,BAL,-2.5,@NYJ,-3.5,@TEN,-7.0,BYE,,NO,-3.5,@CIN,3.0,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.31268667617216
0.92,66.7,8.4,PHI,W,STL,-4.5,NYG,-1.5,BYE,,@ARI,1.0,@HOU,-2.0,CAR,-7.0,@GB,4.5,TEN,-12.5,@DAL,3.0,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.37480699363509
0.92,67.5,11.3,DET,L,BUF,-4.5,@MIN,1.5,NO,-1.0,@ATL,-3.5,BYE,,MIA,-3.0,@ARI,-1.0,@NE,7.5,CHI,-7.5,TB,-10.5,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.49687538820721
0.81,55.7,0.2,IND,W,BAL,-2.5,@HOU,-2.5,CIN,-3.0,@PIT,-4.0,@NYG,-3.0,BYE,,NE,-3.0,JAX,-13.5,WAS,-7.5,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.63010523248659
0.8,54.8,0.3,CIN,L,@NE,-2.5,CAR,-7.0,@IND,3.0,BAL,2.5,JAX,-10.5,CLE,-6.5,@NO,7.5,@HOU,2.5,@TB,-5.5,PIT,-3.0,@CLE,2.5,DEN,3.5,@PIT,3.0,0.37026819318472
0.75,51.7,0.1,CAR,W,CHI,-1.0,@CIN,7.0,@GB,6.5,SEA,6.0,NO,3.0,@PHI,7.0,ATL,2.5,BYE,,@MIN,2.5,@NO,8.5,TB,-3.5,CLE,-5.5,@ATL,3.0,0.11588858561513
0.75,51.7,0.3,CLE,W,@TEN,-1.0,PIT,-2.5,@JAX,-4.0,OAK,-6.5,TB,-7.0,@CIN,6.5,HOU,-3.5,@ATL,3.0,@BUF,3.0,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.30999489190458
0.7,48.3,0.3,TEN,L,CLE,1.0,JAX,-4.5,@WAS,6.0,HOU,3.5,BYE,,@BAL,10.5,PIT,7.0,@PHI,12.5,@HOU,7.0,NYG,2.5,NYJ,3.5,@JAX,4.5,IND,7.5,0.058740681269555
0.7,48.3,0.1,CHI,L,@CAR,1.0,@ATL,3.0,MIA,-3.0,@NE,5.5,BYE,,@GB,8.5,MIN,-1.5,TB,-4.0,@DET,7.5,DAL,4.0,NO,3.0,DET,10.0,@MIN,7.0,0.10723268805186
0.66,45.2,0.1,NE,W,CIN,2.5,@BUF,-1.0,NYJ,-9.5,CHI,-5.5,DEN,3.0,BYE,,@IND,3.0,DET,-7.5,@GB,2.5,@SD,-4.0,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.62325516446945
0.65,44.3,0.0,BAL,L,@IND,2.5,@TB,-3.5,ATL,-6.5,@CIN,-2.5,@PIT,2.5,TEN,-10.5,BYE,,@NO,2.5,SD,-6.5,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,0.71226096488457
0.54,32.5,0.0,BUF,W,@DET,4.5,NE,1.0,MIN,-6.0,@NYJ,3.0,BYE,,KC,-1.5,@MIA,4.0,NYJ,-2.5,CLE,-3.0,@DEN,8.5,GB,3.0,@OAK,-7.0,@NE,5.5,0.23042778745129
