EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.09,82.5,14.2,WSH,L,DAL,-10.5,TEN,-5.5,BYE,,@NO,-2.5,PHI,1.5,ATL,-3.0,@DAL,-4.0,0.31866857865255
1.07,83.9,24.1,KC,W,@CAR,-10.5,LV,-12.5,LAC,-4.5,@CLE,-6.5,HOU,-3.5,@PIT,-2.5,@DEN,-3.0,0.67546852287851
1.03,75.3,2.7,DET,W,@IND,-7.0,CHI,-10.0,GB,-6.0,BUF,-3.0,@CHI,-8.0,@SF,-3.5,MIN,-5.0,0.78039830715705
1.0,77.5,16.8,HOU,L,TEN,-8.0,@JAX,-5.0,BYE,,MIA,-2.5,@KC,3.5,BAL,3.0,@TEN,-5.0,0.26821092245207
1.0,76.3,13.7,MIA,W,NE,-7.5,@GB,3.0,NYJ,-6.5,@HOU,2.5,SF,-2.0,@CLE,-3.5,@NYJ,-2.5,0.31488874661258
0.98,71.4,1.5,GB,W,SF,-6.5,MIA,-3.0,@DET,6.0,@SEA,-3.0,NO,-7.0,@MIN,1.5,CHI,-7.0,0.45903633604411
0.93,70.3,9.4,TB,W,@NYG,-6.0,@CAR,-6.0,LV,-7.5,@LAC,3.5,@DAL,-3.0,CAR,-9.5,NO,-3.5,0.65668045278173
0.91,68.3,6.5,DEN,W,@LV,-5.5,CLE,-5.5,BYE,,IND,-3.5,@LAC,3.0,@CIN,3.5,KC,3.0,0.21419231424726
0.86,65.4,9.0,PIT,L,@CLE,-3.5,@CIN,3.0,CLE,-6.5,@PHI,3.5,@BAL,6.5,KC,2.5,CIN,-0.5,0.14156138807858
0.82,59.6,0.2,PHI,W,@LAR,-3.0,@BAL,3.0,CAR,-13.0,PIT,-3.5,@WSH,-1.5,DAL,-10.0,NYG,-13.0,0.80700120593646
0.82,59.2,0.2,BAL,W,@LAC,-3.0,PHI,-3.0,BYE,,@NYG,-14.0,PIT,-6.5,@HOU,-3.0,CLE,-11.0,0.72835166077903
0.81,59.1,0.7,MIN,W,@CHI,-3.0,ARI,-3.5,ATL,-4.5,CHI,-7.0,@SEA,-3.0,GB,-1.5,@DET,5.0,0.43278681312493
0.72,52.1,0.2,ARI,L,@SEA,-1.0,@MIN,3.5,SEA,-2.0,NE,-7.0,@CAR,-5.5,@LAR,3.5,SF,2.0,0.2956582944453
0.66,47.9,0.2,SEA,W,ARI,1.0,@NYJ,-2.0,@ARI,2.0,GB,3.0,MIN,3.0,@CHI,-0.5,@LAR,3.0,0.033392954278783
0.57,40.9,0.1,CHI,L,MIN,3.0,@DET,10.0,@SF,6.5,@MIN,7.0,DET,8.0,SEA,0.5,@GB,7.0,0.0
0.56,40.8,0.1,LAC,L,BAL,3.0,@ATL,-1.5,@KC,4.5,TB,-3.5,DEN,-3.0,@NE,-7.0,@LV,-6.5,0.47257369286003
0.56,40.4,0.0,LAR,L,PHI,3.0,@NO,-3.0,BUF,3.5,@SF,3.0,@NYJ,-0.5,ARI,-3.5,SEA,-3.0,0.18896692097918
0.52,34.6,0.1,CLE,W,PIT,3.5,@DEN,5.5,@PIT,6.5,KC,6.5,@CIN,7.0,MIA,3.5,@BAL,11.0,0.0
0.47,31.7,0.1,LV,L,DEN,5.5,@KC,12.5,@TB,7.5,ATL,4.0,JAX,1.5,@NO,4.5,LAC,6.5,0.0
0.45,29.7,0.0,NYG,L,TB,6.0,@DAL,3.5,NO,4.0,BAL,14.0,@ATL,7.0,IND,3.0,@PHI,13.0,0.0
0.4,28.6,0.1,SF,L,@GB,6.5,@BUF,7.0,CHI,-6.5,LAR,-3.0,@MIA,2.0,DET,3.5,@ARI,-2.0,0.24287620156088
0.39,23.7,0.0,NE,L,@MIA,7.5,IND,3.0,BYE,,@ARI,7.0,@BUF,17.5,LAC,7.0,BUF,15.0,0.0
0.38,22.5,0.0,TEN,W,@HOU,8.0,@WSH,5.5,JAX,-2.0,CIN,5.5,@IND,3.5,@JAX,3.0,HOU,5.0,0.022208102265629
0.35,24.7,0.0,IND,L,DET,7.0,@NE,-3.0,BYE,,@DEN,3.5,TEN,-3.5,@NYG,-3.0,JAX,-3.0,0.25747207497536
0.31,16.1,0.0,CAR,L,KC,10.5,TB,6.0,@PHI,13.0,DAL,2.0,ARI,5.5,@TB,9.5,@ATL,9.5,0.0
0.29,17.5,0.2,DAL,W,@WSH,10.5,NYG,-3.5,CIN,6.5,@CAR,-2.0,TB,3.0,@PHI,10.0,WSH,4.0,0.12527873785016
,,0.0,BUF,,BYE,,SF,-7.0,@LAR,-3.5,@DET,3.0,NE,-17.5,NYJ,-9.5,@NE,-15.0,1.0
,,0.0,NYJ,,BYE,,SEA,2.0,@MIA,6.5,@JAX,-0.5,LAR,0.5,@BUF,9.5,MIA,2.5,0.0062796598561829
,,0.0,CIN,,BYE,,PIT,-3.0,@DAL,-6.5,@TEN,-5.5,CLE,-7.0,DEN,-3.5,@PIT,0.5,0.55488669444791
,,0.0,JAX,,BYE,,HOU,5.0,@TEN,2.0,NYJ,0.5,@LV,-1.5,TEN,-3.0,@IND,3.0,0.084993282065397
,,0.0,ATL,,BYE,,LAC,1.5,@MIN,4.5,@LV,-4.0,NYG,-7.0,@WSH,3.0,CAR,-9.5,0.45298147487536
,,0.0,NO,,BYE,,LAR,3.0,@NYG,-4.0,WSH,2.5,@GB,7.0,LV,-4.5,@TB,3.5,0.19451237855337
