EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.11,87.9,32.6,SF,W,ARI,-14.5,DAL,-3.5,@CLE,-2.5,@MIN,-6.0,CIN,-4.5,BYE,,@JAX,-3.0,TB,-11.0,@SEA,-4.0,@PHI,1.0,SEA,-8.0,@ARI,-9.5,BAL,-4.0,@WAS,-8.0,LAR,-9.5,0.98687278209006
1.0,77.2,17.3,KC,W,@NYJ,-8.5,@MIN,-5.0,DEN,-10.5,LAC,-6.0,@DEN,-6.5,MIA,-3.5,BYE,,PHI,-3.5,@LV,-8.0,@GB,-4.5,BUF,-3.5,@NE,-6.5,LV,-12.5,CIN,-4.0,@LAC,-2.0,1.0
0.99,78.4,22.4,PHI,W,WAS,-10.0,@LAR,-4.0,@NYJ,-6.5,MIA,-3.0,@WAS,-6.5,DAL,-3.0,BYE,,@KC,3.5,BUF,-3.0,SF,-1.0,@DAL,3.0,@SEA,-3.0,NYG,-10.5,ARI,-11.5,@NYG,-7.0,0.74774824285598
0.94,68.9,3.9,DAL,W,NE,-6.0,@SF,3.5,@LAC,-1.0,BYE,,LAR,-9.0,@PHI,3.0,NYG,-11.0,@CAR,-9.5,WAS,-10.5,SEA,-6.5,PHI,-3.0,@BUF,2.0,@MIA,2.5,DET,-3.5,@WAS,-7.0,0.77250499642157
0.93,69.9,8.8,LAC,W,LV,-7.0,BYE,,DAL,1.0,@KC,6.0,CHI,-10.5,@NYJ,-4.0,DET,-1.5,@GB,-2.0,BAL,-1.0,@NE,-3.0,DEN,-7.5,@LV,-4.5,BUF,-0.5,@DEN,-3.5,KC,2.0,0.51018865440587
0.91,65.2,0.4,NO,L,TB,-4.0,@NE,1.0,@HOU,-4.0,JAX,-3.0,@IND,-3.0,CHI,-9.5,@MIN,-1.5,BYE,,@ATL,1.5,DET,-0.5,CAR,-9.5,NYG,-7.5,@LAR,-2.0,@TB,-3.0,ATL,-3.5,0.59021417001637
0.87,64.8,6.4,MIN,W,@CAR,-4.5,KC,5.0,@CHI,-3.5,SF,6.0,@GB,3.0,@ATL,4.0,NO,1.5,@DEN,0.5,CHI,-7.0,BYE,,@LV,-1.5,@CIN,7.0,DET,3.0,GB,-2.5,@DET,6.5,0.19016093746072
0.86,61.7,1.0,JAX,W,ATL,-3.0,@BUF,5.5,IND,-6.5,@NO,3.0,@PIT,0.5,BYE,,SF,3.0,TEN,-5.0,@HOU,-4.0,CIN,-0.5,@CLE,3.5,BAL,0.5,@TB,-3.0,CAR,-9.5,@TEN,-1.5,0.41159687067343
0.81,58.1,0.1,BUF,W,MIA,-2.5,JAX,-5.5,NYG,-10.5,@NE,-4.0,TB,-9.5,@CIN,1.5,DEN,-9.5,NYJ,-10.0,@PHI,3.0,BYE,,@KC,3.5,DAL,-2.0,@LAC,0.5,NE,-8.0,@MIA,3.0,0.7713662095245
0.8,57.8,1.9,DEN,W,@CHI,-3.0,NYJ,-1.5,@KC,10.5,GB,0.5,KC,6.5,BYE,,@BUF,9.5,MIN,-0.5,CLE,3.5,@HOU,0.5,@LAC,7.5,@DET,8.0,NE,-1.5,LAC,3.5,@LV,1.5,0.033628690247318
0.79,57.3,1.8,PIT,L,@HOU,-3.0,BAL,3.5,BYE,,@LAR,0.5,JAX,-0.5,TEN,-3.5,GB,-3.0,@CLE,5.0,@CIN,6.0,ARI,-7.5,NE,-4.0,@IND,-1.0,CIN,2.5,@SEA,3.0,@BAL,6.5,0.25592052535825
0.79,56.5,0.5,DET,W,@GB,-2.5,CAR,-10.0,@TB,-4.0,@BAL,3.0,LV,-9.5,BYE,,@LAC,1.5,CHI,-11.0,GB,-6.5,@NO,0.5,@CHI,-7.0,DEN,-8.0,@MIN,-3.0,@DAL,3.5,MIN,-6.5,0.85565768172045
0.78,55.9,0.2,BAL,W,@CLE,-1.0,@PIT,-3.5,@TEN,-3.5,DET,-3.0,@ARI,-7.5,SEA,-6.0,CLE,-3.5,CIN,-3.0,@LAC,1.0,BYE,,LAR,-7.5,@JAX,-0.5,@SF,4.0,MIA,-2.0,PIT,-6.5,0.60387461286464
0.77,55.7,0.8,CIN,L,@TEN,-2.5,@ARI,-3.0,SEA,-5.0,BYE,,@SF,4.5,BUF,-1.5,HOU,-10.0,@BAL,3.0,PIT,-6.0,@JAX,0.5,IND,-8.0,MIN,-7.0,@PIT,-2.5,@KC,4.0,CLE,-3.0,0.60600479631624
0.77,55.4,0.5,SEA,W,@NYG,-2.5,BYE,,@CIN,5.0,ARI,-9.0,CLE,0.5,@BAL,6.0,WAS,-6.5,@LAR,-1.0,SF,4.0,@DAL,6.5,@SF,8.0,PHI,3.0,@TEN,0.5,PIT,-3.0,@ARI,-4.5,0.31168605561441
0.72,51.7,0.3,LAR,W,@IND,-1.0,PHI,4.0,ARI,-7.0,PIT,-0.5,@DAL,9.0,@GB,3.5,BYE,,SEA,1.0,@ARI,-3.5,CLE,3.0,@BAL,7.5,WAS,-3.5,NO,2.0,@NYG,-1.0,@SF,9.5,0.19606416609797
0.68,48.3,0.2,IND,L,LAR,1.0,TEN,-1.0,@JAX,6.5,CLE,3.5,NO,3.0,@CAR,-2.5,@NE,3.0,BYE,,TB,-3.0,@TEN,3.5,@CIN,8.0,PIT,1.0,@ATL,6.0,LV,-3.5,HOU,-4.0,0.17030966731614
0.63,44.6,0.1,NYG,L,SEA,2.5,@MIA,11.5,@BUF,10.5,WAS,-1.5,NYJ,-2.5,@LV,3.0,@DAL,11.0,@WAS,3.0,NE,0.5,BYE,,GB,2.0,@NO,7.5,@PHI,10.5,LAR,1.0,PHI,7.0,0.040782893002554
0.62,44.3,0.0,TEN,W,CIN,2.5,@IND,1.0,BAL,3.5,BYE,,ATL,-0.5,@PIT,3.5,@TB,0.5,@JAX,5.0,CAR,-7.0,IND,-3.5,@MIA,7.5,HOU,-6.0,SEA,-0.5,@HOU,-2.5,JAX,1.5,0.25355931081517
0.62,44.1,0.1,CLE,L,BAL,1.0,BYE,,SF,2.5,@IND,-3.5,@SEA,-0.5,ARI,-10.0,@BAL,3.5,PIT,-5.0,@DEN,-3.5,@LAR,-3.0,JAX,-3.5,CHI,-10.5,@HOU,-5.0,NYJ,-8.0,@CIN,3.0,0.70480037596529
0.61,43.5,0.2,GB,L,DET,2.5,@LV,-1.0,BYE,,@DEN,-0.5,MIN,-3.0,LAR,-3.5,@PIT,3.0,LAC,2.0,@DET,6.5,KC,4.5,@NYG,-2.0,TB,-4.0,@CAR,-3.5,@MIN,2.5,CHI,-7.5,0.3363535036964
0.61,42.7,0.1,HOU,W,PIT,3.0,@ATL,1.0,NO,4.0,BYE,,@CAR,0.5,TB,-0.5,@CIN,10.0,ARI,-4.0,JAX,4.0,DEN,-0.5,@NYJ,3.5,@TEN,6.0,CLE,5.0,TEN,2.5,@IND,4.0,0.066564887514081
0.6,42.2,0.2,CHI,L,DEN,3.0,@WAS,6.5,MIN,3.5,LV,1.0,@LAC,10.5,@NO,9.5,CAR,-3.0,@DET,11.0,@MIN,7.0,BYE,,DET,7.0,@CLE,10.5,ARI,-3.0,ATL,5.0,@GB,7.5,0.062486270870639
0.59,41.9,0.2,MIA,L,@BUF,2.5,NYG,-11.5,CAR,-12.0,@PHI,3.0,NE,-9.0,@KC,3.5,BYE,,LV,-10.5,@NYJ,-6.5,@WAS,-6.5,TEN,-7.5,NYJ,-10.0,DAL,-2.5,@BAL,2.0,BUF,-3.0,0.9730443576715
0.54,38.3,0.0,ATL,L,@JAX,3.0,HOU,-1.0,WAS,-6.5,@TB,-2.5,@TEN,0.5,MIN,-4.0,@ARI,-5.0,BYE,,NO,-1.5,@NYJ,-3.0,TB,-6.0,@CAR,-4.5,IND,-6.0,@CHI,-5.0,@NO,3.5,0.60033415598513
0.53,35.2,0.0,CAR,L,MIN,4.5,@DET,10.0,@MIA,12.0,BYE,,HOU,-0.5,IND,2.5,@CHI,3.0,DAL,9.5,@TEN,7.0,@TB,6.0,@NO,9.5,ATL,4.5,GB,3.5,@JAX,9.5,TB,2.5,0.0021417642231215
0.49,34.8,0.1,TB,W,@NO,4.0,BYE,,DET,4.0,ATL,2.5,@BUF,9.5,@HOU,0.5,TEN,-0.5,@SF,11.0,@IND,3.0,CAR,-6.0,@ATL,6.0,@GB,4.0,JAX,3.0,NO,3.0,@CAR,-2.5,0.10732478533737
