EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.09,76.4,9.0,SF,W,SEA,-8.0,@ARI,-7.5,BYE,,STL,-13.0,CHI,-3.5,@NO,-1.0,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.71248179143812
1.08,83.3,35.0,NE,W,NYJ,-11.0,@STL,-7.5,BYE,,BUF,-13.5,IND,-9.5,@NYJ,-7.0,@MIA,-7.0,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,0.94892313772236
1.05,70.9,1.8,HOU,W,BAL,-7.0,BYE,,BUF,-11.0,@CHI,1.0,JAX,-15.0,@DET,-3.5,@TEN,-7.0,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.73734936758992
1.03,72.9,9.5,MIN,W,ARI,-7.0,TB,-5.5,@SEA,4.5,DET,3.0,BYE,,@CHI,6.0,@GB,7.0,CHI,1.0,@STL,1.0,@HOU,9.5,GB,3.0,0.077183192475525
1.03,70.1,3.1,NYG,W,WAS,-6.5,@DAL,-1.5,PIT,-3.5,@CIN,-3.5,BYE,,GB,-1.0,@WAS,-2.5,NO,-4.0,@ATL,1.0,@BAL,-1.0,PHI,-6.5,0.34763793903494
1.0,69.3,6.4,CHI,W,DET,-6.5,CAR,-7.0,@TEN,-4.5,HOU,-1.0,@SF,3.5,MIN,-6.0,SEA,-3.0,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.42981545986603
0.99,69.7,7.9,OAK,W,JAX,-6.0,@KC,1.0,TB,-1.0,@BAL,9.5,NO,6.0,@CIN,9.5,CLE,2.5,DEN,10.0,KC,-4.5,@CAR,9.5,@SD,9.5,0.069983392324695
0.97,65.6,1.8,BUF,L,TEN,-4.0,BYE,,@HOU,11.0,@NE,13.5,MIA,-1.0,@IND,2.0,JAX,-6.0,STL,-3.5,SEA,4.5,@MIA,5.0,NYJ,-3.5,0.20990357899073
0.88,66.8,19.1,GB,W,@STL,-4.0,JAX,-15.5,ARI,-10.5,BYE,,@DET,-3.0,@NYG,1.0,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.71322487511576
0.83,56.2,1.2,DAL,W,@CAR,-2.5,NYG,1.5,@ATL,4.5,@PHI,-1.0,CLE,-7.0,WAS,-3.5,PHI,-10.5,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.31095614561169
0.79,53.3,1.1,NO,W,@TB,-1.0,@DEN,6.0,PHI,-2.5,ATL,1.0,@OAK,-6.0,SF,1.0,@ATL,3.5,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.21702538106487
0.76,51.4,0.5,PIT,W,@CIN,-1.0,WAS,-4.5,@NYG,3.5,KC,-12.5,BAL,3.0,@CLE,-1.0,@BAL,7.0,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.47456079531026
0.76,49.5,0.1,CLE,L,@IND,1.0,SD,2.5,BAL,3.5,BYE,,@DAL,7.0,PIT,1.0,@OAK,-2.5,KC,-7.0,WAS,-4.0,@DEN,11.0,@PIT,10.0,0.18356887673766
0.73,50.5,3.0,IND,W,CLE,-1.0,@TEN,3.5,MIA,1.0,@JAX,-3.0,@NE,9.5,BUF,-2.0,@DET,7.0,TEN,-3.5,@HOU,10.5,@KC,-4.5,HOU,6.5,0.19130075788512
0.73,48.6,0.1,CIN,L,PIT,1.0,BYE,,DEN,5.0,NYG,3.5,@KC,-3.0,OAK,-9.5,@SD,1.0,DAL,-3.5,@PHI,-4.5,@PIT,3.0,BAL,-4.5,0.33708299808703
0.7,46.7,0.1,TB,L,NO,1.0,@MIN,5.5,@OAK,1.0,SD,-3.0,@CAR,-1.0,ATL,1.0,@DEN,9.5,PHI,-8.0,@NO,3.5,STL,-3.0,@ATL,3.0,0.18260798735557
0.66,43.8,0.0,CAR,L,DAL,2.5,@CHI,7.0,@WAS,3.0,DEN,3.5,TB,1.0,@PHI,-3.0,@KC,-5.0,ATL,3.0,@SD,3.0,OAK,-9.5,@NO,4.0,0.21971816280214
0.61,33.2,0.0,STL,L,GB,4.0,NE,7.5,BYE,,@SF,13.0,NYJ,-3.5,@ARI,1.0,SF,7.5,@BUF,3.5,MIN,-1.0,@TB,3.0,@SEA,11.0,0.078508740791264
0.52,34.4,0.0,TEN,W,@BUF,4.0,IND,-3.5,CHI,4.5,@MIA,6.5,BYE,,@JAX,-3.5,HOU,7.0,@IND,3.5,NYJ,1.0,@GB,10.5,JAX,-6.0,0.16627969181204
0.5,30.3,0.0,JAX,L,@OAK,6.0,@GB,15.5,DET,6.0,IND,3.0,@HOU,15.0,TEN,3.5,@BUF,6.0,NYJ,3.0,@MIA,8.0,NE,14.0,@TEN,6.0,0.0
0.5,30.7,0.0,DET,L,@CHI,6.5,SEA,-1.5,@JAX,-6.0,@MIN,-3.0,GB,3.0,HOU,3.5,IND,-7.0,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.31812083059031
0.46,29.9,0.0,WAS,L,@NYG,6.5,@PIT,4.5,CAR,-3.0,BYE,,PHI,-3.5,@DAL,3.5,NYG,2.5,BAL,-1.0,@CLE,4.0,@PHI,-4.5,DAL,-3.0,0.22741757465098
0.46,27.1,0.0,ARI,L,@MIN,7.0,SF,7.5,@GB,10.5,BYE,,@ATL,9.5,STL,-1.0,@NYJ,6.0,@SEA,10.5,DET,6.0,CHI,7.0,@SF,16.0,0.0078165720806451
0.44,29.1,0.0,BAL,L,@HOU,7.0,BYE,,@CLE,-3.5,OAK,-9.5,@PIT,-3.0,@SD,-1.0,PIT,-7.0,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.29197595621307
0.42,16.7,0.0,NYJ,L,@NE,11.0,MIA,-1.0,BYE,,@SEA,5.5,@STL,3.5,NE,7.0,ARI,-6.0,@JAX,-3.0,@TEN,-1.0,SD,-3.0,@BUF,3.5,0.14812176793991
0.4,23.6,0.0,SEA,L,@SF,8.0,@DET,1.5,MIN,-4.5,NYJ,-5.5,BYE,,@MIA,-3.0,@CHI,3.0,ARI,-10.5,@BUF,-4.5,SF,-2.5,STL,-11.0,0.53309775039253
,,,ATL,,BYE,,@PHI,1.5,DAL,-4.5,@NO,-1.0,ARI,-9.5,@TB,-1.0,NO,-3.5,@CAR,-3.0,NYG,-1.0,@DET,-3.5,TB,-3.0,0.39556289374551
,,,DEN,,BYE,,NO,-6.0,@CIN,-5.0,@CAR,-3.5,SD,-7.5,@KC,-10.5,TB,-9.5,@OAK,-10.0,@BAL,-3.0,CLE,-11.0,KC,-17.0,1.0
,,,KC,,BYE,,OAK,-1.0,@SD,7.5,@PIT,12.5,CIN,3.0,DEN,10.5,CAR,5.0,@CLE,7.0,@OAK,4.5,IND,4.5,@DEN,17.0,0.0069119067917314
,,,MIA,,BYE,,@NYJ,1.0,@IND,-1.0,TEN,-6.5,@BUF,1.0,SEA,3.0,NE,7.0,@SF,10.0,JAX,-8.0,BUF,-5.0,@NE,11.0,0.27498931833601
,,,PHI,,BYE,,ATL,-1.5,@NO,2.5,DAL,1.0,@WAS,3.5,CAR,3.0,@DAL,10.5,@TB,8.0,CIN,4.5,WAS,4.5,@NYG,6.5,0.024935011259741
,,,SD,,BYE,,@CLE,-2.5,KC,-7.5,@TB,3.0,@DEN,7.5,BAL,1.0,CIN,-1.0,@PIT,7.0,CAR,-3.0,@NYJ,3.0,OAK,-9.5,0.27298844140816
