EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.33,88.9,8.3,NE,W,NYJ,-15.0,
1.27,86.4,11.5,MIN,W,CHI,-13.5,
1.13,76.6,7.8,BAL,L,CIN,-8.0,
1.12,76.9,9.7,SEA,L,ARI,-8.0,
1.11,73.5,1.5,LAC,W,OAK,-7.0,
1.11,74.4,4.4,DET,W,GB,-7.5,
1.07,69.2,5.0,SF,W,@LAR,-6.0,
1.05,69.7,2.1,NO,L,@TB,-6.0,
1.02,67.6,2.1,ATL,W,CAR,-5.0,
1.0,68.8,7.9,IND,W,HOU,-5.5,
0.98,66.8,7.1,PIT,W,CLE,-6.0,
0.97,64.1,0.9,DAL,W,@PHI,-3.5,
0.96,66.6,10.6,WAS,L,@NYG,-4.5,
0.93,61.3,0.9,DEN,L,KC,-3.0,
0.84,56.4,2.9,TEN,W,JAX,-2.5,
0.84,55.7,2.5,BUF,W,@MIA,-2.5,
0.68,44.3,0.9,MIA,L,BUF,2.5,
0.68,43.6,0.2,JAX,L,@TEN,2.5,
0.59,38.7,1.0,KC,W,@DEN,3.0,
0.56,33.4,0.8,NYG,W,WAS,4.5,
0.55,35.9,0.3,PHI,L,DAL,3.5,
0.54,33.2,0.2,CLE,L,@PIT,6.0,
0.51,31.2,0.4,HOU,L,@IND,5.5,
0.5,32.4,0.2,CAR,L,@ATL,5.0,
0.47,30.3,0.6,TB,W,NO,6.0,
0.45,30.8,8.6,LAR,L,SF,6.0,
0.41,25.6,0.3,GB,L,@DET,7.5,
0.4,26.5,0.8,OAK,L,@LAC,7.0,
0.39,23.1,0.1,ARI,W,@SEA,8.0,
0.39,23.4,0.1,CIN,W,@BAL,8.0,
0.24,13.6,0.1,CHI,L,@MIN,13.5,
0.19,11.1,0.0,NYJ,L,@NE,15.0,
