EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.18,86.8,8.2,GB,W,CHI,-13.0,DET,6.5,0.0
1.12,84.0,13.4,BAL,W,CLE,-11.0,@CIN,-2.5,0.24786169822762
1.05,80.9,17.1,PIT,W,STL,-10.0,@CLE,-7.0,0.69606671904236
1.03,77.1,7.8,TEN,W,JAX,-8.0,@HOU,-1.0,0.11276712519808
1.03,75.9,4.1,NE,W,MIA,-7.0,BUF,-10.0,0.89292483249133
1.01,74.2,2.0,NO,W,ATL,-7.0,CAR,-7.0,0.65496102805804
0.99,75.9,14.1,CAR,W,TB,-9.0,@NO,7.0,0.0
0.93,73.2,18.8,HOU,L,@IND,-7.0,TEN,1.0,0.0
0.92,68.9,6.0,WAS,L,MIN,-6.0,@PHI,7.0,0.0
0.91,66.3,0.9,CIN,W,ARI,-4.5,BAL,2.5,0.0
0.79,57.8,0.4,KC,L,OAK,-2.5,@DEN,1.0,0.0
0.78,57.4,2.8,DEN,L,@BUF,-3.0,KC,-1.0,0.10690635941651
0.77,55.9,0.2,NYJ,L,NYG,-1.5,@MIA,2.0,0.0
0.76,55.2,1.2,SF,W,@SEA,-1.5,@STL,-12.5,1.0
0.75,54.8,0.5,PHI,W,@DAL,-1.0,WAS,-7.0,0.68809482153728
0.71,51.7,0.3,SD,L,@DET,-1.0,@OAK,2.5,0.0
0.66,48.3,0.5,DET,W,SD,1.0,@GB,-6.5,0.61974073575647
0.62,45.2,0.4,DAL,L,PHI,1.0,@NYG,3.0,0.0
0.62,44.8,0.1,SEA,L,SF,1.5,@ARI,2.5,0.0
0.61,44.1,0.3,NYG,W,@NYJ,1.5,DAL,-3.0,0.28751280922466
0.6,42.6,0.1,BUF,W,DEN,3.0,@NE,10.0,0.0
0.58,42.2,0.2,OAK,W,@KC,2.5,SD,-2.5,0.15786573159887
0.47,33.7,0.1,ARI,L,@CIN,4.5,SEA,-2.5,0.17617726206092
0.46,31.1,0.0,MIN,W,@WAS,6.0,CHI,-1.5,0.19696056201
0.45,26.8,0.1,IND,W,HOU,7.0,@JAX,3.0,0.0
0.39,24.1,0.0,TB,L,@CAR,9.0,@ATL,10.0,0.0
0.36,25.8,0.2,ATL,L,@NO,7.0,TB,-10.0,0.8127565753021
0.35,24.1,0.0,MIA,L,@NE,7.0,NYJ,-2.0,0.092383082721601
0.35,22.9,0.0,JAX,L,@TEN,8.0,IND,-3.0,0.28312306198338
0.32,19.1,0.0,STL,L,@PIT,10.0,SF,12.5,0.0
0.26,16.0,0.0,CLE,L,@BAL,11.0,PIT,7.0,0.0
0.2,13.2,0.2,CHI,L,@GB,13.0,@MIN,1.5,0.0
