EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,74.4,4.0,CHI,L,@MIA,-7.5,NE,3.5,NYJ,-7.5,@BUF,-6.5,DET,-4.5,MIN,-1.5,@DET,-1.5,@NYG,-3.5,LAR,0.5,GB,-2.0,@SF,-4.5,@MIN,3.0,0.45899795964808
1.06,72.8,3.5,LAR,W,@DEN,-7.0,@SF,-10.0,GB,-3.5,@NO,3.0,SEA,-7.5,KC,-2.0,BYE,,@DET,-3.0,@CHI,-0.5,PHI,-3.5,@ARI,-8.0,SF,-11.0,0.69071637037535
1.05,79.4,24.0,HOU,W,BUF,-10.5,@JAX,5.0,MIA,-5.0,@DEN,0.5,BYE,,@WAS,1.0,TEN,-3.0,CLE,-4.0,IND,-5.5,@NYJ,-2.5,@PHI,5.0,JAX,3.0,0.28790866559935
1.02,79.2,29.1,MIN,W,ARI,-10.0,@NYJ,-3.0,NO,-1.5,DET,-6.5,BYE,,@CHI,1.5,GB,-3.0,@NE,4.5,@SEA,-3.0,MIA,-8.0,@DET,-3.0,CHI,-3.0,0.43160430130133
1.0,78.1,27.7,GB,W,SF,-9.0,BYE,,@LAR,3.5,@NE,4.0,MIA,-8.0,@SEA,-3.0,@MIN,3.0,ARI,-10.5,ATL,-4.5,@CHI,2.0,@NYJ,-4.5,DET,-6.5,0.53561943199814
0.95,64.0,0.3,NE,W,KC,-4.0,@CHI,-3.5,@BUF,-10.5,GB,-4.0,@TEN,-5.0,BYE,,@NYJ,-7.5,MIN,-4.5,@MIA,-7.5,@PIT,-2.5,BUF,-15.0,NYJ,-11.5,1.0
0.91,61.7,1.0,JAX,L,@DAL,-3.0,HOU,-5.0,PHI,-3.0,BYE,,@IND,-5.0,PIT,-4.0,@BUF,-9.5,IND,-9.5,@TEN,-3.5,WAS,-7.5,@MIA,-6.0,@HOU,-3.0,0.78896173191486
0.86,59.5,3.0,ATL,W,TB,-3.0,NYG,-6.0,BYE,,@WAS,1.0,@CLE,-0.5,DAL,-3.5,@NO,6.5,BAL,0.5,@GB,4.5,ARI,-8.0,@CAR,3.5,@TB,1.5,0.26100546556314
0.86,58.6,1.4,SEA,W,@OAK,-3.0,BYE,,@DET,3.0,LAC,-0.5,@LAR,7.5,GB,3.0,@CAR,5.5,SF,-6.0,MIN,3.0,@SF,-2.5,KC,4.0,ARI,-6.5,0.21282863141277
0.84,56.6,0.8,NYJ,W,IND,-2.5,MIN,3.0,@CHI,7.5,@MIA,3.0,BUF,-4.0,BYE,,NE,7.5,@TEN,4.5,@BUF,-1.0,HOU,2.5,GB,4.5,@NE,11.5,0.073456822131836
0.83,55.5,0.3,BAL,W,@TEN,-2.5,NO,-2.5,@CAR,2.0,PIT,-3.0,BYE,,CIN,-3.0,OAK,-8.0,@ATL,-0.5,@KC,4.0,TB,-6.0,@LAC,1.0,CLE,-7.0,0.41190290286078
0.81,54.8,1.6,PHI,W,@NYG,-1.5,CAR,-4.5,@JAX,3.0,BYE,,DAL,-6.5,@NO,3.5,NYG,-8.0,WAS,-6.5,@DAL,-3.0,@LAR,3.5,HOU,-5.0,@WAS,-3.0,0.54827997145791
0.78,52.8,0.6,CAR,L,@WAS,-1.0,@PHI,4.5,BAL,-2.0,TB,-5.0,@PIT,3.0,@DET,-1.0,SEA,-5.5,@TB,-1.5,@CLE,-3.0,NO,1.5,ATL,-3.5,@NO,4.5,0.29734094106634
