EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.19,76.6,5.5,BAL,W,DEN,-9.5,@PIT,2.5,@CLE,-1.5,ATL,-9.5,PIT,-8.0,@CIN,2.5,0.40389573311465
1.19,80.3,16.6,DAL,W,IND,-11.0,HOU,-17.0,@JAX,-5.0,PHI,-2.5,@TEN,-2.5,@WAS,-4.0,0.55330633121945
1.06,67.1,1.0,SF,W,MIA,-4.5,TB,-3.5,@SEA,-3.0,WAS,-8.0,@LV,-3.0,ARI,-9.5,0.56709681772778
1.06,66.7,0.7,PHI,W,TEN,-5.0,@NYG,-7.0,@CHI,-7.5,@DAL,2.5,NO,-9.5,NYG,-10.0,0.69513185309038
1.04,72.4,18.5,SEA,W,@LAR,-7.0,CAR,-3.5,SF,3.0,@KC,9.5,NYJ,-3.5,LAR,-3.5,0.24040330878899
1.0,63.5,1.4,BUF,W,@NE,-3.5,NYJ,-9.5,MIA,-7.0,@CHI,-11.0,@CIN,-3.0,NE,-9.5,0.7891156416667
0.99,63.8,3.0,TB,W,NO,-3.5,@SF,3.5,CIN,-1.5,@ARI,-3.0,CAR,-9.5,@ATL,-4.0,0.34223345187887
0.99,63.1,1.5,GB,W,@CHI,-4.0,BYE,,LAR,-6.0,@MIA,4.0,MIN,0.5,DET,-5.0,0.24101676686521
0.96,74.4,35.2,CLE,W,@HOU,-7.5,@CIN,6.0,BAL,1.5,NO,-4.0,@WAS,0.5,@PIT,-1.5,0.12284575749031
0.92,57.4,0.1,LV,W,LAC,-2.5,@LAR,-6.5,NE,-2.0,@PIT,-0.5,SF,3.0,KC,6.0,0.16704826230574
0.88,58.7,6.8,MIN,W,NYJ,-3.0,@DET,1.0,IND,-6.0,NYG,-7.0,@GB,-0.5,@CHI,-4.5,0.3958241313368
0.87,55.0,0.3,KC,L,@CIN,-2.5,@DEN,-8.0,@HOU,-17.0,SEA,-9.5,DEN,-12.0,@LV,-6.0,1.0
0.86,54.6,1.4,DET,W,JAX,-1.0,MIN,-1.0,@NYJ,4.0,@CAR,1.0,CHI,-3.5,@GB,5.0,0.10671127140017
0.86,53.7,0.6,WAS(tie),,@NYG,-2.5,BYE,,NYG,-4.0,@SF,8.0,CLE,-0.5,DAL,4.0,0.096084836132912
0.82,51.9,1.3,PIT,W,@ATL,-1.0,BAL,-2.5,@CAR,-0.5,LV,0.5,@BAL,8.0,CLE,1.5,0.051576311734173
0.77,48.1,0.5,ATL,L,PIT,1.0,BYE,,@NO,4.0,@BAL,9.5,ARI,-1.0,TB,4.0,0.013410727276182
0.73,46.3,1.1,NYG(tie),,WAS,2.5,PHI,7.0,@WAS,4.0,@MIN,7.0,IND,-1.5,@PHI,10.0,0.022015905362172
0.73,45.4,0.5,JAX,L,@DET,1.0,@TEN,3.5,DAL,5.0,@NYJ,3.5,@HOU,-3.5,TEN,2.5,0.067913283959145
0.72,45.0,0.0,CIN,W,KC,2.5,CLE,-6.0,@TB,1.5,@NE,-1.5,BUF,3.0,BAL,-2.5,0.18215682361709
0.71,41.3,0.1,NYJ,L,@MIN,3.0,@BUF,9.5,DET,-4.0,JAX,-3.5,@SEA,3.5,@MIA,6.0,0.16100502696206
0.68,42.6,0.5,LAC,L,@LV,2.5,MIA,3.0,TEN,-1.5,@IND,0.5,LAR,-5.5,@DEN,-1.0,0.15425480691204
0.63,25.6,0.1,HOU,L,CLE,7.5,@DAL,17.0,KC,17.0,@TEN,10.5,JAX,3.5,@IND,7.5,0.0
0.6,36.9,0.0,CHI,L,GB,4.0,BYE,,PHI,7.5,BUF,11.0,@DET,3.5,MIN,4.5,0.0
0.6,36.2,0.1,NO,L,@TB,3.5,BYE,,ATL,-4.0,@CLE,4.0,@PHI,9.5,CAR,-5.5,0.20823669008469
0.59,36.5,0.2,NE,L,BUF,3.5,@ARI,-1.0,@LV,2.0,CIN,1.5,MIA,-0.5,@BUF,9.5,0.031312510437485
0.55,27.6,2.4,LAR,L,SEA,7.0,LV,6.5,@GB,6.0,DEN,-1.5,@LAC,5.5,@SEA,3.5,0.025091160864415
0.54,33.3,0.2,TEN,L,@PHI,5.0,JAX,-3.5,@LAC,1.5,HOU,-10.5,DAL,2.5,@JAX,-2.5,0.33676854682656
0.53,32.9,0.1,MIA,L,@SF,4.5,@LAC,-3.0,@BUF,7.0,GB,-4.0,@NE,0.5,NYJ,-6.0,0.2993751592206
0.41,19.7,0.1,IND,L,@DAL,11.0,BYE,,@MIN,6.0,LAC,-0.5,@NYG,1.5,HOU,-7.5,0.17052644415989
0.4,23.4,0.1,DEN,L,@BAL,9.5,KC,8.0,ARI,-2.5,@LAR,1.5,@KC,12.0,LAC,1.0,0.037999773471262
,,0.0,ARI,,BYE,,NE,1.0,@DEN,2.5,TB,3.0,@ATL,1.0,@SF,9.5,0.0
,,0.0,CAR,,BYE,,@SEA,3.5,PIT,0.5,DET,-1.0,@TB,9.5,@NO,5.5,0.0080365023283106
