EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,79.1,10.0,SF,W,ARI,-10.0,GB,-3.0,@BAL,2.5,@NO,3.0,ATL,-9.5,LAR,-3.0,@SEA,2.0,0.26904985332374
1.12,75.5,1.9,DAL,W,@DET,-7.5,@NE,6.5,BUF,-5.5,@CHI,-2.0,LAR,-3.0,@PHI,1.0,WAS,-13.5,0.39587568240652
1.09,73.9,2.5,BUF,W,@MIA,-7.0,DEN,-4.0,@DAL,5.5,BAL,1.5,@PIT,1.5,@NE,9.5,NYJ,-7.0,0.22602183670491
1.08,79.7,19.2,MIN,W,DEN,-10.5,BYE,,@SEA,1.0,DET,-9.5,@LAC,-3.5,GB,-3.0,CHI,-6.0,0.38213295941688
1.04,69.7,1.2,KC,W,LAC,-6.0,BYE,,OAK,-7.0,@NE,6.0,DEN,-9.5,@CHI,-1.5,LAC,-6.5,0.44490996793895
1.02,69.3,2.4,LAR,W,CHI,-6.0,BAL,3.0,@ARI,-6.5,SEA,-3.0,@DAL,3.0,@SF,3.0,ARI,-10.0,0.35540450854206
1.01,67.8,0.4,BAL,W,HOU,-4.5,@LAR,-3.0,SF,-2.5,@BUF,-1.5,NYJ,-10.5,@CLE,-2.5,PIT,-6.5,0.46139243795555
0.99,67.6,3.5,NO,W,@TB,-5.0,CAR,-8.5,@ATL,-4.5,SF,-3.0,IND,-6.5,@TEN,-3.5,@CAR,-2.0,0.51217388008674
0.99,66.1,0.6,NE,W,@PHI,-4.5,DAL,-6.5,@HOU,-4.0,KC,-6.0,@CIN,-16.0,BUF,-9.5,MIA,-18.5,1.0
0.96,83.2,52.2,OAK,W,CIN,-13.0,@NYJ,-3.0,@KC,7.0,TEN,-3.0,JAX,-2.0,@LAC,3.0,@DEN,0.5,0.11802639060079
0.95,64.4,2.3,CAR,L,ATL,-3.5,@NO,8.5,WAS,-9.5,@ATL,-2.5,SEA,-0.5,@IND,2.0,NO,2.0,0.19822002856947
0.91,60.7,0.5,CLE,W,PIT,-3.0,MIA,-11.0,@PIT,2.0,CIN,-9.5,@ARI,-2.5,BAL,2.5,@CIN,-5.0,0.48533843091969
0.83,55.7,0.4,IND,W,JAX,-2.5,@HOU,3.5,TEN,-3.5,@TB,-0.5,@NO,6.5,CAR,-2.0,@JAX,2.5,0.086038474264885
0.79,53.1,0.7,WAS,L,NYJ,-2.5,DET,3.5,@CAR,9.5,@GB,14.0,PHI,7.0,NYG,1.0,@DAL,13.5,0.0
0.71,46.9,0.5,NYJ,W,@WAS,2.5,OAK,3.0,@CIN,-1.0,MIA,-5.0,@BAL,10.5,PIT,3.0,@BUF,7.0,0.11478463247506
0.67,44.3,0.2,JAX,L,@IND,2.5,@TEN,3.0,TB,-3.5,LAC,-2.5,@OAK,2.0,@ATL,0.5,IND,-2.5,0.13239771582832
0.59,39.3,0.8,PIT,L,@CLE,3.0,@CIN,-6.5,CLE,-2.0,@ARI,-2.5,BUF,-1.5,@NYJ,-3.0,@BAL,6.5,0.25528112738766
0.55,35.6,0.2,ATL,W,@CAR,3.5,TB,-4.0,NO,4.5,CAR,2.5,@SF,9.5,JAX,-0.5,@TB,3.0,0.096754766903561
0.53,16.8,0.0,CIN,L,@OAK,13.0,PIT,6.5,NYJ,1.0,@CLE,9.5,NE,16.0,@MIA,1.5,CLE,5.0,0.0
0.51,33.9,0.0,PHI,L,NE,4.5,SEA,-2.0,@MIA,-10.0,NYG,-7.5,@WAS,-7.0,DAL,-1.0,@NYG,-3.5,0.5631681069033
0.51,32.4,0.0,TB,L,NO,5.0,@ATL,4.0,@JAX,3.5,IND,0.5,@DET,2.5,HOU,2.5,ATL,-3.0,0.054313255862024
0.48,32.2,0.0,HOU,L,@BAL,4.5,IND,-3.5,NE,4.0,DEN,-6.5,@TEN,-1.0,@TB,-2.5,TEN,-4.5,0.34789816009602
0.48,30.7,0.1,CHI,L,@LAR,6.0,NYG,-6.0,@DET,-1.0,DAL,2.0,@GB,6.0,KC,1.5,@MIN,6.0,0.13569260925901
0.46,30.3,0.0,LAC,L,KC,6.0,BYE,,@DEN,-1.5,@JAX,2.5,MIN,3.5,OAK,-3.0,@KC,6.5,0.074016670201022
0.42,20.3,0.0,DEN,L,@MIN,10.5,@BUF,4.0,LAC,1.5,@HOU,6.5,@KC,9.5,DET,-2.0,OAK,-0.5,0.02607443646672
0.41,26.1,0.1,MIA,L,BUF,7.0,@CLE,11.0,PHI,10.0,@NYJ,5.0,@NYG,6.5,CIN,-1.5,@NE,18.5,0.023497149287126
0.38,24.5,0.0,DET,L,DAL,7.5,@WAS,-3.5,CHI,1.0,@MIN,9.5,TB,-2.5,@DEN,2.0,GB,4.5,0.11081872997739
0.37,20.9,0.0,ARI,L,@SF,10.0,BYE,,LAR,6.5,PIT,2.5,CLE,2.5,@SEA,9.5,@LAR,10.0,0.0
,,,GB,,BYE,,@SF,3.0,@NYG,-6.5,WAS,-14.0,CHI,-6.0,@MIN,3.0,@DET,-4.5,0.53768743595037
,,,NYG,,BYE,,@CHI,6.0,GB,6.5,@PHI,7.5,MIA,-6.5,@WAS,-1.0,PHI,3.5,0.13397006974829
,,,SEA,,BYE,,@PHI,2.0,MIN,-1.0,@LAR,3.0,@CAR,0.5,ARI,-9.5,SF,-2.0,0.20985186975878
,,,TEN,,BYE,,JAX,-3.0,@IND,3.5,@OAK,3.0,HOU,1.0,NO,3.5,@HOU,4.5,0.068403879220461
