EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,80.4,3.5,TB,W,@CAR,-11.5,@NYJ,-13.0,CAR,-11.0,0.85210758700871
1.1,78.9,3.7,DAL,W,WAS,-10.5,ARI,-5.5,@PHI,-2.0,0.26308193263867
1.08,77.4,3.7,KC,W,PIT,-10.5,@CIN,-5.5,@DEN,-5.0,0.42369220138954
1.08,81.7,20.1,PHI,W,NYG,-11.0,@WAS,-4.0,DAL,2.0,0.16215130700898
1.07,77.2,6.0,GB,W,CLE,-7.5,MIN,-6.5,@DET,-12.0,0.69504318396774
1.06,84.1,32.8,LAC,L,@HOU,-13.5,DEN,-5.5,@LV,-2.5,0.30002373852546
1.06,74.7,1.2,CIN,W,BAL,-7.5,KC,5.5,@CLE,2.0,0.0
1.05,76.6,8.5,ATL,W,DET,-7.5,@BUF,14.5,NO,1.5,0.0
1.02,73.6,5.8,SEA,L,CHI,-7.0,DET,-7.0,@ARI,4.0,0.28866562811997
0.9,63.6,0.5,SF,L,@TEN,-3.5,HOU,-15.0,@LAR,4.0,0.47781186540372
0.89,61.0,0.2,MIA,W,@NO,-3.0,@TEN,3.5,NE,2.5,0.0
0.87,61.5,0.8,LAR,W,@MIN,-3.5,@BAL,-3.0,SF,-4.0,0.33986567308993
0.83,58.6,0.9,ARI,L,IND,-3.0,@DAL,5.5,SEA,-4.0,0.19362753051345
0.78,55.2,1.4,NYJ,W,JAX,-2.5,TB,13.0,@BUF,17.5,0.0
0.75,52.7,0.2,NE,L,BUF,-1.0,JAX,-15.5,@MIA,-2.5,0.54486729827895
0.72,50.0,0.1,DEN,L,@LV,-1.0,@LAC,5.5,KC,5.0,0.0
0.7,50.0,1.9,LV,W,DEN,1.0,@IND,6.0,LAC,2.5,0.0
0.67,47.3,0.3,BUF,W,@NE,1.0,ATL,-14.5,NYJ,-17.5,1.0
0.64,44.8,0.8,JAX,L,@NYJ,2.5,@NE,15.5,IND,8.0,0.0
0.59,41.4,0.1,IND,W,@ARI,3.0,LV,-6.0,@JAX,-8.0,0.57240608984421
0.55,38.5,0.1,MIN,L,LAR,3.5,@GB,6.5,CHI,-7.5,0.31054135015639
0.53,39.0,4.8,NO,L,MIA,3.0,CAR,-7.5,@ATL,-1.5,0.3587658214664
0.52,36.4,0.4,TEN,W,SF,3.5,MIA,-3.5,@HOU,-7.0,0.43764044097842
0.4,26.4,0.1,CHI,W,@SEA,7.0,NYG,-6.0,@MIN,7.5,0.26299977070234
0.37,23.4,0.3,DET,L,@ATL,7.5,@SEA,7.0,GB,12.0,0.0
0.36,25.3,1.4,BAL,L,@CIN,7.5,LAR,3.0,PIT,-4.5,0.203382232421
0.35,15.9,0.0,HOU,W,LAC,13.5,@SF,15.0,TEN,7.0,0.0
0.35,22.8,0.0,CLE,L,@GB,7.5,@PIT,-3.0,CIN,-2.0,0.20538303941141
0.34,18.3,0.2,NYG,L,@PHI,11.0,@CHI,6.0,WAS,1.0,0.0
0.33,22.6,0.0,PIT,L,@KC,10.5,CLE,3.0,@BAL,4.5,0.0
0.31,21.1,0.1,WAS,L,@DAL,10.5,PHI,4.0,@NYG,-1.0,0.017606737292112
0.29,19.6,0.0,CAR,L,TB,11.5,@NO,7.5,@TB,11.0,0.0
