EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.09,77.1,3.6,SF,W,SEA,-8.5,@DEN,-1.0,LAR,-1.0,@CAR,-3.5,@ATL,-6.5,KC,1.0,@LAR,4.0,BYE,,LAC,-1.5,ARI,-1.5,NO,-4.0,MIA,-4.0,TB,1.0,@SEA,-4.0,WAS,-7.0,@LV,-1.5,ARI,-3.0,0.4287775229844
1.09,78.2,7.8,GB,W,CHI,-10.5,@TB,2.5,NE,-6.5,NYG,-7.0,NYJ,-10.5,@WAS,-3.5,@BUF,4.0,@DET,-6.5,DAL,-5.5,TEN,-5.0,@PHI,1.5,@CHI,-4.5,BYE,,LAR,-1.5,@MIA,-1.0,MIN,-4.0,DET,-10.0,0.73366675027116
1.09,80.8,17.2,DEN,W,HOU,-10.5,SF,1.0,@LV,-0.5,IND,-3.5,@LAC,3.5,NYJ,-9.5,JAX,-6.5,BYE,,@TEN,0.5,LV,-4.0,@CAR,-3.5,@BAL,3.0,KC,0.5,ARI,-4.0,@LAR,3.0,@KC,4.5,LAC,-1.5,0.35798920216934
1.08,77.3,7.5,BUF,W,TEN,-10.0,@MIA,-6.0,@BAL,-1.0,PIT,-9.5,@KC,0.5,BYE,,GB,-4.0,@NYJ,-8.0,MIN,-7.0,CLE,-6.5,@DET,-9.5,@NE,-3.5,NYJ,-13.0,MIA,-7.0,@CHI,-7.0,@CIN,-1.5,NE,-8.0,1.0
1.01,79.3,28.1,LAR,W,ATL,-10.5,@ARI,-4.0,@SF,1.0,DAL,-6.0,CAR,-9.5,BYE,,SF,-4.0,@TB,3.0,ARI,-6.0,@NO,-2.5,@KC,3.5,SEA,-10.5,LV,-5.5,@GB,1.5,DEN,-3.0,@LAC,2.5,@SEA,-6.5,0.6232253742782
0.99,72.8,12.1,CIN,L,@DAL,-7.5,@NYJ,-4.5,MIA,-3.5,@BAL,3.0,@NO,0.5,ATL,-10.5,@CLE,2.0,CAR,-7.5,BYE,,@PIT,-2.0,@TEN,0.5,KC,1.5,CLE,-3.0,@TB,4.0,@NE,-1.0,BUF,1.5,BAL,-3.0,0.37609789121858
0.99,69.1,1.2,LV,L,ARI,-5.5,@TEN,-2.5,DEN,0.5,@KC,6.5,BYE,,HOU,-9.5,@NO,2.5,@JAX,-3.0,IND,-1.5,@DEN,4.0,@SEA,-3.0,LAC,1.0,@LAR,5.5,NE,-3.5,@PIT,-1.0,SF,1.5,KC,3.5,0.22596061621937
0.92,69.0,13.2,CLE,L,NYJ,-6.5,PIT,-5.5,@ATL,-5.5,LAC,3.0,NE,-3.0,@BAL,3.5,CIN,-2.0,BYE,,@MIA,1.5,@BUF,6.5,TB,2.5,@HOU,-7.5,@CIN,3.0,BAL,-1.5,NO,-3.5,@WAS,-3.0,@PIT,-1.5,0.33606140326137
0.91,63.7,1.2,KC,W,LAC,-4.0,@IND,-6.5,@TB,3.0,LV,-6.5,BUF,-0.5,@SF,-1.0,BYE,,TEN,-6.5,JAX,-10.5,@LAC,2.0,LAR,-3.5,@CIN,-1.5,@DEN,-0.5,@HOU,-10.5,SEA,-11.0,DEN,-4.5,@LV,-3.5,0.71110569680729
0.89,62.1,0.7,BAL,L,MIA,-3.5,@NE,-3.0,BUF,1.0,CIN,-3.0,@NYG,-3.5,CLE,-3.5,@TB,4.0,@NO,0.5,BYE,,CAR,-7.0,@JAX,-5.0,DEN,-3.0,@PIT,-3.0,@CLE,1.5,ATL,-9.5,PIT,-6.5,@CIN,3.0,0.52142498895019
