EV,W_pct,P_pct,Team,Team_Result,16,16_spread,17,17_spread,Future_Val
1.19,84.3,14.9,GB,W,@TB,-11.5,DET,-8.0,0.67393437007808
1.17,80.5,3.4,DET,W,@CHI,-10.0,@GB,8.0,0.0
1.13,77.7,3.1,SEA,W,@ARI,-9.5,STL,-11.0,0.80512423952352
1.12,79.5,11.9,NE,W,@NYJ,-10.0,BUF,-5.5,0.44463778454859
1.06,72.3,0.7,BAL,L,@HOU,-6.5,CLE,-14.0,0.95456676352874
1.05,71.9,2.7,STL,L,NYG,-6.5,@SEA,11.0,0.0
1.03,72.6,7.2,PHI,L,@WAS,-7.5,@NYG,-1.0,0.0
1.0,69.1,3.1,NO,L,ATL,-5.5,@TB,-5.5,0.44463778454858
0.97,68.6,7.0,CAR,W,CLE,-5.5,@ATL,3.0,0.0
0.96,65.6,2.4,JAX,W,TEN,-4.5,@HOU,8.0,0.0
0.93,63.6,0.5,DEN,L,@CIN,-3.5,OAK,-15.5,1.0
0.93,71.2,22.9,BUF,L,@OAK,-7.0,@NE,5.5,0.0
0.92,62.6,0.5,DAL,W,IND,-3.5,@WAS,-6.0,0.4835216734726
0.91,66.9,13.6,MIA,W,MIN,-4.5,NYJ,-7.0,0.57260356957197
0.81,55.9,1.9,PIT,W,KC,-2.5,CIN,-3.0,0.23434929232719
0.79,54.2,0.8,SF,L,SD,-2.0,ARI,-6.5,0.50633069874686
0.68,45.8,0.0,SD,W,@SF,2.0,@KC,3.0,0.0
0.66,44.1,0.1,KC,L,@PIT,2.5,SD,-3.0,0.21257548588252
0.56,33.1,0.2,MIN,L,@MIA,4.5,CHI,-7.0,0.60887780979313
0.55,37.4,0.2,IND,L,@DAL,3.5,@TEN,-7.5,0.58861525546879
0.54,28.8,0.5,OAK,W,BUF,7.0,@DEN,15.5,0.0
0.54,36.4,0.0,CIN,W,DEN,3.5,@PIT,3.0,0.0
0.51,34.4,1.0,TEN,L,@JAX,4.5,IND,7.5,0.0
0.5,31.4,0.1,CLE,L,@CAR,5.5,@BAL,14.0,0.0
0.47,30.9,0.1,ATL,W,@NO,5.5,CAR,-3.0,0.18280432363914
0.44,27.4,0.1,WAS,W,PHI,7.5,DAL,6.0,0.0
0.42,28.1,0.7,NYG,W,@STL,6.5,PHI,1.0,0.017213789935358
0.41,27.7,0.1,HOU,W,BAL,6.5,JAX,-8.0,0.67393437007808
0.35,20.5,0.0,NYJ,L,NE,10.0,@MIA,7.0,0.0
0.34,22.3,0.1,ARI,L,SEA,9.5,@SF,6.5,0.0
0.3,19.5,0.3,CHI,L,DET,10.0,@MIN,7.0,0.0
0.29,15.7,0.0,TB,L,GB,11.5,NO,5.5,0.0
