EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.21,69.1,10.3,NE,W,@BUF,-5.5,BYE,,SEA,-5.0,@SF,-10.5,@NYJ,-7.0,LAR,-10.5,BAL,-10.0,@DEN,-2.5,NYJ,-10.5,@MIA,-8.0,1.0
1.19,67.2,8.4,DAL,W,PHI,-5.0,@CLE,-7.0,@PIT,2.5,BAL,-5.0,WAS,-4.0,@MIN,3.5,@NYG,0.5,TB,-4.5,DET,-5.5,@PHI,-1.0,0.46601770841664
1.14,59.5,1.0,ATL,W,GB,-3.0,@TB,-3.5,@PHI,-1.0,BYE,,ARI,-0.5,KC,-2.0,@LAR,-3.0,SF,-9.5,@CAR,3.0,NO,-5.5,0.36860588614253
1.13,59.3,1.5,CIN(tie),,WAS,-2.5,BYE,,@NYG,1.0,BUF,-3.5,@BAL,-2.0,PHI,-4.0,@CLE,-6.5,PIT,-3.0,@HOU,-0.5,BAL,-6.0,0.39745602223615
1.1,57.6,1.0,KC,W,@IND,-3.0,JAX,-9.5,@CAR,2.5,TB,-6.5,@DEN,3.0,@ATL,2.0,OAK,-3.5,TEN,-7.0,DEN,-2.5,@SD,-3.0,0.490963756104
1.07,55.2,0.5,CAR,W,ARI,-2.5,@LAR,-3.0,KC,-2.5,NO,-6.0,@OAK,1.0,@SEA,3.5,SD,-5.0,@WAS,-1.5,ATL,-3.0,@TB,-2.0,0.33653701957304
1.05,33.6,0.0,CHI,W,MIN,4.5,BYE,,@TB,6.0,@NYG,7.0,TEN,1.5,SF,-3.0,@DET,5.0,GB,6.5,WAS,3.0,@MIN,9.5,0.043671736442529
1.04,57.6,5.5,TEN,W,JAX,-3.0,@SD,5.5,GB,3.5,@IND,3.0,@CHI,-1.5,BYE,,DEN,3.5,@KC,7.0,@JAX,0.5,HOU,-1.5,0.033228789970861
1.03,53.8,0.9,HOU,W,DET,-2.0,BYE,,@JAX,-1.5,@OAK,3.5,SD,-3.0,@GB,6.5,@IND,2.0,JAX,-5.0,CIN,0.5,@TEN,1.5,0.14482701999225
1.03,52.2,0.4,TB,L,OAK,-1.0,ATL,3.5,CHI,-6.0,@KC,6.5,SEA,3.5,@SD,3.0,NO,-3.0,@DAL,4.5,@NO,2.5,CAR,2.0,0.1353727929622
1.02,64.6,19.3,DEN,W,SD,-4.0,@OAK,0.0,@NO,-3.0,BYE,,KC,-3.0,@JAX,-5.0,@TEN,-3.5,NE,2.5,@KC,2.5,OAK,-4.0,0.3073347368749
0.98,50.0,0.1,NO,W,SEA,1.0,@SF,-3.5,DEN,3.0,@CAR,6.0,LAR,-3.0,DET,-3.0,@TB,3.0,@ARI,7.0,TB,-2.5,@ATL,5.5,0.17827517044662
0.98,55.9,8.1,NYJ,W,@CLE,-2.5,@MIA,3.5,LAR,-3.0,BYE,,NE,7.0,IND,-2.5,@SF,-2.5,MIA,-3.0,@NE,10.5,BUF,1.5,0.14063217401177
0.96,44.1,0.2,CLE,L,NYJ,2.5,DAL,7.0,@BAL,6.5,PIT,6.5,NYG,4.0,BYE,,CIN,6.5,@BUF,9.5,SD,3.5,@PIT,10.0,0.0
0.96,50.0,0.9,SEA,L,@NO,-1.0,BUF,-6.5,@NE,5.0,PHI,-6.5,@TB,-3.5,CAR,-3.5,@GB,2.5,LAR,-8.0,ARI,-3.0,@SF,-7.0,0.62133101429377
0.92,35.4,0.0,SD,L,@DEN,4.0,TEN,-5.5,MIA,-3.5,BYE,,@HOU,3.0,TB,-3.0,@CAR,5.0,OAK,-1.0,@CLE,-3.5,KC,3.0,0.25467811300977
0.92,47.8,1.3,OAK,W,@TB,1.0,DEN,0.0,BYE,,HOU,-3.5,CAR,-1.0,BUF,-3.0,@KC,3.5,@SD,1.0,IND,-4.0,@DEN,4.0,0.17739655130973
0.91,46.2,0.3,DET,L,@HOU,2.0,@MIN,6.0,BYE,,JAX,-3.5,MIN,3.0,@NO,3.0,CHI,-5.0,@NYG,4.0,@DAL,5.5,GB,3.5,0.15017808625259
0.9,42.4,0.2,JAX,L,@TEN,3.0,@KC,9.5,HOU,1.5,@DET,3.5,@BUF,6.5,DEN,5.0,MIN,4.5,@HOU,5.0,TEN,-0.5,@IND,4.0,0.0045269937533824
0.89,66.4,39.2,MIN,L,@CHI,-4.5,DET,-6.0,@WAS,-2.5,ARI,-1.5,@DET,-3.0,DAL,-3.5,@JAX,-4.5,IND,-6.5,@GB,3.0,CHI,-9.5,0.58024776710183
0.88,44.8,0.2,ARI,L,@CAR,2.5,BYE,,SF,-11.5,@MIN,1.5,@ATL,0.5,WAS,-7.0,@MIA,-4.0,NO,-7.0,@SEA,3.0,@LAR,-4.0,0.55049192793845
0.84,42.4,0.1,IND,L,KC,3.0,@GB,7.5,BYE,,TEN,-3.0,PIT,1.5,@NYJ,2.5,HOU,-2.0,@MIN,6.5,@OAK,4.0,JAX,-4.0,0.13829206519557
0.81,40.7,0.0,WAS(tie),,@CIN,2.5,BYE,,MIN,2.5,GB,3.0,@DAL,4.0,@ARI,7.0,@PHI,3.0,CAR,1.5,@CHI,-3.0,NYG,-1.5,0.055986128752124
0.8,40.5,0.2,GB,L,@ATL,3.0,IND,-7.5,@TEN,-3.5,@WAS,-3.0,@PHI,-3.0,HOU,-6.5,SEA,-2.5,@CHI,-6.5,MIN,-3.0,@DET,-3.5,0.58647742362842
0.75,32.8,0.0,PHI,L,@DAL,5.0,@NYG,2.5,ATL,1.0,@SEA,6.5,GB,3.0,@CIN,4.0,WAS,-3.0,@BAL,1.5,NYG,-2.0,DAL,1.0,0.060557164559947
0.73,30.9,0.0,BUF,L,NE,5.5,@SEA,6.5,BYE,,@CIN,3.5,JAX,-6.5,@OAK,3.0,PIT,-1.5,CLE,-9.5,MIA,-5.0,@NYJ,-1.5,0.36358787991265
,,,BAL,,BYE,,PIT,-2.5,CLE,-6.5,@DAL,5.0,CIN,2.0,MIA,-3.5,@NE,10.0,PHI,-1.5,@PIT,5.5,@CIN,6.0,0.2063442988451
,,,MIA,,BYE,,NYJ,-3.5,@SD,3.5,@LAR,3.0,SF,-4.5,@BAL,3.5,ARI,4.0,@NYJ,3.0,@BUF,5.0,NE,8.0,0.14909465100502
,,,NYG,,BYE,,PHI,-2.5,CIN,-1.0,CHI,-7.0,@CLE,-4.0,@PIT,3.5,DAL,-0.5,DET,-4.0,@PHI,2.0,@WAS,1.5,0.3018256760029
