EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.21,82.0,12.8,SEA,W,@SF,-11.5,
1.16,75.9,2.4,NE,W,@MIA,-8.0,
1.14,75.9,5.1,ATL,W,NO,-7.5,
1.13,76.4,9.8,WAS,L,NYG,-8.5,
1.1,73.2,4.5,ARI,W,@LAR,-7.0,
1.07,69.7,1.4,PHI,W,DAL,-6.5,
1.02,70.5,10.8,MIN,W,CHI,-6.5,
1.01,68.0,6.0,KC,W,@SD,-5.5,
1.01,65.5,0.8,BUF,L,@NYJ,-4.5,
0.97,63.3,1.2,GB,W,@DET,-3.5,
0.95,70.1,21.8,IND,W,JAX,-5.5,
0.93,60.3,0.4,TEN,W,HOU,-3.0,
0.88,59.2,5.7,TB,W,CAR,-3.0,
0.83,58.4,11.1,PIT,W,CLE,-3.0,
0.82,53.1,0.4,BAL,L,@CIN,-1.0,
0.79,51.7,1.4,DEN,W,OAK,-1.0,
0.75,48.3,0.3,OAK,L,@DEN,1.0,
0.72,46.9,0.3,CIN,W,BAL,1.0,
0.71,41.6,0.2,CLE,L,@PIT,3.0,
0.66,40.8,0.5,CAR,L,@TB,3.0,
0.61,39.7,0.9,HOU,L,@TEN,3.0,
0.59,29.9,0.2,JAX,L,@IND,5.5,
0.57,36.7,0.1,DET,L,GB,3.5,
0.53,34.5,0.4,NYJ,W,BUF,4.5,
0.53,32.0,0.1,SD,L,KC,5.5,
0.51,29.5,0.1,CHI,L,@MIN,6.5,
0.47,30.3,0.5,DAL,L,@PHI,6.5,
0.44,26.8,0.1,LAR,L,ARI,7.0,
0.41,23.6,0.3,NYG,W,@WAS,8.5,
0.39,24.1,0.2,NO,L,@ATL,7.5,
0.38,24.1,0.1,MIA,L,NE,8.0,
0.33,18.0,0.1,SF,L,SEA,11.5,
