EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.23,88.6,18.5,NE,W,NYG,-16.5,@NYJ,-10.0,CLE,-9.5,@BAL,-3.5,BYE,,@PHI,-3.0,DAL,-6.5,@HOU,-3.5,KC,-4.0,@CIN,-11.5,BUF,-9.5,MIA,-18.5,1.0
1.03,81.4,33.9,BAL,W,CIN,-10.5,@SEA,3.5,BYE,,NE,3.5,@CIN,-6.5,HOU,-3.0,@LAR,3.5,SF,-2.5,@BUF,-0.5,NYJ,-11.5,@CLE,0.5,PIT,-7.0,0.38306686402992
1.01,74.0,13.2,DAL,L,@NYJ,-7.0,PHI,-3.0,BYE,,@NYG,-4.5,MIN,-3.0,@DET,-1.5,@NE,6.5,BUF,-4.0,@CHI,2.5,LAR,-2.0,@PHI,3.0,WAS,-13.0,0.37916645255126
0.99,69.7,3.8,LAC,L,PIT,-6.0,@TEN,2.0,@CHI,3.5,GB,-0.5,@OAK,-1.5,KC,3.0,BYE,,@DEN,-3.0,@JAX,-1.0,MIN,-1.0,OAK,-4.5,@KC,6.5,0.12807889028497
0.97,68.4,4.6,WAS,W,@MIA,-5.5,SF,9.5,@MIN,13.5,@BUF,9.5,BYE,,NYJ,-2.5,DET,5.0,@CAR,9.5,@GB,13.0,PHI,8.0,NYG,2.5,@DAL,13.0,0.022471557056323
0.91,62.7,0.4,MIN,W,PHI,-3.5,@DET,-1.0,WAS,-13.5,@KC,4.0,@DAL,3.0,DEN,-7.5,BYE,,@SEA,2.0,DET,-5.0,@LAC,1.0,GB,-2.5,CHI,-3.0,0.38652629128005
0.9,63.7,4.2,KC,L,HOU,-3.5,@DEN,-3.5,GB,-4.0,MIN,-4.0,@TEN,-4.0,LAC,-3.0,BYE,,OAK,-9.5,@NE,4.0,DEN,-10.5,@CHI,-1.0,LAC,-6.5,0.61580690163952
0.88,61.0,1.1,LAR,L,SF,-3.0,@ATL,-3.0,CIN,-12.0,BYE,,@PIT,-4.0,CHI,-3.5,BAL,-3.5,@ARI,-7.0,SEA,-3.5,@DAL,2.0,@SF,2.0,ARI,-10.5,0.59945937328841
0.85,62.7,9.8,GB,W,DET,-3.5,OAK,-6.5,@KC,4.0,@LAC,0.5,CAR,-4.0,BYE,,@SF,2.5,@NYG,-5.0,WAS,-13.0,CHI,-3.0,@MIN,2.5,@DET,-2.5,0.42580433798204
0.84,57.0,0.3,JAX,L,NO,-2.5,@CIN,-3.0,NYJ,-7.0,HOU,2.5,BYE,,@IND,3.5,@TEN,3.5,TB,-3.0,LAC,1.0,@OAK,2.0,@ATL,1.5,IND,-1.5,0.20320759159979
0.84,58.4,2.0,ATL,L,@ARI,-3.0,LAR,3.0,SEA,3.0,BYE,,@NO,7.0,@CAR,5.0,TB,-2.5,NO,3.5,CAR,2.0,@SF,7.0,JAX,-1.5,@TB,3.0,0.039444536012007
0.78,53.8,0.3,CAR,W,TB,-2.0,BYE,,@SF,4.0,TEN,-3.0,@GB,4.0,ATL,-5.0,@NO,4.0,WAS,-9.5,@ATL,-2.0,SEA,-1.0,@IND,2.5,NO,0.5,0.25773802682274
0.78,51.4,0.1,CLE,L,SEA,-1.0,BYE,,@NE,9.5,@DEN,-2.5,BUF,-3.0,PIT,-5.0,MIA,-14.5,@PIT,-1.5,CIN,-8.0,@ARI,-3.5,BAL,-0.5,@CIN,-4.0,0.5354948255285
0.74,51.2,0.4,DEN,W,TEN,-1.5,KC,3.5,@IND,5.0,CLE,2.5,BYE,,@MIN,7.5,@BUF,5.5,LAC,3.0,@HOU,7.0,@KC,10.5,DET,0.5,OAK,-2.0,0.019351095018439
0.71,48.8,0.2,TEN,L,@DEN,1.5,LAC,-2.0,TB,-3.5,@CAR,3.0,KC,4.0,BYE,,JAX,-3.5,@IND,3.0,@OAK,1.0,HOU,0.5,NO,1.5,@HOU,4.0,0.11836023606176
0.68,48.6,4.5,SEA,W,@CLE,1.0,BAL,-3.5,@ATL,-3.0,TB,-7.0,@SF,3.0,BYE,,@PHI,3.0,MIN,-2.0,@LAR,3.5,@CAR,1.0,ARI,-9.5,SF,-2.0,0.3460888040877
0.67,46.2,0.1,TB,L,CAR,2.0,BYE,,@TEN,3.5,@SEA,7.0,ARI,-4.5,NO,3.0,@ATL,2.5,@JAX,3.0,IND,-0.5,@DET,3.5,HOU,3.0,ATL,-3.0,0.10312012654774
