EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,85.6,16.2,HOU,W,TEN,-13.0,@NYJ,-9.5,GB,-4.0,BAL,-7.0,BYE,,BUF,-11.0,@CHI,1.0,JAX,-15.0,@DET,-3.5,@TEN,-7.0,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.81941792048123
1.07,75.2,3.8,GB,W,NO,-8.0,@IND,-6.5,@HOU,4.0,@STL,-4.0,JAX,-15.5,ARI,-10.5,BYE,,@DET,-3.0,@NYG,1.0,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.70716178563442
1.02,71.9,4.7,DEN,W,OAK,-6.5,@NE,5.5,@SD,1.0,BYE,,NO,-6.0,@CIN,-5.0,@CAR,-3.5,SD,-7.5,@KC,-10.5,TB,-9.5,@OAK,-10.0,@BAL,-3.0,CLE,-11.0,KC,-17.0,0.82078075707656
1.0,73.2,11.2,ATL,W,CAR,-7.0,@WAS,-3.0,OAK,-10.0,BYE,,@PHI,1.5,DAL,-4.5,@NO,-1.0,ARI,-9.5,@TB,-1.0,NO,-3.5,@CAR,-3.0,NYG,-1.0,@DET,-3.5,TB,-3.0,0.45873864611909
0.99,83.2,44.4,BAL,W,CLE,-11.5,@KC,-6.0,DAL,-3.5,@HOU,7.0,BYE,,@CLE,-3.5,OAK,-9.5,@PIT,-3.0,@SD,-1.0,PIT,-7.0,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.34797713251257
0.92,64.5,1.6,SF,W,@NYJ,-3.5,BUF,-10.0,NYG,-7.0,SEA,-8.0,@ARI,-7.5,BYE,,STL,-13.0,CHI,-3.5,@NO,-1.0,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.84777507269284
0.92,64.0,0.9,DET,L,MIN,-3.5,BYE,,@PHI,3.5,@CHI,6.5,SEA,-1.5,@JAX,-6.0,@MIN,-3.0,GB,3.0,HOU,3.5,IND,-7.0,@GB,6.5,@ARI,-6.0,ATL,3.5,CHI,3.0,0.26086522440275
0.92,64.5,2.2,NE,W,@BUF,-3.5,DEN,-5.5,@SEA,-4.0,NYJ,-11.0,@STL,-7.5,BYE,,BUF,-13.5,IND,-9.5,@NYJ,-7.0,@MIA,-7.0,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,1.0
0.88,65.6,11.0,ARI,W,MIA,-4.0,@STL,-2.0,BUF,-5.0,@MIN,7.0,SF,7.5,@GB,10.5,BYE,,@ATL,9.5,STL,-1.0,@NYJ,6.0,@SEA,10.5,DET,6.0,CHI,7.0,@SF,16.0,0.080801956503748
0.87,60.0,0.3,DAL,L,CHI,-3.0,BYE,,@BAL,3.5,@CAR,-2.5,NYG,1.5,@ATL,4.5,@PHI,-1.0,CLE,-7.0,WAS,-3.5,PHI,-10.5,@CIN,3.5,PIT,1.0,NO,-1.0,@WAS,3.0,0.27543723512092
