EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,82.6,18.4,GB,L,DET,-10.5,@MIN,1.0,CHI,-13.5,@DET,-8.0,DAL,-9.5,@OAK,-4.0,@ARI,2.0,MIN,-6.5,0.76797141019883
1.13,80.5,15.8,CIN,L,HOU,-10.0,@ARI,3.0,STL,-7.0,@CLE,-8.0,PIT,-7.5,@SF,-9.5,@DEN,1.0,BAL,-9.0,0.77387221049484
1.1,75.7,5.1,STL,L,CHI,-7.5,@BAL,2.0,@CIN,7.0,ARI,3.0,DET,-7.0,TB,-7.0,@SEA,5.5,@SF,-4.0,0.35278967148746
1.1,74.4,1.4,NE,W,@NYG,-7.0,BUF,-7.0,@DEN,-3.0,PHI,-8.0,@HOU,-9.5,TEN,-15.5,@NYJ,-4.5,@MIA,-7.0,1.0
1.03,72.2,7.3,PIT,W,CLE,-6.5,BYE,,@SEA,6.5,IND,-3.0,@CIN,7.5,DEN,3.0,@BAL,0.5,@CLE,-3.0,0.096441551330184
0.99,69.1,6.8,BAL,L,JAX,-5.5,STL,-2.0,@CLE,-1.5,@MIA,3.5,SEA,4.0,KC,0.5,PIT,-0.5,@CIN,9.0,0.053283602488984
0.96,68.5,10.8,PHI,L,MIA,-5.5,TB,-5.5,@DET,-4.5,@NE,8.0,BUF,-3.0,ARI,-0.5,WAS,-8.0,@NYG,-1.5,0.44533668891353
0.89,60.0,0.6,OAK,L,MIN,-3.0,@DET,-2.0,@TEN,-1.5,KC,-1.0,@DEN,7.0,GB,4.0,SD,-3.5,@KC,3.5,0.1305224780649
0.89,65.3,13.9,DEN,L,KC,-4.0,@CHI,0.0,NE,3.0,@SD,-4.0,OAK,-7.0,@PIT,-3.0,CIN,-1.0,SD,-8.0,0.43408436848402
0.86,63.8,15.0,CAR,W,@TEN,-3.5,WAS,-7.5,@DAL,-3.5,@NO,-3.0,ATL,-4.0,@NYG,-3.0,@ATL,-0.5,TB,-9.5,0.56709827788118
0.86,57.8,0.3,SEA,L,ARI,-3.0,SF,-13.0,PIT,-6.5,@MIN,-2.5,@BAL,-4.0,CLE,-11.0,STL,-5.5,@ARI,3.0,0.73807272731266
0.83,55.7,0.5,NYJ,L,BUF,-2.5,@HOU,-2.5,MIA,-4.0,@NYG,-0.5,TEN,-7.5,@DAL,-3.0,NE,4.5,@BUF,2.5,0.33060735010538
0.77,52.2,0.7,NO,L,@WAS,-1.0,BYE,,@HOU,1.5,CAR,3.0,@TB,-1.5,DET,-5.5,JAX,-5.5,@ATL,4.0,0.23487690632187
0.74,49.5,0.4,TB,W,DAL,1.0,@PHI,5.5,@IND,6.5,ATL,4.0,NO,1.5,@STL,7.0,CHI,-3.0,@CAR,9.5,0.043652343957099
0.74,50.5,1.7,DAL,L,@TB,-1.0,@MIA,1.0,CAR,3.5,@WAS,1.5,@GB,9.5,NYJ,3.0,@BUF,6.5,WAS,-3.5,0.065989407754136
0.71,47.8,0.1,WAS,W,NO,1.0,@CAR,7.5,NYG,1.0,DAL,-1.5,@CHI,2.0,BUF,3.5,@PHI,8.0,@DAL,3.5,0.017666330967247
0.66,44.3,0.2,BUF,W,@NYJ,2.5,@NE,7.0,@KC,1.5,HOU,-6.5,@PHI,3.0,@WAS,-3.5,DAL,-6.5,NYJ,-2.5,0.33932033614142
0.63,42.2,0.0,ARI,W,@SEA,3.0,CIN,-3.0,@SF,-9.5,@STL,-3.0,MIN,-6.5,@PHI,0.5,GB,-2.0,SEA,-3.0,0.48179830605666
0.62,36.2,0.1,TEN,L,CAR,3.5,@JAX,2.5,OAK,1.5,JAX,-3.0,@NYJ,7.5,@NE,15.5,HOU,-1.5,@IND,6.0,0.063836967206044
0.6,34.7,0.0,KC,W,@DEN,4.0,@SD,-3.0,BUF,-1.5,@OAK,1.0,SD,-5.0,@BAL,-0.5,CLE,-7.0,OAK,-3.5,0.39305486445493
0.59,40.0,0.5,MIN,W,@OAK,3.0,GB,-1.0,@ATL,3.5,SEA,2.5,@ARI,6.5,CHI,-7.0,NYG,-3.0,@GB,6.5,0.20213990492989
0.53,31.5,0.0,MIA,W,@PHI,5.5,DAL,-1.0,@NYJ,4.0,BAL,-3.5,NYG,-3.0,@SD,-1.0,IND,-2.5,NE,7.0,0.16971907699448
0.5,30.9,0.0,JAX,W,@BAL,5.5,TEN,-2.5,SD,-1.5,@TEN,3.0,IND,2.5,ATL,3.5,@NO,5.5,@HOU,3.5,0.060312593510153
0.45,27.8,0.0,CLE,L,@PIT,6.5,BYE,,BAL,1.5,CIN,8.0,SF,-3.0,@SEA,11.0,@KC,7.0,PIT,3.0,0.055571938089948
0.39,25.6,0.0,NYG,L,NE,7.0,BYE,,@WAS,-1.0,NYJ,0.5,@MIA,3.0,CAR,3.0,@MIN,3.0,PHI,1.5,0.012608178204709
0.39,24.3,0.1,CHI,W,@STL,7.5,DEN,0.0,@GB,13.5,SF,-3.0,WAS,-2.0,@MIN,7.0,@TB,3.0,DET,-3.0,0.13119379335747
0.36,19.5,0.1,HOU,W,@CIN,10.0,NYJ,2.5,NO,-1.5,@BUF,6.5,NE,9.5,@IND,4.5,@TEN,1.5,JAX,-3.5,0.085142484924132
0.34,17.4,0.0,DET,W,@GB,10.5,OAK,2.0,PHI,4.5,GB,8.0,@STL,7.0,@NO,5.5,SF,-3.5,@CHI,3.0,0.063904337755631
,,,ATL,,BYE,,IND,-6.0,MIN,-3.5,@TB,-4.0,@CAR,4.0,@JAX,-3.5,CAR,0.5,NO,-4.0,0.41641212658962
,,,IND,,BYE,,@ATL,6.0,TB,-6.5,@PIT,3.0,@JAX,-2.5,HOU,-4.5,@MIA,2.5,TEN,-6.0,0.37272172231313
,,,SD,,BYE,,KC,3.0,@JAX,1.5,DEN,4.0,@KC,5.0,MIA,1.0,@OAK,3.5,@DEN,8.0,0.0
,,,SF,,BYE,,@SEA,13.0,ARI,9.5,@CHI,3.0,@CLE,3.0,CIN,9.5,@DET,3.5,STL,4.0,0.0
