EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.18,88.6,18.9,NE,W,@BUF,-13.5,GB,-5.5,@TEN,-6.5,BYE,,@NYJ,-8.0,MIN,-4.0,@MIA,-9.5,@PIT,-1.5,BUF,-17.0,NYJ,-12.0,1.0
1.04,75.0,1.2,LAR,W,GB,-7.5,@NO,2.0,SEA,-8.0,KC,-3.0,BYE,,@DET,-3.0,@CHI,-1.5,PHI,-3.5,@ARI,-10.5,SF,-10.5,0.66172824876303
1.02,77.6,13.8,KC,W,DEN,-8.5,@CLE,-8.0,ARI,-13.5,@LAR,3.0,BYE,,@OAK,-8.0,BAL,-3.5,LAC,-6.0,@SEA,-4.0,OAK,-12.5,0.90563115822978
1.0,75.1,10.1,HOU,W,MIA,-7.5,@DEN,1.0,BYE,,@WAS,1.0,TEN,-4.0,CLE,-6.0,IND,-5.5,@NYJ,-3.0,@PHI,4.0,JAX,-3.0,0.35616751368689
0.98,76.4,17.9,CHI,W,NYJ,-8.5,@BUF,-8.5,DET,-3.5,MIN,0.5,@DET,1.5,@NYG,-3.0,LAR,1.5,GB,-2.0,@SF,-3.5,@MIN,4.0,0.33374491760465
0.95,77.7,29.4,PIT,W,CLE,-8.5,@BAL,3.0,CAR,-3.5,@JAX,-1.0,@DEN,-3.5,LAC,-4.0,@OAK,-6.5,NE,1.5,@NO,3.5,CIN,-4.0,0.40460727797918
0.88,64.0,1.0,PHI,W,@JAX,-3.5,BYE,,DAL,-6.0,@NO,3.5,NYG,-8.0,WAS,-6.5,@DAL,-2.5,@LAR,3.5,HOU,-4.0,@WAS,-3.0,0.50821181453276
0.86,62.5,1.4,IND,W,@OAK,-3.5,BYE,,JAX,1.5,TEN,-2.5,MIA,-3.5,@JAX,4.5,@HOU,5.5,DAL,-1.0,NYG,-3.0,@TEN,3.0,0.15047051058384
0.85,62.3,2.7,CIN,W,TB,-3.5,BYE,,NO,3.0,@BAL,4.5,CLE,-4.5,DEN,-4.0,@LAC,3.0,OAK,-7.0,@CLE,-1.5,@PIT,4.0,0.30928614075366
0.84,60.5,0.3,DET,L,SEA,-3.0,@MIN,5.0,@CHI,3.5,CAR,-1.5,CHI,-1.5,LAR,3.0,@ARI,-4.0,@BUF,-6.0,MIN,2.0,@GB,4.0,0.21455571767808
0.81,58.6,0.4,SF,L,@ARI,-2.5,OAK,-3.0,NYG,-2.0,BYE,,@TB,4.0,@SEA,4.0,DEN,-1.5,SEA,0.5,CHI,3.5,@LAR,10.5,0.10678355344612
0.79,56.8,0.1,BAL,L,@CAR,-2.5,PIT,-3.0,BYE,,CIN,-4.5,OAK,-10.5,@ATL,-0.5,@KC,3.5,TB,-6.5,@LAC,-0.5,CLE,-7.5,0.53819508910628
0.78,56.4,0.1,NO,W,@MIN,-2.5,LAR,-2.0,@CIN,-3.0,PHI,-3.5,ATL,-6.0,@DAL,-3.5,@TB,-3.5,@CAR,-2.5,PIT,-3.5,CAR,-6.0,0.56012692074604
0.71,51.7,1.9,WAS,W,@NYG,-1.0,ATL,-1.0,@TB,3.0,HOU,-1.0,@DAL,3.0,@PHI,6.5,NYG,-3.5,@JAX,3.5,@TEN,1.5,PHI,3.0,0.096023440955208
0.68,48.3,0.1,NYG,L,WAS,1.0,BYE,,@SF,2.0,TB,-0.5,@PHI,8.0,CHI,3.0,@WAS,3.5,TEN,-2.0,@IND,3.0,DAL,0.5,0.031356685039653
0.61,43.6,0.0,MIN,L,NO,2.5,DET,-5.0,BYE,,@CHI,-0.5,GB,-3.0,@NE,4.0,@SEA,-3.0,MIA,-9.5,@DET,-2.0,CHI,-4.0,0.45669069796064
0.6,43.2,0.2,CAR,W,BAL,2.5,TB,-7.0,@PIT,3.5,@DET,1.5,SEA,-4.0,@TB,-0.5,@CLE,-3.0,NO,2.5,ATL,-3.0,@NO,6.0,0.28083436611044
