EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,84.9,3.1,SEA,W,@STL,-13.0,TB,-15.5,@ATL,-3.5,MIN,-13.0,BYE,,NO,-6.5,@SF,2.5,@NYG,-9.5,ARI,-8.0,STL,-13.0,1.0
1.08,82.6,2.6,DEN,W,WAS,-11.0,BYE,,@SD,-7.0,KC,-7.5,@NE,-1.0,@KC,-5.5,TEN,-13.0,SD,-10.0,@HOU,-10.0,@OAK,-10.0,0.95739018153846
1.08,90.4,39.1,SF,W,@JAX,-16.0,BYE,,CAR,-5.5,@NO,3.5,@WAS,-5.5,STL,-7.5,SEA,-2.5,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.6121562283586
0.97,74.6,4.3,GB,W,@MIN,-7.5,CHI,-10.0,PHI,1.0,@NYG,3.5,MIN,-5.5,@DET,6.5,ATL,-3.5,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.3574325143307
0.94,81.3,32.6,NO,W,BUF,-10.5,@NYJ,-5.5,DAL,-6.0,SF,-3.5,@ATL,-7.5,@SEA,6.5,CAR,-3.0,@STL,-6.5,@CAR,3.5,TB,-11.0,0.70333279350168
0.94,71.7,2.2,NE,W,MIA,-6.5,PIT,-6.0,BYE,,@CAR,3.0,DEN,1.0,@HOU,-7.0,CLE,-10.0,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.49357694586765
0.93,71.9,3.7,CAR,W,@TB,-6.5,ATL,-10.0,@SF,5.5,NE,-3.0,@MIA,-4.5,TB,-7.5,@NO,3.0,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.68356072534141
0.93,73.2,8.2,KC,W,CLE,-7.0,@BUF,-4.5,BYE,,@DEN,7.5,SD,-3.5,DEN,5.5,@WAS,-3.5,@OAK,-6.0,IND,-7.5,@SD,10.5,0.44079452971403
0.91,69.5,2.0,CIN,W,NYJ,-6.0,@MIA,-3.0,@BAL,1.0,CLE,-4.5,BYE,,@SD,-2.5,IND,-7.0,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.52335254902906
0.9,68.5,0.4,PHI,L,NYG,-5.5,@OAK,1.0,@GB,-1.0,WAS,-5.0,BYE,,ARI,-3.5,DET,-2.5,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.44898672534679
0.79,59.7,0.1,DET,W,DAL,-3.0,BYE,,@CHI,-1.0,@PIT,-3.0,TB,-7.5,GB,-6.5,@PHI,2.5,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.53758596302379
0.77,58.1,0.5,PIT,L,@OAK,-2.5,@NE,6.0,BUF,-3.0,DET,3.0,@CLE,2.5,@BAL,3.0,MIA,-3.0,CIN,2.0,@GB,-1.0,CLE,-9.5,0.22863518276927
0.76,57.8,0.7,ARI,W,ATL,-2.5,BYE,,HOU,-3.5,@JAX,-9.5,IND,-3.5,@PHI,3.5,STL,-4.0,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.42637076202848
0.56,42.2,0.2,ATL,L,@ARI,2.5,@CAR,10.0,SEA,3.5,@TB,1.0,NO,7.5,@BUF,4.5,@GB,3.5,WAS,-5.5,@SF,14.0,CAR,4.5,0.090344341616792
0.56,41.9,0.0,OAK,W,PIT,2.5,PHI,-1.0,@NYG,7.5,@HOU,10.0,TEN,2.5,@DAL,9.5,@NYJ,3.0,KC,6.0,@SD,10.0,DEN,10.0,0.0
