EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.23,91.7,6.8,DEN,W,KC,-17.0,
1.2,90.5,16.2,SF,W,ARI,-16.0,
1.12,83.3,2.9,NE,W,MIA,-11.0,
1.06,81.3,12.6,SEA,W,STL,-11.0,
1.06,79.9,6.7,PIT,W,CLE,-10.0,
0.97,75.2,12.2,SD,W,OAK,-9.5,
0.96,70.5,0.2,HOU,L,@IND,-6.5,
0.93,70.1,5.8,TEN,W,JAX,-6.0,
0.91,71.6,13.7,NYG,W,PHI,-6.5,
0.9,66.4,0.3,CIN,W,BAL,-4.5,
0.84,62.6,2.6,WAS,W,DAL,-3.0,
0.84,62.0,1.1,BUF,W,NYJ,-3.5,
0.82,60.5,1.1,CHI,W,@DET,-3.0,
0.81,60.0,0.2,GB,L,@MIN,-3.0,
0.81,65.1,16.2,NO,L,CAR,-4.0,
0.78,57.8,0.9,ATL,L,TB,-3.0,
0.58,42.2,0.0,TB,W,@ATL,3.0,
0.55,34.9,0.0,CAR,W,@NO,4.0,
0.54,40.0,0.1,MIN,W,GB,3.0,
0.54,39.5,0.0,DET,L,CHI,3.0,
0.52,38.0,0.1,NYJ,L,@BUF,3.5,
0.52,37.4,0.1,DAL,L,@WAS,3.0,
0.46,33.6,0.1,BAL,L,@CIN,4.5,
0.44,28.4,0.1,PHI,L,@NYG,6.5,
0.43,29.9,0.1,JAX,L,@TEN,6.0,
0.4,29.5,0.0,IND,W,HOU,6.5,
0.39,24.8,0.0,OAK,L,@SD,9.5,
0.3,20.1,0.0,CLE,L,@PIT,10.0,
0.29,18.7,0.0,STL,L,@SEA,11.0,
0.24,16.7,0.0,MIA,L,@NE,11.0,
0.16,9.5,0.0,ARI,L,@SF,16.0,
0.12,8.3,0.0,KC,L,@DEN,17.0,
