EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.18,77.1,3.5,DEN,W,IND,-8.0,KC,-13.0,@SEA,4.0,BYE,,ARI,-8.0,@NYJ,-10.0,SF,-6.5,SD,-9.0,@NE,-3.0,@OAK,-11.5,@STL,-8.5,MIA,-6.5,@KC,1.0,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,1.0
1.08,72.6,6.5,NYJ,W,OAK,-6.5,@GB,7.0,CHI,-2.0,DET,-1.0,@SD,7.0,DEN,10.0,@NE,9.5,BUF,-3.0,@KC,8.0,PIT,3.5,BYE,,@BUF,2.5,MIA,6.5,@MIN,3.5,@TEN,-3.5,NE,10.0,@MIA,7.0,0.073259947807077
1.05,67.6,0.8,TB,L,CAR,-5.0,STL,-4.0,@ATL,6.5,@PIT,7.5,@NO,10.5,BAL,3.5,BYE,,MIN,-2.0,@CLE,7.0,ATL,3.0,@WAS,7.0,@CHI,4.0,CIN,5.5,@DET,10.5,@CAR,3.5,GB,11.5,NO,5.5,0.058781196252998
1.04,68.6,3.2,DET,W,NYG,-4.5,@CAR,1.0,GB,-1.0,@NYJ,1.0,BUF,-4.5,@MIN,1.5,NO,-1.0,@ATL,-3.5,BYE,,MIA,-3.0,@ARI,-1.0,@NE,7.5,CHI,-7.5,TB,-10.5,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.4615807781749
1.03,66.7,1.3,SEA,W,GB,-4.5,@SD,-4.5,DEN,-4.0,BYE,,@WAS,-7.0,DAL,-9.5,@STL,-6.0,@CAR,-6.0,OAK,-13.5,NYG,-10.0,@KC,1.0,ARI,-7.5,@SF,1.0,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.91374902146801
1.01,81.3,42.8,PHI,W,JAX,-10.0,@IND,3.0,WAS,-4.0,@SF,3.5,STL,-4.5,NYG,-1.5,BYE,,@ARI,1.0,@HOU,-2.0,CAR,-7.0,@GB,4.5,TEN,-12.5,@DAL,3.0,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.40016270274387
0.99,68.9,10.6,PIT,W,CLE,-5.5,@BAL,2.5,@CAR,3.0,TB,-7.5,@JAX,-5.5,@CLE,2.5,HOU,-3.0,IND,4.0,BAL,-2.5,@NYJ,-3.5,@TEN,-7.0,BYE,,NO,-3.5,@CIN,3.0,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.37852542990058
0.98,71.6,19.3,CHI,L,BUF,-7.0,@SF,7.0,@NYJ,2.0,GB,1.5,@CAR,1.0,@ATL,3.0,MIA,-3.0,@NE,5.5,BYE,,@GB,8.5,MIN,-1.5,TB,-4.0,@DET,7.5,DAL,4.0,NO,3.0,DET,10.0,@MIN,7.0,0.086659070160594
0.96,63.3,2.8,NE,L,@MIA,-3.5,@MIN,-3.5,OAK,-14.0,@KC,-3.0,CIN,2.5,@BUF,-1.0,NYJ,-9.5,CHI,-5.5,DEN,3.0,BYE,,@IND,3.0,DET,-7.5,@GB,2.5,@SD,-4.0,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.67534339689926
0.94,60.3,0.4,HOU,W,WAS,-3.0,@OAK,-3.0,@NYG,1.0,BUF,-3.0,@DAL,5.5,IND,2.5,@PIT,3.0,@TEN,-3.5,PHI,2.0,BYE,,@CLE,3.5,CIN,-2.5,TEN,-7.0,@JAX,-6.5,@IND,7.0,BAL,6.5,JAX,-8.0,0.31944694095987
0.93,60.6,1.3,SF,W,@DAL,-3.5,CHI,-7.0,@ARI,-3.0,PHI,-3.5,KC,-4.5,@STL,-3.5,@DEN,6.5,BYE,,STL,-10.5,@NO,5.5,@NYG,-3.5,WAS,-10.0,SEA,-1.0,@OAK,-8.0,@SEA,10.0,SD,-2.0,ARI,-6.5,0.60720667050164
0.92,59.3,0.4,ARI,W,SD,-3.0,@NYG,2.0,SF,3.0,BYE,,@DEN,8.0,WAS,-5.0,@OAK,-3.5,PHI,-1.0,@DAL,1.5,STL,-7.0,DET,1.0,@SEA,7.5,@ATL,-1.5,KC,2.5,@STL,6.0,SEA,9.5,@SF,6.5,0.16789003259837
0.91,59.2,0.7,NO,L,@ATL,-3.0,@CLE,-5.0,MIN,-10.0,@DAL,-3.0,TB,-10.5,BYE,,@DET,1.0,GB,-2.0,@CAR,-3.0,SF,-5.5,CIN,-7.5,BAL,-2.5,@PIT,3.5,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.68685834512184
0.91,60.3,3.7,KC,L,TEN,-3.0,@DEN,13.0,@MIA,5.5,NE,3.0,@SF,4.5,BYE,,@SD,3.0,STL,-7.5,NYJ,-8.0,@BUF,1.5,SEA,-1.0,@OAK,-7.5,DEN,-1.0,@ARI,-2.5,OAK,-11.0,@PIT,2.5,SD,-3.0,0.37948582110813
0.88,56.4,0.4,STL,L,MIN,-2.5,@TB,4.0,DAL,1.5,BYE,,@PHI,4.5,SF,3.5,SEA,6.0,@KC,7.5,@SF,10.5,@ARI,7.0,DEN,8.5,@SD,5.0,OAK,-6.0,@WAS,-2.5,ARI,-6.0,NYG,-6.5,@SEA,11.0,0.20678862354752
0.79,51.2,0.3,BAL,L,CIN,-1.0,PIT,-2.5,@CLE,-1.5,CAR,-3.5,@IND,2.5,@TB,-3.5,ATL,-6.5,@CIN,-2.5,@PIT,2.5,TEN,-10.5,BYE,,@NO,2.5,SD,-6.5,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,0.64004334731103
0.76,48.8,0.1,CIN,W,@BAL,1.0,ATL,-5.5,TEN,-6.5,BYE,,@NE,-2.5,CAR,-7.0,@IND,3.0,BAL,2.5,JAX,-10.5,CLE,-6.5,@NO,7.5,@HOU,2.5,@TB,-5.5,PIT,-3.0,@CLE,2.5,DEN,3.5,@PIT,3.0,0.43149702880667
0.68,43.6,0.6,MIN,W,@STL,2.5,NE,3.5,@NO,10.0,ATL,5.0,@GB,9.0,DET,-1.5,@BUF,6.0,@TB,2.0,WAS,-1.0,BYE,,@CHI,1.5,GB,7.5,CAR,-2.5,NYJ,-3.5,@DET,8.0,@MIA,4.5,CHI,-7.0,0.14315343022604
0.64,39.7,0.0,TEN,W,@KC,3.0,DAL,-3.0,@CIN,6.5,@IND,7.5,CLE,1.0,JAX,-4.5,@WAS,6.0,HOU,3.5,BYE,,@BAL,10.5,PIT,7.0,@PHI,12.5,@HOU,7.0,NYG,2.5,NYJ,3.5,@JAX,4.5,IND,7.5,0.085150007325838
0.64,40.8,0.0,ATL,W,NO,3.0,@CIN,5.5,TB,-6.5,@MIN,-5.0,@NYG,4.5,CHI,-3.0,@BAL,6.5,DET,3.5,BYE,,@TB,-3.0,@CAR,-2.5,CLE,-3.0,ARI,1.5,@GB,13.5,PIT,3.0,@NO,5.5,CAR,-3.0,0.24871689349795
0.63,40.7,0.2,SD,L,@ARI,3.0,SEA,4.5,@BUF,2.5,JAX,-13.0,NYJ,-7.0,@OAK,-7.5,KC,-3.0,@DEN,9.0,@MIA,3.0,BYE,,OAK,-10.5,STL,-5.0,@BAL,6.5,NE,4.0,DEN,4.5,@SF,2.0,@KC,3.0,0.42764685951682
0.62,39.4,0.0,DAL,L,SF,3.5,@TEN,3.0,@STL,-1.5,NO,3.0,HOU,-5.5,@SEA,9.5,NYG,-4.5,WAS,-9.0,ARI,-1.5,@JAX,-7.5,BYE,,@NYG,-4.0,PHI,-3.0,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.49904665772019
0.62,39.7,0.2,WAS,L,@HOU,3.0,JAX,-5.0,@PHI,4.0,NYG,-3.0,SEA,7.0,@ARI,5.0,TEN,-6.0,@DAL,9.0,@MIN,1.0,BYE,,TB,-7.0,@SF,10.0,@IND,7.5,STL,2.5,@NYG,7.0,PHI,7.5,DAL,6.0,0.21987401918349
0.59,36.7,0.0,MIA,W,NE,3.5,@BUF,1.5,KC,-5.5,@OAK,-3.5,BYE,,GB,2.5,@CHI,3.0,@JAX,-7.0,SD,-3.0,@DET,3.0,BUF,-4.0,@DEN,6.5,@NYJ,-6.5,BAL,-3.0,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.455234756283
0.57,28.4,0.0,BUF,W,@CHI,7.0,MIA,-1.5,SD,-2.5,@HOU,3.0,@DET,4.5,NE,1.0,MIN,-6.0,@NYJ,3.0,BYE,,KC,-1.5,@MIA,4.0,NYJ,-2.5,CLE,-3.0,@DEN,8.5,GB,3.0,@OAK,-7.0,@NE,5.5,0.2130681277092
0.56,31.1,0.0,CLE,L,@PIT,5.5,NO,5.0,BAL,1.5,BYE,,@TEN,-1.0,PIT,-2.5,@JAX,-4.0,OAK,-6.5,TB,-7.0,@CIN,6.5,HOU,-3.5,@ATL,3.0,@BUF,3.0,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.25568613123442
0.54,18.7,0.1,JAX,L,@PHI,10.0,@WAS,5.0,IND,7.0,@SD,13.0,PIT,5.5,@TEN,4.5,CLE,4.0,MIA,7.0,@CIN,10.5,DAL,7.5,BYE,,@IND,13.5,NYG,2.5,HOU,6.5,@BAL,14.0,TEN,-4.5,@HOU,8.0,0.046679614913976
0.53,33.3,0.1,GB,L,@SEA,4.5,NYJ,-7.0,@DET,1.0,@CHI,-1.5,MIN,-9.0,@MIA,-2.5,CAR,-6.5,@NO,2.0,BYE,,CHI,-8.5,PHI,-4.5,@MIN,-7.5,NE,-2.5,ATL,-13.5,@BUF,-3.0,@TB,-11.5,DET,-8.0,0.80847868171542
0.51,31.4,0.1,NYG,L,@DET,4.5,ARI,-2.0,HOU,-1.0,@WAS,3.0,ATL,-4.5,@PHI,1.5,@DAL,4.5,BYE,,IND,3.0,@SEA,10.0,SF,3.5,DAL,4.0,@JAX,-2.5,@TEN,-2.5,WAS,-7.0,@STL,6.5,PHI,1.0,0.17869382697098
0.51,32.4,0.3,CAR,W,@TB,5.0,DET,-1.0,PIT,-3.0,@BAL,3.5,CHI,-1.0,@CIN,7.0,@GB,6.5,SEA,6.0,NO,3.0,@PHI,7.0,ATL,2.5,BYE,,@MIN,2.5,@NO,8.5,TB,-3.5,CLE,-5.5,@ATL,3.0,0.14647217480769
0.47,27.4,0.1,OAK,L,@NYJ,6.5,HOU,3.0,@NE,14.0,MIA,3.5,BYE,,SD,7.5,ARI,3.5,@CLE,6.5,@SEA,13.5,DEN,11.5,@SD,10.5,KC,7.5,@STL,6.0,SF,8.0,@KC,11.0,BUF,7.0,@DEN,15.5,0.0
0.38,22.9,0.0,IND,L,@DEN,8.0,PHI,-3.0,@JAX,-7.0,TEN,-7.5,BAL,-2.5,@HOU,-2.5,CIN,-3.0,@PIT,-4.0,@NYG,-3.0,BYE,,NE,-3.0,JAX,-13.5,WAS,-7.5,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.68909626996854
