EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,89.3,20.2,KC,W,ARI,-16.5,@LAR,2.5,BYE,,@OAK,-9.5,BAL,-6.0,LAC,-6.5,@SEA,-4.0,OAK,-13.5,0.78959094670658
1.09,85.3,14.4,GB,W,MIA,-12.0,@SEA,2.5,@MIN,3.0,ARI,-10.5,ATL,-3.0,@CHI,2.5,@NYJ,-4.0,DET,-6.5,0.48892681114838
1.03,78.9,4.5,LAR,W,SEA,-10.0,KC,-2.5,BYE,,@DET,-5.0,@CHI,-2.0,PHI,-3.5,@ARI,-11.0,SF,-12.0,0.71033341051023
1.02,80.5,13.2,LAC,W,@OAK,-10.0,DEN,-7.5,ARI,-9.5,@PIT,4.0,CIN,-3.5,@KC,6.5,BAL,-2.0,@DEN,-1.5,0.49327345910033
0.96,73.5,4.8,CHI,W,DET,-7.5,MIN,-2.5,@DET,-1.5,@NYG,-3.5,LAR,2.0,GB,-2.5,@SF,-3.5,@MIN,3.5,0.24768386164027
0.95,75.3,11.5,PHI,L,DAL,-7.5,@NO,7.5,NYG,-9.5,WAS,-7.0,@DAL,-3.0,@LAR,3.5,HOU,-4.0,@WAS,-3.5,0.58056373462688
0.93,70.5,2.3,NE,L,@TEN,-6.5,BYE,,@NYJ,-8.0,MIN,-4.0,@MIA,-9.5,@PIT,-1.0,BUF,-17.5,NYJ,-13.5,1.0
0.93,70.9,3.6,NO,W,@CIN,-6.0,PHI,-7.5,ATL,-6.0,@DAL,-4.0,@TB,-4.5,@CAR,-2.5,PIT,-3.5,CAR,-6.0,0.76051462599381
0.91,72.3,11.0,NYJ,L,BUF,-7.0,BYE,,NE,8.0,@TEN,3.5,@BUF,-2.5,HOU,3.0,GB,4.0,@NE,13.5,0.037592636670429
0.87,69.5,11.3,ATL,L,@CLE,-5.5,DAL,-3.5,@NO,6.0,BAL,-3.0,@GB,3.0,ARI,-9.5,@CAR,3.0,@TB,-2.0,0.35956620730104
0.84,63.8,0.7,PIT,W,CAR,-3.5,@JAX,-5.0,@DEN,-3.5,LAC,-4.0,@OAK,-7.0,NE,1.0,@NO,3.5,CIN,-6.5,0.6000689457135
0.84,63.4,0.3,TB,L,WAS,-3.5,@NYG,1.0,SF,-3.5,CAR,2.0,NO,4.5,@BAL,5.5,@DAL,3.0,ATL,2.0,0.086733417265861
0.81,61.4,0.8,SF,L,NYG,-3.0,BYE,,@TB,3.5,@SEA,5.5,DEN,-1.5,SEA,2.0,CHI,3.5,@LAR,12.0,0.017045797538564
0.79,59.8,0.3,IND,W,JAX,-3.0,TEN,-2.0,MIA,-4.0,@JAX,3.5,@HOU,4.0,DAL,-2.5,NYG,-3.5,@TEN,2.5,0.24553498837271
0.53,40.2,0.3,JAX,L,@IND,3.0,PIT,5.0,@BUF,-6.0,IND,-3.5,@TEN,0.5,WAS,-3.5,@MIA,-3.0,@HOU,3.0,0.3201759147795
0.51,38.6,0.2,NYG,W,@SF,3.0,TB,-1.0,@PHI,9.5,CHI,3.5,@WAS,3.5,TEN,-1.5,@IND,3.5,DAL,0.5,0.031152575351397
0.49,36.6,0.2,WAS,W,@TB,3.5,HOU,2.5,@DAL,3.0,@PHI,7.0,NYG,-3.5,@JAX,3.5,@TEN,2.0,PHI,3.5,0.080646361134958
0.48,36.2,0.1,CAR,L,@PIT,3.5,@DET,-3.5,SEA,-4.0,@TB,-2.0,@CLE,-3.5,NO,2.5,ATL,-3.0,@NO,6.0,0.35548540319791
0.45,30.5,0.0,CLE,W,ATL,5.5,BYE,,@CIN,5.0,@HOU,6.5,CAR,3.5,@DEN,3.5,CIN,1.5,@BAL,7.5,0.0
0.41,27.7,0.0,BUF,W,@NYJ,7.0,BYE,,JAX,6.0,@MIA,5.5,NYJ,2.5,DET,4.0,@NE,17.5,MIA,2.0,0.0
0.4,29.1,0.0,CIN,L,NO,6.0,@BAL,4.0,CLE,-5.0,DEN,-3.5,@LAC,3.5,OAK,-7.0,@CLE,-1.5,@PIT,6.5,0.36064876807838
0.4,29.5,0.0,TEN,W,NE,6.5,@IND,2.0,@HOU,4.0,NYJ,-3.5,JAX,-0.5,@NYG,1.5,WAS,-2.0,IND,-2.5,0.15346218644172
0.37,24.7,0.0,DAL,W,@PHI,7.5,@ATL,3.5,WAS,-3.0,NO,4.0,PHI,3.0,@IND,2.5,TB,-3.0,@NYG,-0.5,0.11869563342952
0.37,26.5,0.1,DET,L,@CHI,7.5,CAR,3.5,CHI,1.5,LAR,5.0,@ARI,-3.0,@BUF,-4.0,MIN,3.0,@GB,6.5,0.14969486231864
