EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,71.6,3.3,BAL,W,CIN,-6.5,OAK,-11.0,@ATL,1.5,@KC,5.0,TB,-6.5,@LAC,2.0,CLE,-7.0,0.52073302317376
1.15,73.8,11.1,LAC,L,DEN,-7.5,ARI,-11.5,@PIT,5.5,CIN,-4.5,@KC,6.5,BAL,-2.0,@DEN,-1.5,0.3929570177881
1.04,62.3,0.4,LAR,W,KC,-3.0,BYE,,@DET,-6.5,@CHI,-1.5,PHI,-4.0,@ARI,-10.5,SF,-13.0,0.7264569642161
1.01,63.0,4.5,ATL,L,DAL,-3.5,@NO,13.0,BAL,-1.5,@GB,3.0,ARI,-9.5,@CAR,3.0,@TB,-2.5,0.25864727373809
1.01,72.9,28.7,NO,W,PHI,-7.0,ATL,-13.0,@DAL,-5.5,@TB,-6.5,@CAR,-3.0,PIT,-3.5,CAR,-6.5,0.78069748260612
1.0,65.3,11.0,CAR,L,@DET,-4.0,SEA,-3.5,@TB,-3.0,@CLE,-3.5,NO,3.0,ATL,-3.0,@NO,6.5,0.2673851716167
0.99,59.8,1.2,HOU,W,@WAS,-3.0,TEN,-6.5,CLE,-6.5,IND,-4.0,@NYJ,-4.0,@PHI,3.5,JAX,-4.0,0.58585535119991
0.99,59.7,1.3,SEA,W,GB,-3.0,@CAR,3.5,SF,-6.0,MIN,2.5,@SF,-2.0,KC,4.0,ARI,-7.0,0.31641977630621
0.98,65.9,15.5,ARI,L,OAK,-4.5,@LAC,11.5,@GB,9.5,DET,1.5,@ATL,9.5,LAR,10.5,@SEA,7.0,0.0
0.97,58.8,1.8,NYG,W,TB,-3.0,@PHI,6.0,CHI,3.5,@WAS,3.5,TEN,0.5,@IND,3.5,DAL,1.5,0.0
0.95,56.8,0.3,CHI,W,MIN,-2.5,@DET,-4.0,@NYG,-3.5,LAR,1.5,GB,-3.0,@SF,-3.5,@MIN,3.0,0.31160807255539
0.94,64.5,16.8,PIT,W,@JAX,-4.0,@DEN,-3.0,LAC,-5.5,@OAK,-9.5,NE,-2.0,@NO,3.5,CIN,-8.0,0.58813779266069
0.87,52.2,0.8,IND,W,TEN,-1.0,MIA,-9.0,@JAX,3.0,@HOU,4.0,DAL,-1.5,NYG,-3.5,@TEN,3.0,0.3039722322456
0.8,47.8,0.8,TEN,L,@IND,1.0,@HOU,6.5,NYJ,-6.5,JAX,-3.0,@NYG,-0.5,WAS,-3.0,IND,-3.0,0.312575581899
0.72,35.5,0.1,JAX,L,PIT,4.0,@BUF,-3.0,IND,-3.0,@TEN,3.0,WAS,-3.0,@MIA,-2.5,@HOU,4.0,0.23702479533777
0.72,43.2,0.3,MIN,L,@CHI,2.5,GB,-3.5,@NE,4.0,@SEA,-2.5,MIA,-9.5,@DET,-3.5,CHI,-3.0,0.47942862216467
0.7,41.2,0.6,TB,L,@NYG,3.0,SF,-3.5,CAR,3.0,NO,6.5,@BAL,6.5,@DAL,3.5,ATL,2.5,0.088299457361192
0.69,34.1,0.4,OAK,W,@ARI,4.5,@BAL,11.0,KC,9.5,PIT,9.5,@CIN,7.0,DEN,3.0,@KC,14.0,0.0
0.68,40.3,0.3,GB,L,@SEA,3.0,@MIN,3.5,ARI,-9.5,ATL,-3.0,@CHI,3.0,@NYJ,-4.5,DET,-6.5,0.51454982719161
0.68,40.2,0.3,WAS,L,HOU,3.0,@DAL,7.5,@PHI,6.5,NYG,-3.5,@JAX,3.0,@TEN,3.0,PHI,3.0,0.083934357141522
0.67,34.7,0.1,DET,W,CAR,4.0,CHI,4.0,LAR,6.5,@ARI,-1.5,@BUF,-3.0,MIN,3.5,@GB,6.5,0.067280254786993
0.66,27.1,0.1,PHI,L,@NO,7.0,NYG,-6.0,WAS,-6.5,@DAL,-1.5,@LAR,4.0,HOU,-3.5,@WAS,-3.0,0.44727634345056
0.65,37.0,0.1,DAL,W,@ATL,3.5,WAS,-7.5,NO,5.5,PHI,1.5,@IND,1.5,TB,-3.5,@NYG,-1.5,0.26583563885965
0.63,37.7,0.1,KC,L,@LAR,3.0,BYE,,@OAK,-9.5,BAL,-5.0,LAC,-6.5,@SEA,-4.0,OAK,-14.0,0.81354076725308
0.52,26.2,0.1,DEN,W,@LAC,7.5,PIT,3.0,@CIN,3.0,@SF,1.5,CLE,-3.5,@OAK,-3.0,LAC,1.5,0.1153621640734
0.5,28.4,0.2,CIN,L,@BAL,6.5,CLE,-3.0,DEN,-3.0,@LAC,4.5,OAK,-7.0,@CLE,1.0,@PIT,8.0,0.29183515250817
,,,BUF,,BYE,,JAX,3.0,@MIA,3.5,NYJ,-0.5,DET,3.0,@NE,16.5,MIA,-0.5,0.013659637924044
,,,CLE,,BYE,,@CIN,3.0,@HOU,6.5,CAR,3.5,@DEN,3.5,CIN,-1.0,@BAL,7.0,0.0082428248530429
,,,MIA,,BYE,,@IND,9.0,BUF,-3.5,NE,9.5,@MIN,9.5,JAX,2.5,@BUF,0.5,0.087901244829946
,,,NE,,BYE,,@NYJ,-9.5,MIN,-4.0,@MIA,-9.5,@PIT,2.0,BUF,-16.5,NYJ,-13.5,1.0
,,,NYJ,,BYE,,NE,9.5,@TEN,6.5,@BUF,0.5,HOU,4.0,GB,4.5,@NE,13.5,0.0
,,,SF,,BYE,,@TB,3.5,@SEA,6.0,DEN,-1.5,SEA,2.0,CHI,3.5,@LAR,13.0,0.018553708630599
