EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.06,67.0,1.7,BAL,L,@PIT,-4.5,@TEN,-3.5,DET,-4.0,@ARI,-7.0,SEA,-6.5,CLE,-4.0,CIN,-3.5,@LAC,1.5,BYE,,LAR,-7.0,@JAX,-1.5,@SF,5.0,MIA,-3.0,PIT,-8.0,0.54679344892388
1.05,84.8,42.8,MIA,W,NYG,-13.0,CAR,-14.0,@PHI,2.5,NE,-9.5,@KC,3.0,BYE,,LV,-9.5,@NYJ,-7.0,@WAS,-7.0,TEN,-6.5,NYJ,-11.0,DAL,-3.0,@BAL,3.0,BUF,-2.5,0.71712368253787
1.04,67.4,3.1,BUF,L,JAX,-5.5,NYG,-15.0,@NE,-6.5,TB,-10.0,@CIN,-0.5,DEN,-9.5,NYJ,-11.5,@PHI,2.0,BYE,,@KC,3.0,DAL,-3.0,@LAC,1.0,NE,-10.0,@MIA,2.5,0.65661257600062
1.02,69.6,7.6,WAS,L,CHI,-6.0,@ATL,2.5,@NYG,0.5,PHI,6.5,@NE,3.5,@SEA,6.5,NYG,-4.0,@DAL,10.0,MIA,7.0,BYE,,@LAR,6.0,@NYJ,3.0,SF,12.0,DAL,6.5,0.046216930143728
1.0,62.5,0.2,SF,W,DAL,-3.5,@CLE,-5.0,@MIN,-7.0,CIN,-7.0,BYE,,@JAX,-4.0,TB,-14.5,@SEA,-6.5,@PHI,-2.5,SEA,-9.5,@ARI,-10.5,BAL,-5.0,@WAS,-12.0,LAR,-10.0,1.0
1.0,62.7,0.7,PHI,W,@LAR,-4.0,@NYJ,-7.0,MIA,-2.5,@WAS,-6.5,DAL,-3.0,BYE,,@KC,3.5,BUF,-2.0,SF,2.5,@DAL,3.0,@SEA,-3.0,NYG,-12.0,ARI,-9.5,@NYG,-8.0,0.53401067099836
0.99,61.7,0.6,KC,W,@MIN,-3.5,DEN,-10.5,LAC,-4.0,@DEN,-6.0,MIA,-3.0,BYE,,PHI,-3.5,@LV,-6.5,@GB,-7.0,BUF,-3.0,@NE,-6.5,LV,-10.0,CIN,-4.0,@LAC,0.5,0.70365304760122
0.96,61.0,1.3,CIN,W,@ARI,-3.0,SEA,-2.5,BYE,,@SF,7.0,BUF,0.5,HOU,-7.0,@BAL,3.5,PIT,-6.5,@JAX,1.5,IND,-8.0,MIN,-6.0,@PIT,-3.0,@KC,4.0,CLE,-3.0,0.39311467150889
0.96,79.2,38.7,DET,W,CAR,-10.0,@TB,-3.0,@BAL,4.0,LV,-7.0,BYE,,@LAC,3.5,CHI,-10.0,GB,-7.0,@NO,-0.5,@CHI,-6.5,DEN,-6.5,@MIN,-1.5,@DAL,4.0,MIN,-5.0,0.51374389624224
0.93,57.5,0.2,TEN,L,@IND,-2.5,BAL,3.5,BYE,,ATL,-3.5,@PIT,1.0,@TB,-1.5,@JAX,3.5,CAR,-9.5,IND,-5.5,@MIA,6.5,HOU,-4.5,SEA,-2.5,@HOU,-1.5,JAX,-1.0,0.30799478808169
0.92,56.5,0.2,DEN,L,NYJ,-2.5,@KC,10.5,GB,-3.0,KC,6.0,BYE,,@BUF,9.5,MIN,-0.5,CLE,3.0,@HOU,3.0,@LAC,8.0,@DET,6.5,NE,-3.0,LAC,4.0,@LV,2.0,0.056383193464863
0.9,55.3,0.2,ATL,W,HOU,-2.5,WAS,-2.5,@TB,1.0,@TEN,3.5,MIN,-2.0,@ARI,-2.0,BYE,,NO,-1.0,@NYJ,-1.5,TB,-3.5,@CAR,-3.5,IND,-3.5,@CHI,-3.0,@NO,3.5,0.23236814166206
0.87,54.3,0.3,NE,L,NO,-1.5,@LV,3.0,BUF,6.5,@MIA,9.5,WAS,-3.5,IND,-3.0,BYE,,@NYG,-1.5,LAC,5.0,@PIT,3.5,KC,6.5,@DEN,3.0,@BUF,10.0,NYJ,-3.5,0.10534696320067
0.87,53.7,0.1,LV,W,GB,-2.0,NE,-3.0,@CHI,-1.5,@DET,7.0,NYG,-4.0,NYJ,-3.0,@MIA,9.5,KC,6.5,BYE,,MIN,1.0,LAC,5.0,@KC,10.0,@IND,3.0,DEN,-2.0,0.14871581825736
0.74,46.3,0.4,GB,L,@LV,2.0,BYE,,@DEN,3.0,MIN,-0.5,LAR,1.0,@PIT,3.5,LAC,4.5,@DET,7.0,KC,7.0,@NYG,-1.5,TB,-3.0,@CAR,-3.0,@MIN,3.5,CHI,-6.0,0.12509476002609
0.74,45.7,0.1,NO,W,@NE,1.5,@HOU,-1.5,JAX,-1.0,@IND,-1.5,CHI,-8.0,@MIN,1.5,BYE,,@ATL,1.0,DET,0.5,CAR,-8.0,NYG,-7.5,@LAR,2.5,@TB,-1.5,ATL,-3.5,0.33761661442457
0.71,44.7,0.7,HOU,L,@ATL,2.5,NO,1.5,BYE,,@CAR,-3.0,TB,-3.0,@CIN,7.0,ARI,-4.0,JAX,3.0,DEN,-3.0,@NYJ,0.5,@TEN,4.5,CLE,3.0,TEN,1.5,@IND,2.0,0.13171623073235
0.69,43.5,0.7,NYJ,W,@DEN,2.5,PHI,7.0,BYE,,@NYG,0.5,LAC,6.5,@LV,3.0,@BUF,11.5,MIA,7.0,ATL,1.5,HOU,-0.5,@MIA,11.0,WAS,-3.0,@CLE,9.5,@NE,3.5,0.025414272422186
