EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.2,86.1,11.2,GB,W,ATL,-13.5,@BUF,-3.0,@TB,-11.5,DET,-8.0,0.75137211551428
1.1,78.1,5.1,DEN,W,BUF,-8.5,@SD,-4.5,@CIN,-3.5,OAK,-15.5,0.70978729225362
1.08,77.7,7.8,NO,L,CAR,-8.5,@CHI,-3.0,ATL,-5.5,@TB,-5.5,0.50259910598557
1.01,76.9,19.6,SF,L,@OAK,-8.0,@SEA,10.0,SD,-2.0,ARI,-6.5,0.25282038564421
0.99,70.9,6.0,HOU,W,@JAX,-6.5,@IND,7.0,BAL,6.5,JAX,-8.0,0.27931991406463
0.97,80.5,39.2,DET,W,TB,-10.5,MIN,-8.0,@CHI,-10.0,@GB,8.0,0.58694533346217
0.94,65.3,0.4,NE,W,@SD,-4.0,MIA,-8.5,@NYJ,-10.0,BUF,-5.5,0.77027567168677
0.92,64.0,0.8,DAL,W,@CHI,-4.0,@PHI,3.5,IND,-3.5,@WAS,-6.0,0.32944824692387
0.9,64.5,4.7,MIN,W,NYJ,-3.5,@DET,8.0,@MIA,4.5,CHI,-7.0,0.25235646831244
0.86,60.0,0.2,MIA,L,BAL,-3.0,@NE,8.5,MIN,-4.5,NYJ,-7.0,0.41040321691112
0.84,59.0,0.6,IND,W,@CLE,-3.0,HOU,-7.0,@DAL,3.5,@TEN,-7.5,0.47522988482785
0.84,58.4,0.2,CIN,L,PIT,-3.0,@CLE,2.5,DEN,3.5,@PIT,3.0,0.0
0.82,56.8,0.1,KC,L,@ARI,-2.5,OAK,-11.0,@PIT,2.5,SD,-3.0,0.40880155946144
0.82,56.8,0.5,STL,W,@WAS,-2.5,ARI,-6.0,NYG,-6.5,@SEA,11.0,0.4344149030987
0.81,56.8,0.7,NYG,W,@TEN,-2.5,WAS,-7.0,@STL,6.5,PHI,1.0,0.24445664368227
0.74,51.7,0.1,SEA,W,@PHI,-1.5,SF,-10.0,@ARI,-9.5,STL,-11.0,0.91237762589852
0.69,48.3,0.1,PHI,L,SEA,1.5,DAL,-3.5,@WAS,-7.5,@NYG,-1.0,0.35750328383551
0.62,43.2,0.2,TEN,L,NYG,2.5,NYJ,3.5,@JAX,4.5,IND,7.5,0.0
0.62,43.2,0.7,WAS,L,STL,2.5,@NYG,7.0,PHI,7.5,DAL,6.0,0.0
0.62,43.2,0.4,ARI,W,KC,2.5,@STL,6.0,SEA,9.5,@SF,6.5,0.0
0.6,41.6,0.1,PIT,W,@CIN,3.0,@ATL,-3.0,KC,-2.5,CIN,-3.0,0.24348898816273
0.59,41.0,0.0,CLE,L,IND,3.0,CIN,-2.5,@CAR,5.5,@BAL,14.0,0.049172210448739
0.57,40.0,0.4,BAL,W,@MIA,3.0,JAX,-14.0,@HOU,-6.5,CLE,-14.0,1.0
0.54,35.5,0.1,NYJ,L,@MIN,3.5,@TEN,-3.5,NE,10.0,@MIA,7.0,0.1214235977612
0.52,36.0,0.5,CHI,L,DAL,4.0,NO,3.0,DET,10.0,@MIN,7.0,0.0
0.5,34.7,0.0,SD,L,NE,4.0,DEN,4.5,@SF,2.0,@KC,3.0,0.0
0.47,19.5,0.0,TB,L,@DET,10.5,@CAR,3.5,GB,11.5,NO,5.5,0.0
0.45,29.1,0.1,JAX,L,HOU,6.5,@BAL,14.0,TEN,-4.5,@HOU,8.0,0.1598721320379
0.43,23.1,0.1,OAK,W,SF,8.0,@KC,11.0,BUF,7.0,@DEN,15.5,0.0
0.36,22.3,0.0,CAR,W,@NO,8.5,TB,-3.5,CLE,-5.5,@ATL,3.0,0.32075467618149
0.34,21.9,0.0,BUF,L,@DEN,8.5,GB,3.0,@OAK,-7.0,@NE,5.5,0.21708612376153
0.24,13.9,0.0,ATL,L,@GB,13.5,PIT,3.0,@NO,5.5,CAR,-3.0,0.07576537158004
