EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,87.9,13.2,NO,L,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.70462273780888
1.02,79.9,5.9,HOU,W,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.47416666823483
1.01,85.4,32.3,BAL,W,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.72472224603263
1.0,81.3,18.5,NYG,W,MIA,-9.5,@NE,9.5,@SF,4.0,PHI,-6.0,@NO,7.0,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.19991903663971
0.98,79.5,16.3,SF,W,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.7188414393379
0.97,76.9,8.3,TEN,W,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.30498247297228
0.84,65.0,1.8,BUF,W,WAS,-4.0,NYJ,-2.5,@DAL,4.0,@MIA,3.0,@NYJ,9.5,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.021910471677448
0.81,62.5,0.6,CAR,L,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.26230883737868
0.8,61.3,0.1,NE,L,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.99456795714311
0.79,61.6,1.3,DET,W,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.36461987175534
0.78,60.3,0.2,PHI,W,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.48564924064341
0.78,60.0,0.4,SD,L,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.32839775901543
0.7,54.2,0.7,CIN,W,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.29669850703843
