EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.16,79.5,4.6,HOU,W,@NYJ,-9.5,GB,-4.0,BAL,-7.0,BYE,,BUF,-11.0,@CHI,1.0,JAX,-15.0,@DET,-3.5,@TEN,-7.0,@NE,5.5,IND,-10.5,MIN,-9.5,@IND,-6.5,0.7714032178052
1.07,80.8,24.4,SF,W,BUF,-10.0,NYG,-7.0,SEA,-8.0,@ARI,-7.5,BYE,,STL,-13.0,CHI,-3.5,@NO,-1.0,@STL,-7.5,MIA,-10.0,@NE,4.0,@SEA,2.5,ARI,-16.0,0.79731237701401
1.03,70.5,3.1,BAL,W,@KC,-6.0,DAL,-3.5,@HOU,7.0,BYE,,@CLE,-3.5,OAK,-9.5,@PIT,-3.0,@SD,-1.0,PIT,-7.0,@WAS,1.0,DEN,3.0,NYG,1.0,@CIN,4.5,0.29973053858731
1.02,69.3,1.1,NE,W,DEN,-5.5,@SEA,-4.0,NYJ,-11.0,@STL,-7.5,BYE,,BUF,-13.5,IND,-9.5,@NYJ,-7.0,@MIA,-7.0,HOU,-5.5,SF,-4.0,@JAX,-14.0,MIA,-11.0,1.0
1.02,70.1,4.3,CHI,W,@JAX,-6.5,BYE,,DET,-6.5,CAR,-7.0,@TEN,-4.5,HOU,-1.0,@SF,3.5,MIN,-6.0,SEA,-3.0,@MIN,-1.0,GB,3.0,@ARI,-7.0,@DET,-3.0,0.44384008277709
1.0,70.5,7.0,MIN,W,TEN,-6.0,@WAS,-2.0,ARI,-7.0,TB,-5.5,@SEA,4.5,DET,3.0,BYE,,@CHI,6.0,@GB,7.0,CHI,1.0,@STL,1.0,@HOU,9.5,GB,3.0,0.1644808291055
0.98,70.5,11.6,GB,L,@IND,-6.5,@HOU,4.0,@STL,-4.0,JAX,-15.5,ARI,-10.5,BYE,,@DET,-3.0,@NYG,1.0,MIN,-7.0,DET,-6.5,@CHI,-3.0,TEN,-10.5,@MIN,-3.0,0.68318465799484
0.96,78.1,36.5,NYG,W,CLE,-8.0,@SF,7.0,WAS,-6.5,@DAL,-1.5,PIT,-3.5,@CIN,-3.5,BYE,,GB,-1.0,@WAS,-2.5,NO,-4.0,@ATL,1.0,@BAL,-1.0,PHI,-6.5,0.37480566501708
0.95,64.5,0.6,PIT,W,PHI,-4.0,@TEN,-6.0,@CIN,-1.0,WAS,-4.5,@NYG,3.5,KC,-12.5,BAL,3.0,@CLE,-1.0,@BAL,7.0,SD,-7.0,@DAL,-1.0,CIN,-3.0,CLE,-10.0,0.48925067177954
0.93,63.3,1.0,NO,W,SD,-3.5,BYE,,@TB,-1.0,@DEN,6.0,PHI,-2.5,ATL,1.0,@OAK,-6.0,SF,1.0,@ATL,3.5,@NYG,4.0,TB,-3.5,@DAL,1.0,CAR,-4.0,0.20143625933422
