EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.42,84.2,3.2,DAL,W,WAS,-13.0,SEA,-9.0,PHI,-2.5,@BUF,1.5,@MIA,3.0,DET,-3.5,@WAS,-6.5,0.45408681470884
1.33,79.0,3.7,MIA,W,@NYJ,-9.5,@WAS,-10.0,TEN,-9.5,NYJ,-13.5,DAL,-3.0,@BAL,3.5,BUF,-3.5,0.75827770714214
1.26,77.3,8.3,DET,L,GB,-8.5,@NO,-4.0,@CHI,-6.5,DEN,-5.0,@MIN,-3.0,@DAL,3.5,MIN,-6.5,0.54193383718982
1.25,78.5,13.3,KC,W,@LV,-8.5,@GB,-6.5,BUF,-3.5,@NE,-6.5,LV,-8.0,CIN,-3.5,@LAC,-1.5,0.63644770327912
1.23,72.9,2.8,SF,W,@SEA,-7.0,@PHI,-3.0,SEA,-9.0,@ARI,-15.0,BAL,-3.5,@WAS,-10.0,LAR,-9.5,1.0
1.09,65.3,3.7,NE,L,@NYG,-4.5,LAC,6.0,@PIT,5.0,KC,6.5,@DEN,5.0,@BUF,8.0,NYJ,-3.5,0.085980984788668
1.01,61.0,3.7,BAL,W,@LAC,-3.0,BYE,,LAR,-8.0,@JAX,-3.0,@SF,3.5,MIA,-3.5,PIT,-7.5,0.4666016067288
0.98,57.9,1.1,LAR,W,@ARI,-3.0,CLE,-3.5,@BAL,8.0,WAS,-4.5,NO,-1.5,@NYG,-6.0,@SF,9.5,0.3460623510071
0.97,57.1,1.0,IND,W,TB,-2.5,@TEN,-2.0,@CIN,7.0,PIT,1.0,@ATL,3.5,LV,-2.0,HOU,-2.0,0.073040089879101
0.96,57.6,3.2,PHI,W,BUF,-3.0,SF,3.0,@DAL,2.5,@SEA,-3.0,NYG,-18.5,ARI,-14.0,@NYG,-16.5,0.90477475432305
0.92,54.5,1.4,DEN,W,CLE,-1.0,@HOU,3.5,@LAC,3.5,@DET,5.0,NE,-5.0,LAC,-1.5,@LV,0.5,0.13472319473578
0.92,54.7,1.9,PIT,W,@CIN,-2.5,ARI,-4.5,NE,-5.0,@IND,-1.0,CIN,1.0,@SEA,3.0,@BAL,7.5,0.26503022455454
0.9,52.5,0.3,NO,L,@ATL,-1.0,DET,4.0,CAR,-8.0,NYG,-11.0,@LAR,1.5,@TB,-2.0,ATL,-4.0,0.53138884713772
0.88,40.7,0.1,CHI,W,@MIN,3.0,BYE,,DET,6.5,@CLE,4.5,ARI,-3.0,ATL,1.5,@GB,4.0,0.065911649363508
0.88,51.6,0.5,JAX,W,@HOU,-1.0,CIN,-7.5,@CLE,-1.5,BAL,3.0,@TB,-3.0,CAR,-9.5,@TEN,-3.0,0.49309994415358
0.86,38.0,0.0,CAR,L,@TEN,3.5,@TB,5.5,@NO,8.0,ATL,2.5,GB,1.0,@JAX,9.5,TB,0.5,0.0
0.85,62.0,27.1,TEN,W,CAR,-3.5,IND,2.0,@MIA,9.5,HOU,-2.0,SEA,1.5,@HOU,3.0,JAX,3.0,0.033350076665056
0.83,48.4,0.2,HOU,L,JAX,1.0,DEN,-3.5,@NYJ,-1.5,@TEN,2.0,CLE,-2.5,TEN,-3.0,@IND,2.0,0.21145978027144
0.83,59.3,23.4,MIN,L,CHI,-3.0,BYE,,@LV,2.0,@CIN,6.0,DET,3.0,GB,-3.5,@DET,6.5,0.077402047175484
0.81,47.5,0.1,ATL,W,NO,1.0,@NYJ,-2.5,TB,-3.5,@CAR,-2.5,IND,-3.5,@CHI,-1.5,@NO,4.0,0.2882782232417
0.79,45.3,0.2,CIN,L,PIT,2.5,@JAX,7.5,IND,-7.0,MIN,-6.0,@PIT,-1.0,@KC,3.5,CLE,-6.5,0.43333048399575
0.79,45.5,0.1,CLE,L,@DEN,1.0,@LAR,3.5,JAX,1.5,CHI,-4.5,@HOU,2.5,NYJ,-5.0,@CIN,6.5,0.23251694259056
0.75,42.4,0.0,BUF,L,@PHI,3.0,BYE,,@KC,3.5,DAL,-1.5,@LAC,0.5,NE,-8.0,@MIA,3.5,0.20036913964829
0.74,42.9,0.1,TB,L,@IND,2.5,CAR,-5.5,@ATL,3.5,@GB,3.0,JAX,3.0,NO,2.0,@CAR,-0.5,0.13005439484886
0.73,42.1,0.1,ARI,L,LAR,3.0,@PIT,4.5,BYE,,SF,15.0,@CHI,3.0,@PHI,14.0,SEA,3.5,0.0
0.7,39.0,0.0,LAC,L,BAL,3.0,@NE,-6.0,DEN,-3.5,@LV,-2.0,BUF,-0.5,@DEN,1.5,KC,1.5,0.24387500487553
0.62,34.7,0.2,NYG,W,NE,4.5,BYE,,GB,3.5,@NO,11.0,@PHI,18.5,LAR,6.0,PHI,16.5,0.0
0.48,27.1,0.0,SEA,L,SF,7.0,@DAL,9.0,@SF,9.0,PHI,3.0,@TEN,-1.5,PIT,-3.0,@ARI,-3.5,0.16706177377351
0.46,21.5,0.0,LV,L,KC,8.5,BYE,,MIN,-2.0,LAC,2.0,@KC,8.0,@IND,2.0,DEN,-0.5,0.033781041825881
0.44,22.7,0.0,GB,W,@DET,8.5,KC,6.5,@NYG,-3.5,TB,-3.0,@CAR,-1.0,@MIN,3.5,CHI,-4.0,0.23690827362157
0.38,21.0,0.0,NYJ,L,MIA,9.5,ATL,2.5,HOU,1.5,@MIA,13.5,WAS,-1.0,@CLE,5.0,@NE,3.5,0.012964005073198
0.29,15.8,0.0,WAS,L,@DAL,13.0,MIA,10.0,BYE,,@LAR,4.5,@NYJ,1.0,SF,10.0,DAL,6.5,0.0
