EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.26,86.6,9.5,LAR,L,PHI,-13.5,@ARI,-14.0,SF,-15.0,1.0
1.11,75.7,5.1,MIN,W,MIA,-7.5,@DET,-6.0,CHI,0.5,0.25156163193389
1.09,75.7,8.0,BAL,W,TB,-8.5,@LAC,4.5,CLE,-6.0,0.24192171747823
1.08,74.2,6.8,JAX,L,WAS,-7.5,@MIA,4.5,@HOU,7.0,0.0
1.03,69.6,0.9,NO,W,@CAR,-6.0,PIT,-5.5,CAR,-9.5,0.60111740915487
1.03,78.0,28.1,ATL,W,ARI,-10.0,@CAR,3.0,@TB,-0.5,0.00090073597533236
1.01,72.6,14.5,HOU,W,@NYJ,-7.0,@PHI,1.0,JAX,-7.0,0.29088373665879
1.0,67.6,1.7,CHI,W,GB,-5.0,@SF,-4.0,@MIN,-0.5,0.19501804132652
0.95,64.1,0.7,KC,L,LAC,-3.5,@SEA,-2.5,OAK,-14.0,0.55363152921085
0.93,64.5,6.3,SEA,L,@SF,-3.5,KC,2.5,ARI,-10.0,0.4059314028659
0.92,61.1,0.3,IND,W,DAL,-3.0,NYG,-10.0,@TEN,2.0,0.38637565875562
0.89,61.4,4.4,CIN,W,OAK,-3.0,@CLE,7.0,@PIT,10.5,0.0
0.88,58.3,0.7,BUF,W,DET,-2.5,@NE,13.0,MIA,-1.5,0.054045645319789
0.84,56.2,0.3,NE,L,@PIT,-2.5,BUF,-13.0,NYJ,-15.0,0.97847215091584
0.83,55.6,0.5,TEN,W,@NYG,-1.0,WAS,-10.5,IND,-2.0,0.47794966517051
0.78,54.6,6.3,DEN,L,CLE,-1.0,@OAK,-2.5,LAC,1.5,0.10033716198945
0.71,45.4,0.3,CLE,W,@DEN,1.0,CIN,-7.0,@BAL,6.0,0.3498040158384
0.66,44.4,1.0,NYG,L,TEN,1.0,@IND,10.0,DAL,1.5,0.0
0.65,43.8,0.2,PIT,W,NE,2.5,@NO,5.5,CIN,-10.5,0.411383093015
0.62,41.7,1.7,DET,L,@BUF,2.5,MIN,6.0,@GB,6.5,0.0
0.6,38.6,0.4,OAK,L,@CIN,3.0,DEN,2.5,@KC,14.0,0.0
0.58,38.9,1.0,DAL,L,@IND,3.0,TB,-7.5,@NYG,-1.5,0.36630397225587
0.56,35.5,0.2,SF,W,SEA,3.5,CHI,4.0,@LAR,15.0,0.0
0.54,35.9,0.1,LAC,W,@KC,3.5,BAL,-4.5,@DEN,-1.5,0.26017235748622
0.49,32.4,0.2,GB,L,@CHI,5.0,@NYJ,0.0,DET,-6.5,0.28860160696426
0.49,27.4,0.1,NYJ,L,HOU,7.0,GB,0.0,@NE,15.0,0.0
0.47,22.0,0.1,ARI,L,@ATL,10.0,LAR,14.0,@SEA,10.0,0.0
0.46,30.4,0.2,CAR,L,NO,6.0,ATL,-3.0,@NO,9.5,0.10500826351764
0.42,25.8,0.2,WAS,W,@JAX,7.5,@TEN,10.5,PHI,3.5,0.0
0.4,24.3,0.1,TB,L,@BAL,8.5,@DAL,7.5,ATL,0.5,0.0
0.39,24.3,0.1,MIA,L,@MIN,7.5,JAX,-4.5,@BUF,1.5,0.21328756132467
0.23,13.4,0.1,PHI,W,@LAR,13.5,HOU,-1.0,@WAS,-3.5,0.19122368018979
