EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,78.1,11.8,GB,W,STL,-8.5,SD,-10.0,BYE,,@DEN,1.0,@CAR,-2.0,DET,-13.5,@MIN,-3.5,CHI,-14.0,@DET,-8.0,DAL,-9.5,@OAK,-7.0,@ARI,-0.5,MIN,-7.5,0.81175546598019
1.07,75.9,8.3,NE,W,@DAL,-8.0,@IND,-7.5,NYJ,-7.0,MIA,-11.5,WAS,-13.5,@NYG,-4.5,BUF,-7.0,@DEN,-1.0,PHI,-8.0,@HOU,-7.0,TEN,-13.0,@NYJ,-3.5,@MIA,-7.5,1.0
1.04,71.4,0.7,PHI,W,NO,-6.5,NYG,-3.5,@CAR,3.5,BYE,,@DAL,-1.5,MIA,-6.0,TB,-8.5,@DET,-3.5,@NE,8.0,BUF,-1.0,ARI,1.5,WAS,-6.5,@NYG,2.5,0.35644190740935
1.03,79.2,25.9,KC,L,CHI,-10.0,@MIN,3.5,PIT,-3.5,DET,-7.0,BYE,,@DEN,6.0,@SD,2.5,BUF,-1.5,@OAK,-2.5,SD,-3.0,@BAL,2.5,CLE,-7.0,OAK,-6.5,0.35369653474106
1.02,74.6,13.1,NYG,W,SF,-7.5,@PHI,3.5,DAL,-4.5,@NO,-3.0,@TB,-4.0,NE,4.5,BYE,,@WAS,-3.0,NYJ,-1.5,@MIA,-2.0,CAR,-0.5,@MIN,2.5,PHI,-2.5,0.21232923215646
0.98,69.9,6.6,BAL,L,CLE,-6.0,@SF,-2.5,@ARI,5.5,SD,-3.0,BYE,,JAX,-8.0,STL,-3.5,@CLE,-3.0,@MIA,-1.0,SEA,1.5,KC,-2.5,PIT,-3.5,@CIN,7.0,0.27245427133885
0.97,66.9,1.0,HOU,L,IND,-5.0,@JAX,-2.0,@MIA,3.0,TEN,-3.0,BYE,,@CIN,9.5,NYJ,3.0,NO,-3.0,@BUF,7.0,NE,7.0,@IND,6.5,@TEN,3.0,JAX,-6.0,0.13104792256703
0.97,66.4,0.4,SD,L,PIT,-4.0,@GB,10.0,OAK,-4.5,@BAL,3.0,CHI,-8.0,BYE,,KC,-2.5,@JAX,-4.0,DEN,3.0,@KC,3.0,MIA,-4.5,@OAK,-1.5,@DEN,6.5,0.28901446962282
0.95,66.9,3.9,DEN,W,@OAK,-4.5,@CLE,-4.0,BYE,,GB,-1.0,@IND,-1.5,KC,-6.0,@CHI,-8.5,NE,1.0,@SD,-3.0,OAK,-9.5,@PIT,-3.5,CIN,-2.5,SD,-6.5,0.50070147127647
0.95,73.8,23.6,ATL,W,WAS,-7.0,@NO,-3.0,@TEN,-3.5,TB,-10.5,@SF,-7.0,BYE,,IND,-3.5,MIN,-4.0,@TB,-6.5,@CAR,2.5,@JAX,-7.0,CAR,-3.0,NO,-7.5,0.65092888880646
0.94,65.3,1.6,ARI,W,@DET,-4.0,@PIT,-3.0,BAL,-5.5,@CLE,-6.5,BYE,,@SEA,3.0,CIN,-1.5,@SF,-7.0,@STL,-3.5,MIN,-5.0,@PHI,-1.5,GB,0.5,SEA,-3.0,0.41602302651775
0.89,61.4,0.4,CIN,W,SEA,-3.0,@BUF,-3.5,BYE,,@PIT,-4.0,CLE,-10.5,HOU,-9.5,@ARI,1.5,STL,-9.5,@CLE,-7.0,PIT,-8.0,@SF,-9.5,@DEN,2.5,BAL,-7.0,0.76397587039406
0.75,51.7,0.5,TB,W,JAX,-1.0,BYE,,@WAS,4.0,@ATL,10.5,NYG,4.0,DAL,2.5,@PHI,8.5,@IND,9.5,ATL,6.5,NO,1.5,@STL,6.5,CHI,-3.0,@CAR,10.5,0.027335906079109
0.75,50.7,0.1,TEN,L,BUF,-1.0,MIA,-2.5,ATL,3.5,@HOU,3.0,@NO,3.0,CAR,3.5,@JAX,-2.5,OAK,-3.0,JAX,-6.0,@NYJ,7.0,@NE,13.0,HOU,-3.0,@IND,7.0,0.15972411147675
0.71,49.3,1.2,BUF,W,@TEN,1.0,CIN,3.5,@JAX,-6.5,BYE,,MIA,-7.0,@NYJ,2.5,@NE,7.0,@KC,1.5,HOU,-7.0,@PHI,1.0,@WAS,-3.5,DAL,-6.5,NYJ,-3.0,0.38450712498397
0.7,48.3,0.2,JAX,L,@TB,1.0,HOU,2.0,BUF,6.5,BYE,,@NYJ,9.5,@BAL,8.0,TEN,2.5,SD,4.0,@TEN,6.0,IND,6.0,ATL,7.0,@NO,5.0,@HOU,6.0,0.0
0.56,38.6,0.1,SEA,L,@CIN,3.0,CAR,-7.0,@SF,-7.0,@DAL,-3.5,BYE,,ARI,-3.0,SF,-10.5,PIT,-7.0,@MIN,-1.0,@BAL,-1.5,CLE,-9.5,STL,-7.0,@ARI,3.0,0.62069505473899
