EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.31,88.1,14.0,SEA,W,CLE,-14.5,STL,-13.5,@ARI,3.0,0.66165283946677
1.3,88.7,18.2,NE,W,TEN,-14.5,@NYJ,-3.0,@MIA,-8.0,0.61066631458883
1.14,75.7,4.7,PIT,W,DEN,-7.5,@BAL,-10.0,@CLE,-6.5,0.87566185969577
1.12,73.2,1.2,CIN,W,@SF,-7.0,@DEN,3.5,BAL,-9.5,0.50494403518594
1.09,72.3,4.5,KC,W,@BAL,-7.0,CLE,-12.5,OAK,-7.0,1.0
1.03,67.5,1.2,CAR,W,@NYG,-5.0,@ATL,-7.0,TB,-9.5,0.88665072606807
0.98,64.6,2.8,GB,W,@OAK,-4.0,@ARI,4.0,MIN,-6.5,0.34159559373034
0.97,63.6,0.7,ARI,W,@PHI,-3.5,GB,-4.0,SEA,-3.0,0.40428310668361
0.93,60.3,2.8,NYJ,W,@DAL,-3.0,NE,3.0,@BUF,0.5,0.0
0.86,64.5,21.3,MIN,W,CHI,-4.0,NYG,-6.0,@GB,6.5,0.32830367402396
0.83,54.2,2.2,JAX,L,ATL,-2.5,@NO,3.5,@HOU,3.0,0.0
0.82,54.8,3.5,BUF,L,@WAS,-2.0,DAL,-6.0,NYJ,-0.5,0.37406785293974
0.82,54.2,2.9,NO,L,DET,-2.5,JAX,-3.5,@ATL,3.0,0.22993742163652
0.81,53.1,2.0,IND,L,HOU,-1.5,@MIA,2.5,TEN,-3.5,0.21671260046349
0.78,49.3,0.6,TB,L,@STL,1.0,CHI,-3.0,@CAR,9.5,0.17612954678113
0.78,51.2,1.7,SD,W,MIA,-1.0,@OAK,5.0,@DEN,9.5,0.0
0.76,48.8,0.3,MIA,L,@SD,1.0,IND,-2.5,NE,8.0,0.10805409014245
0.75,50.7,4.8,STL,W,TB,-1.0,@SEA,13.5,@SF,-0.5,0.0079201923924467
0.73,46.9,0.9,HOU,W,@IND,1.5,@TEN,0.5,JAX,-3.0,0.16126521055358
0.72,45.8,0.3,DET,W,@NO,2.5,SF,-9.0,@CHI,2.0,0.47852524103982
0.71,45.2,0.9,WAS,W,BUF,2.0,@PHI,3.0,@DAL,2.0,0.0
0.71,45.8,1.8,ATL,W,@JAX,2.5,CAR,7.0,NO,-3.0,0.17420080407725
0.67,35.5,0.2,CHI,L,@MIN,4.0,@TB,3.0,DET,-2.0,0.087786309357096
0.61,39.7,3.2,DAL,L,NYJ,3.0,@BUF,6.0,WAS,-2.0,0.092200009936893
0.56,36.4,0.6,PHI,L,ARI,3.5,WAS,-3.0,@NYG,1.0,0.17234727051373
0.56,35.4,0.2,OAK,L,GB,4.0,SD,-5.0,@KC,7.0,0.31411885011953
0.5,32.5,1.0,NYG,L,CAR,5.0,@MIN,6.0,PHI,-1.0,0.040526258076741
0.45,27.7,0.5,BAL,L,KC,7.0,PIT,10.0,@CIN,9.5,0.0
0.41,26.8,0.8,SF,L,CIN,7.0,@DET,9.0,STL,0.5,0.0
0.4,24.3,0.2,DEN,L,@PIT,7.5,CIN,-3.5,SD,-9.5,0.70611546305396
0.23,11.3,0.1,TEN,L,@NE,14.5,HOU,-0.5,@IND,3.5,0.015046679726038
0.23,11.9,0.0,CLE,L,@SEA,14.5,@KC,12.5,PIT,6.5,0.0
