EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,74.9,9.9,ARI,W,TB,-7.5,@BUF,-4.0,LAR,-9.5,@SF,-6.5,NYJ,-4.5,SEA,-1.5,@CAR,3.5,BYE,,SF,-10.5,@MIN,1.5,@ATL,-2.0,WAS,-7.0,@MIA,-3.5,NO,-9.5,@SEA,3.5,@LAR,-6.5,0.75792796010452
1.06,69.7,3.1,DEN,W,IND,-6.0,@CIN,3.0,@TB,-2.0,ATL,-7.0,@SD,-3.5,HOU,-5.0,SD,-7.0,@OAK,-0.5,@NO,-3.0,BYE,,KC,-3.0,@JAX,-3.5,@TEN,-6.0,NE,-0.5,@KC,3.0,OAK,-4.0,0.52233499841958
1.05,82.0,38.9,CAR,W,SF,-12.0,MIN,-7.5,@ATL,-4.5,TB,-8.0,@NO,-5.5,BYE,,ARI,-3.5,@LAR,-6.5,KC,-4.0,NO,-9.5,@OAK,-3.0,@SEA,3.0,SD,-9.5,@WAS,-3.5,ATL,-9.5,@TB,-3.5,0.92253163200837
1.03,68.5,3.9,NE,W,MIA,-5.5,HOU,0.0,BUF,-8.0,@CLE,-9.0,CIN,-4.0,@PIT,1.5,@BUF,-4.0,BYE,,SEA,-3.0,@SF,-6.5,@NYJ,-2.5,LAR,-9.5,BAL,-7.0,@DEN,0.5,NYJ,-6.5,@MIA,-4.5,0.76085687107945
1.03,68.5,4.5,SEA,L,@LAR,-5.5,SF,-9.5,@NYJ,-2.0,BYE,,ATL,-9.5,@ARI,1.5,@NO,-5.5,BUF,-9.5,@NE,3.0,PHI,-9.5,@TB,-3.5,CAR,-3.0,@GB,3.0,LAR,-6.0,ARI,-3.5,@SF,-6.5,0.77507371525544
1.02,69.3,8.6,DET,L,TEN,-6.0,@GB,8.0,@CHI,1.0,PHI,-3.0,LAR,-4.0,WAS,-2.5,@HOU,4.0,@MIN,6.0,BYE,,JAX,-3.5,MIN,2.0,@NO,1.5,CHI,-3.5,@NYG,3.5,@DAL,4.0,GB,3.5,0.18240822847503
0.97,64.5,3.5,OAK,L,ATL,-4.0,@TEN,1.5,@BAL,2.5,SD,-5.0,KC,1.0,@JAX,-1.0,@TB,1.0,DEN,0.5,BYE,,HOU,-2.5,CAR,3.0,BUF,-3.5,@KC,5.0,@SD,-1.5,IND,-3.0,@DEN,4.0,0.17087416491257
0.97,63.3,1.4,NYG,W,NO,-3.5,WAS,-4.5,@MIN,-1.0,@GB,7.0,BAL,-3.0,@LAR,-3.0,BYE,,PHI,-4.0,CIN,1.5,CHI,-5.0,@CLE,-2.5,@PIT,6.5,DAL,-2.5,DET,-3.5,@PHI,0.5,@WAS,0.5,0.32582239675492
0.97,62.7,0.4,WAS,L,DAL,-3.5,@NYG,4.5,CLE,-8.0,@BAL,3.5,PHI,-3.5,@DET,2.5,@CIN,6.0,BYE,,MIN,2.0,GB,3.5,@DAL,3.5,@ARI,7.0,@PHI,1.5,CAR,3.5,@CHI,0.5,NYG,-0.5,0.14037132829405
0.93,60.6,0.9,PIT,W,CIN,-3.0,@PHI,-3.5,KC,-3.5,NYJ,-6.5,@MIA,-4.0,NE,-1.5,BYE,,@BAL,-1.0,DAL,-6.0,@CLE,-9.5,@IND,-1.5,NYG,-6.5,@BUF,-3.5,@CIN,1.0,BAL,-7.0,CLE,-14.0,0.77739977797292
0.93,60.0,0.5,CHI,L,PHI,-3.0,@DAL,7.0,DET,-1.0,@IND,4.0,JAX,-3.0,@GB,9.5,MIN,3.0,BYE,,@TB,3.5,@NYG,5.0,TEN,-4.0,SF,-4.0,@DET,3.5,GB,6.0,WAS,-0.5,@MIN,7.0,0.14588811942004
0.9,58.6,0.8,SD,W,JAX,-3.0,@IND,2.5,NO,-3.0,@OAK,5.0,DEN,3.5,@ATL,3.0,@DEN,7.0,TEN,-4.0,MIA,-2.5,BYE,,@HOU,5.0,TB,-1.0,@CAR,9.5,OAK,1.5,@CLE,-3.0,KC,4.0,0.15729161213736
0.9,66.6,19.7,BAL,W,@CLE,-4.5,@JAX,-1.0,OAK,-2.5,WAS,-3.5,@NYG,3.0,@NYJ,3.0,BYE,,PIT,1.0,CLE,-9.5,@DAL,3.5,CIN,1.0,MIA,-4.0,@NE,7.0,PHI,-3.0,@PIT,7.0,@CIN,4.0,0.25147750694766
0.84,54.2,0.2,BUF,L,NYJ,-1.5,ARI,4.0,@NE,8.0,@LAR,0.5,SF,-5.0,@MIA,2.5,NE,4.0,@SEA,9.5,BYE,,@CIN,7.0,JAX,-3.0,@OAK,3.5,PIT,3.5,CLE,-8.0,MIA,-3.0,@NYJ,5.0,0.22908718398605
0.81,53.1,1.1,GB,L,@MIN,-1.5,DET,-8.0,BYE,,NYG,-7.0,DAL,-6.5,CHI,-9.5,@ATL,-5.0,IND,-6.5,@TEN,-7.5,@WAS,-3.5,@PHI,-5.0,HOU,-7.0,SEA,-3.0,@CHI,-6.0,MIN,-5.0,@DET,-3.5,1.0
0.8,51.7,0.4,HOU,W,KC,-1.0,@NE,0.0,TEN,-7.5,@MIN,4.0,IND,-3.0,@DEN,5.0,DET,-4.0,BYE,,@JAX,-1.5,@OAK,2.5,SD,-5.0,@GB,7.0,@IND,3.0,JAX,-5.0,CIN,0.5,@TEN,-4.0,0.36687143222187
0.75,48.3,0.1,KC,L,@HOU,1.0,NYJ,-3.0,@PIT,3.5,BYE,,@OAK,-1.0,NO,-8.5,@IND,-1.0,JAX,-7.5,@CAR,4.0,TB,-6.5,@DEN,3.0,@ATL,-3.0,OAK,-5.0,TEN,-9.5,DEN,-3.0,@SD,-4.0,0.60304100902436
0.73,46.9,0.0,MIN,W,GB,1.5,@CAR,7.5,NYG,1.0,HOU,-4.0,BYE,,@PHI,-3.0,@CHI,-3.0,DET,-6.0,@WAS,-2.0,ARI,-1.5,@DET,-2.0,DAL,-4.0,@JAX,-3.0,IND,-4.0,@GB,5.0,CHI,-7.0,0.4509100570367
0.7,45.8,0.7,NYJ,W,@BUF,1.5,@KC,3.0,SEA,2.0,@PIT,6.5,@ARI,4.5,BAL,-3.0,@CLE,-6.5,@MIA,-1.0,LAR,-6.5,BYE,,NE,2.5,IND,-3.0,@SF,-2.0,MIA,-5.0,@NE,6.5,BUF,-5.0,0.36765232107661
0.65,33.4,0.0,CLE,L,BAL,4.5,@MIA,10.0,@WAS,8.0,NE,9.0,@TEN,4.0,@CIN,13.5,NYJ,6.5,DAL,6.5,@BAL,9.5,PIT,9.5,NYG,2.5,BYE,,CIN,8.0,@BUF,8.0,SD,3.0,@PIT,14.0,0.0
0.64,41.4,0.3,JAX,L,@SD,3.0,BAL,1.0,IND,2.5,BYE,,@CHI,3.0,OAK,1.0,@TEN,-0.5,@KC,7.5,HOU,1.5,@DET,3.5,@BUF,3.0,DEN,3.5,MIN,3.0,@HOU,5.0,TEN,-4.5,@IND,4.0,0.062151647622895
0.62,40.0,0.4,PHI,W,@CHI,3.0,PIT,3.5,BYE,,@DET,3.0,@WAS,3.5,MIN,3.0,@DAL,5.0,@NYG,4.0,ATL,-2.5,@SEA,9.5,GB,5.0,@CIN,7.0,WAS,-1.5,@BAL,3.0,NYG,-0.5,DAL,3.0,0.034297027252598
