EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,85.9,24.8,PHI,W,SF,-13.0,DEN,-7.5,BYE,,@DAL,3.0,CHI,-8.5,@SEA,3.0,@LAR,1.0,@NYG,-4.0,OAK,-4.5,DAL,-3.0,0.57748862765592
1.01,80.6,20.9,CIN,W,IND,-11.0,@JAX,4.5,@TEN,3.0,@DEN,3.5,CLE,-9.5,PIT,3.0,CHI,-6.0,@MIN,3.5,DET,-3.0,@BAL,0.5,0.35807941920676
0.99,73.8,2.2,KC,W,DEN,-7.0,@DAL,0.0,BYE,,@NYG,-7.0,BUF,-7.0,@NYJ,-7.5,OAK,-6.5,LAC,-7.0,MIA,-8.0,@DEN,-2.5,0.93940240346898
0.98,81.3,29.4,MIN,W,@CLE,-10.5,BYE,,@WAS,-1.5,LAR,-3.0,@DET,1.0,@ATL,3.5,@CAR,2.0,CIN,-3.5,@GB,-1.5,CHI,-7.5,0.33582360782232
0.97,75.9,13.3,NO,W,CHI,-7.5,TB,-7.0,@BUF,-1.0,WAS,-6.0,@LAR,0.5,CAR,-3.5,@ATL,3.0,NYJ,-9.5,ATL,-2.0,@TB,-2.5,0.60613644840581
0.96,72.1,2.8,ATL,W,@NYJ,-6.5,@CAR,2.0,DAL,-3.5,@SEA,2.0,TB,-6.5,MIN,-3.5,NO,-3.0,@TB,-3.0,@NO,2.0,CAR,-4.0,0.46993043564279
0.95,71.7,3.5,NE,W,LAC,-7.0,BYE,,@DEN,-3.5,@OAK,-4.0,MIA,-10.5,@BUF,-4.0,@MIA,-6.5,@PIT,-0.5,BUF,-8.0,NYJ,-13.5,1.0
0.95,70.5,0.8,SEA,W,HOU,-6.0,WAS,-7.0,@ARI,-4.0,ATL,-2.0,@SF,-7.0,PHI,-3.0,@JAX,-3.0,LAR,-4.0,@DAL,2.5,ARI,-8.0,0.80958739555221
0.83,61.1,0.2,PIT,W,@DET,-3.0,BYE,,@IND,-9.5,TEN,-4.5,GB,-6.5,@CIN,-3.0,BAL,-7.5,NE,0.5,@HOU,-2.5,CLE,-15.0,0.91211497422054
0.81,60.3,0.3,DAL,W,@WAS,-3.0,KC,0.0,@ATL,3.5,PHI,-3.0,LAC,-5.0,WAS,-6.0,@NYG,-4.0,@OAK,-1.0,SEA,-2.5,@PHI,3.0,0.41259001846605
0.8,59.0,0.6,BAL,W,MIA,-3.0,@TEN,4.5,BYE,,@GB,3.5,HOU,-0.5,DET,-0.5,@PIT,7.5,@CLE,-3.5,IND,-6.5,CIN,-0.5,0.22416443232388
0.72,53.1,0.2,BUF,W,OAK,-1.5,@NYJ,-3.0,NO,1.0,@LAC,2.5,@KC,7.0,NE,4.0,IND,-9.5,MIA,-3.5,@NE,8.0,@MIA,1.0,0.32546481977822
0.72,53.1,0.2,TB,L,CAR,-1.0,@NO,7.0,NYJ,-5.0,@MIA,1.5,@ATL,6.5,@GB,3.0,DET,-2.5,ATL,3.0,@CAR,3.5,NO,2.5,0.14545160034291
0.63,46.9,0.2,CAR,W,@TB,1.0,ATL,-2.0,MIA,-4.0,BYE,,@NYJ,-3.5,@NO,3.5,MIN,-2.0,GB,-3.5,TB,-3.5,@ATL,4.0,0.37674213688229
0.63,46.9,0.2,OAK,L,@BUF,1.5,@MIA,-3.0,BYE,,NE,4.0,DEN,-1.5,NYG,-6.5,@KC,6.5,DAL,1.0,@PHI,4.5,@LAC,2.5,0.21359795552476
0.56,41.0,0.2,MIA,L,@BAL,3.0,OAK,3.0,@CAR,4.0,TB,-1.5,@NE,10.5,DEN,1.5,NE,6.5,@BUF,3.5,@KC,8.0,BUF,-1.0,0.031569898597952
0.54,39.7,0.0,WAS,L,DAL,3.0,@SEA,7.0,MIN,1.5,@NO,6.0,NYG,-4.5,@DAL,6.0,@LAC,3.0,ARI,-4.0,DEN,-0.5,@NYG,-1.5,0.215441185536
0.53,38.9,0.1,DET,L,PIT,3.0,@GB,-2.5,CLE,-9.5,@CHI,-3.0,MIN,-1.0,@BAL,0.5,@TB,2.5,CHI,-6.5,@CIN,3.0,GB,-3.0,0.48206281115459
0.4,29.5,0.0,HOU,L,@SEA,6.0,IND,-13.0,@LAR,3.5,ARI,-4.5,@BAL,0.5,@TEN,3.5,SF,-7.0,@JAX,1.5,PIT,2.5,@IND,-4.0,0.56898753411992
0.4,28.3,0.0,LAC,L,@NE,7.0,BYE,,@JAX,1.5,BUF,-2.5,@DAL,5.0,CLE,-9.5,WAS,-3.0,@KC,7.0,@NYJ,-2.0,OAK,-2.5,0.34045419798199
0.39,27.9,0.0,NYJ,L,ATL,6.5,BUF,3.0,@TB,5.0,BYE,,CAR,3.5,KC,7.5,@DEN,7.0,@NO,9.5,LAC,2.0,@NE,13.5,0.0
0.39,24.1,0.0,CHI,L,@NO,7.5,BYE,,GB,1.5,DET,3.0,@PHI,8.5,SF,-3.5,@CIN,6.0,@DET,6.5,CLE,-6.0,@MIN,7.5,0.20472940091272
0.37,18.7,0.0,CLE,L,MIN,10.5,BYE,,@DET,9.5,JAX,4.0,@CIN,9.5,@LAC,9.5,GB,5.0,BAL,3.5,@CHI,6.0,@PIT,15.0,0.0
0.36,26.2,0.1,DEN,L,@KC,7.0,@PHI,7.5,NE,3.5,CIN,-3.5,@OAK,1.5,@MIA,-1.5,NYJ,-7.0,@IND,-6.5,@WAS,0.5,KC,2.5,0.35992910418249
0.35,19.4,0.1,IND,L,@CIN,11.0,@HOU,13.0,PIT,9.5,BYE,,TEN,6.0,@JAX,7.0,@BUF,9.5,DEN,6.5,@BAL,6.5,HOU,4.0,0.0
0.28,14.1,0.0,SF,L,@PHI,13.0,ARI,2.5,NYG,0.5,BYE,,SEA,7.0,@CHI,3.5,@HOU,7.0,TEN,4.5,JAX,3.0,@LAR,9.5,0.0
,,,ARI,,BYE,,@SF,-2.5,SEA,4.0,@HOU,4.5,JAX,-0.5,LAR,3.0,TEN,2.5,@WAS,4.0,NYG,-3.0,@SEA,8.0,0.093193998275835
,,,GB,,BYE,,DET,2.5,@CHI,-1.5,BAL,-3.5,@PIT,6.5,TB,-3.0,@CLE,-5.0,@CAR,3.5,MIN,1.5,@DET,3.0,0.2512195921719
,,,JAX,,BYE,,CIN,-4.5,LAC,-1.5,@CLE,-4.0,@ARI,0.5,IND,-7.0,SEA,3.0,HOU,-1.5,@SF,-3.0,@TEN,4.0,0.45011332708215
,,,NYG,,BYE,,LAR,3.5,@SF,-0.5,KC,7.0,@WAS,4.5,@OAK,6.5,DAL,4.0,PHI,4.0,@ARI,3.0,WAS,1.5,0.0017883655797331
,,,TEN,,BYE,,BAL,-4.5,CIN,-3.0,@PIT,4.5,@IND,-6.0,HOU,-3.5,@ARI,-2.5,@SF,-4.5,LAR,-3.0,JAX,-4.0,0.62174537071225
,,,LAR,,BYE,,@NYG,-3.5,HOU,-3.5,@MIN,3.0,NO,-0.5,@ARI,-3.0,PHI,-1.0,@SEA,4.0,@TEN,3.0,SF,-9.5,0.37406151455605
