EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.1,83.7,14.1,DEN,W,DET,-13.0,CIN,-1.5,@LV,1.0,@LAC,5.0,KC,4.0,0.028636356068633
1.09,84.6,19.9,GB,W,CHI,-11.5,@BAL,-4.5,CLE,-4.5,MIN,-6.0,@DET,-10.0,0.66544420537362
1.06,78.0,2.2,KC,W,LV,-10.0,@LAC,-3.5,PIT,-9.5,@CIN,-3.5,@DEN,-4.0,0.52320498695736
1.01,77.3,10.2,SEA,W,@HOU,-10.0,@LAR,6.0,CHI,-6.5,DET,-10.0,@ARI,6.5,0.42605659055159
0.99,77.7,18.4,TEN,W,JAX,-8.5,@PIT,-2.5,SF,-1.0,MIA,-3.5,@HOU,-7.0,0.34209144172511
0.97,77.4,21.9,LAC,W,NYG,-9.5,KC,3.5,@HOU,-9.5,DEN,-5.0,@LV,-3.0,0.45384878266864
0.95,69.7,1.0,DAL,W,@WAS,-6.5,@NYG,-10.5,WAS,-7.0,ARI,-2.0,@PHI,-2.0,0.52302660984865
0.88,67.1,7.9,NO,W,@NYJ,-5.5,@TB,11.5,MIA,-2.5,CAR,-3.0,@ATL,-1.0,0.14241144990461
0.86,62.9,0.2,TB,W,BUF,-3.5,NO,-11.5,@CAR,-6.5,@NYJ,-15.0,CAR,-10.5,1.0
0.85,62.1,0.6,MIN,W,PIT,-3.5,@CHI,-3.5,LAR,1.5,@GB,6.0,CHI,-7.0,0.29704277446953
0.81,59.4,0.3,ARI,L,LAR,-3.0,@DET,-13.5,IND,-5.0,@DAL,2.0,SEA,-6.5,0.59594010566814
0.8,58.5,0.2,CLE,W,BAL,-2.5,LV,-3.0,@GB,4.5,@PIT,-1.0,CIN,-3.5,0.18181527034729
0.78,57.8,0.8,CAR,L,ATL,-2.5,@BUF,10.0,TB,6.5,@NO,3.0,@TB,10.5,0.0
0.75,54.9,0.7,SF,W,@CIN,-2.5,ATL,-8.0,@TEN,1.0,HOU,-15.0,@LAR,3.5,0.54169577358129
0.62,45.1,0.3,CIN,L,SF,2.5,@DEN,1.5,BAL,1.0,KC,3.5,@CLE,3.5,0.0
0.58,42.2,0.1,ATL,W,@CAR,2.5,@SF,8.0,DET,-6.0,@BUF,11.0,NO,1.0,0.15355226586343
0.57,41.5,0.3,BAL,L,@CLE,2.5,GB,4.5,@CIN,-1.0,LAR,-2.5,PIT,-7.0,0.25185044635525
0.56,40.6,0.1,LAR,W,@ARI,3.0,SEA,-6.0,@MIN,-1.5,@BAL,2.5,SF,-3.5,0.29528531268805
0.52,37.9,0.4,PIT,L,@MIN,3.5,TEN,2.5,@KC,9.5,CLE,1.0,@BAL,7.0,0.0
0.51,37.1,0.0,BUF,L,@TB,3.5,CAR,-10.0,@NE,2.0,ATL,-11.0,NYJ,-17.0,0.85542377812896
0.49,32.9,0.1,NYJ,L,NO,5.5,@MIA,8.5,JAX,-3.0,TB,15.0,@BUF,17.0,0.059126595067021
0.42,30.3,0.2,WAS,L,DAL,6.5,@PHI,5.5,@DAL,7.0,PHI,-1.5,@NYG,-0.5,0.030882800836141
0.4,22.6,0.1,NYG,L,@LAC,9.5,DAL,10.5,@PHI,6.5,@CHI,2.5,WAS,0.5,0.0
0.38,22.3,0.1,JAX,L,@TEN,8.5,HOU,-3.0,@NYJ,3.0,@NE,13.5,IND,7.0,0.096779243191054
0.35,22.7,0.0,HOU,L,SEA,10.0,@JAX,3.0,LAC,9.5,@SF,15.0,TEN,7.0,0.0
0.31,22.0,0.0,LV,L,@KC,10.0,@CLE,3.0,DEN,-1.0,@IND,6.0,LAC,3.0,0.014335186102026
0.27,15.4,0.1,CHI,L,@GB,11.5,MIN,3.5,@SEA,6.5,NYG,-2.5,@MIN,7.0,0.047887456509662
0.27,16.3,0.1,DET,L,@DEN,13.0,ARI,13.5,@ATL,6.0,@SEA,10.0,GB,10.0,0.0
,,0.0,IND,,BYE,,NE,-2.0,@ARI,5.0,LV,-6.0,@JAX,-7.0,0.39674232362813
,,0.0,MIA,,BYE,,NYJ,-8.5,@NO,2.5,@TEN,3.5,NE,3.0,0.22204685988521
,,0.0,NE,,BYE,,@IND,2.0,BUF,-2.0,JAX,-13.5,@MIA,-3.0,0.41310210880578
,,0.0,PHI,,BYE,,WAS,-5.5,NYG,-6.5,@WAS,1.5,DAL,2.0,0.29342804919438
