EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.07,72.3,14.2,BUF,W,ARI,-6.5,@MIA,2.0,JAX,-3.5,@BAL,3.0,@HOU,1.5,@NYJ,1.5,TEN,-7.5,@SEA,-3.0,MIA,-3.0,@IND,-2.5,KC,1.0,BYE,,SF,2.0,@LAR,-1.0,@DET,2.5,NE,-9.0,NYJ,-2.5,@NE,-3.5,0.39072814431761
1.05,66.0,1.9,DET,W,LAR,-4.5,TB,-7.0,@ARI,-4.0,SEA,-6.0,BYE,,@DAL,1.0,@MIN,-3.5,TEN,-7.5,@GB,1.5,@HOU,1.5,JAX,-4.0,@IND,-2.5,CHI,-4.5,GB,-3.0,BUF,-2.5,@CHI,-1.5,@SF,5.0,MIN,-5.5,0.59679126099892
1.05,71.2,14.1,SEA,W,DEN,-6.5,@NE,-3.5,MIA,2.0,@DET,6.0,NYG,-3.5,SF,5.5,@ATL,3.5,BUF,3.0,LAR,1.5,BYE,,@SF,9.0,ARI,-3.0,@NYJ,4.5,@ARI,1.0,GB,1.0,MIN,-3.0,@CHI,3.5,@LAR,5.5,0.14444496216234
1.03,65.0,2.9,SF,W,NYJ,-4.0,@MIN,-6.0,@LAR,-4.5,NE,-12.0,ARI,-9.5,@SEA,-5.5,KC,-1.5,DAL,-5.5,BYE,,@TB,-7.0,SEA,-9.0,@GB,-2.5,@BUF,-2.0,CHI,-6.0,LAR,-7.0,@MIA,-1.5,DET,-5.0,@ARI,-4.0,0.98581661724717
1.03,64.3,2.0,ATL,L,PIT,-4.0,@PHI,6.5,KC,3.5,NO,-3.5,TB,-3.0,@CAR,-3.5,SEA,-3.5,@TB,1.0,DAL,1.0,@NO,-1.0,@DEN,-3.0,BYE,,LAC,-3.0,@MIN,-1.0,@LV,-1.0,NYG,-5.0,@WSH,-2.5,CAR,-6.5,0.39979937690401
1.01,64.4,3.5,CHI,W,TEN,-4.0,@HOU,7.0,@IND,2.0,LAR,-1.5,CAR,-5.5,JAX,1.5,BYE,,@WSH,-2.5,@ARI,-1.5,NE,-6.0,GB,0.0,MIN,-3.5,@DET,4.5,@SF,6.0,@MIN,-1.0,DET,1.5,SEA,-3.5,@GB,3.5,0.25398087371618
1.0,63.6,3.2,TB,W,WSH,-4.0,@DET,7.0,DEN,-4.5,PHI,3.0,@ATL,3.0,@NO,1.5,BAL,4.5,ATL,-1.0,@KC,7.5,SF,7.0,BYE,,@NYG,-1.0,@CAR,-2.0,LV,-3.0,@LAC,3.0,@DAL,5.0,CAR,-5.5,NO,-2.5,0.18690600494481
1.0,76.8,37.7,CIN,L,NE,-7.5,@KC,6.0,WSH,-7.0,@CAR,-6.0,BAL,-1.5,@NYG,-5.5,@CLE,-1.0,PHI,-2.5,LV,-7.0,@BAL,3.0,@LAC,-2.0,BYE,,PIT,-5.5,@DAL,1.5,@TEN,-4.0,CLE,-4.0,DEN,-8.5,@PIT,-1.0,0.6450166984096
0.98,62.1,2.7,MIA,W,JAX,-3.5,BUF,-2.0,@SEA,-2.0,TEN,-6.5,@NE,-4.5,BYE,,@IND,-1.5,ARI,-6.5,@BUF,3.0,@LAR,1.0,LV,-6.5,NE,-7.5,@GB,3.0,NYJ,-2.5,@HOU,2.5,SF,1.5,@CLE,2.0,@NYJ,3.0,0.45309634257351
0.95,63.4,9.4,NO,W,CAR,-3.5,@DAL,6.5,PHI,3.0,@ATL,3.5,@KC,8.0,TB,-1.5,DEN,-4.0,@LAC,3.5,@CAR,-1.0,ATL,1.0,CLE,2.5,BYE,,LAR,1.5,@NYG,1.0,WSH,-3.0,@GB,5.5,LV,-3.0,@TB,2.5,0.1306152917988
