EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,84.4,7.5,KC,W,DEN,-13.0,@MIA,-7.5,@NO,-2.0,ATL,-10.5,LAC,-10.0,1.0
1.1,80.4,9.2,MIA,W,CIN,-10.5,KC,7.5,NE,-3.0,@LV,3.0,@BUF,4.0,0.076475489395402
1.09,77.6,1.5,BAL,W,DAL,-9.5,@CLE,-1.0,JAX,-9.5,NYG,-7.5,@CIN,-6.0,0.78020396427032
1.08,81.3,15.5,SEA,L,NYG,-11.0,NYJ,-13.5,@WAS,-6.5,LAR,-3.0,@SF,-3.0,0.76195909388064
1.08,76.9,1.9,GB,W,PHI,-8.0,@DET,-7.5,CAR,-9.0,TEN,-4.0,@CHI,-6.0,0.95131495908423
0.98,70.1,1.7,PIT,L,WAS,-6.0,@BUF,1.5,@CIN,-9.5,IND,-3.5,@CLE,-2.5,0.52703019658187
0.97,79.2,31.7,MIN,W,JAX,-10.5,@TB,6.5,CHI,-5.0,@NO,6.5,@DET,-2.0,0.23885470407454
0.93,75.5,27.1,LV,W,@NYJ,-7.5,IND,2.5,LAC,-3.5,MIA,-3.0,@DEN,-3.0,0.30797028440614
0.91,64.8,1.1,TEN,L,CLE,-4.0,@JAX,-7.5,DET,-7.0,@GB,4.0,@HOU,-2.0,0.57914935525145
0.86,60.7,0.2,IND,W,@HOU,-3.0,@LV,-2.5,HOU,-6.0,@PIT,3.5,JAX,-12.0,0.65632926496042
0.83,59.2,0.9,CHI,L,DET,-3.0,HOU,1.5,@MIN,5.0,@JAX,-2.5,GB,6.0,0.066065479834133
0.81,57.6,0.4,NO,W,@ATL,-2.5,@PHI,-7.5,KC,2.0,MIN,-6.5,@CAR,-4.0,0.6372444406799
0.81,57.2,0.1,LAR,W,@ARI,-2.5,NE,-6.0,NYJ,-15.0,@SEA,3.0,ARI,-3.5,0.78080583970789
0.79,56.1,0.1,LAC,L,NE,-2.0,ATL,2.5,@LV,3.5,DEN,-6.0,@KC,10.0,0.19946285508737
0.76,53.5,0.2,SF,L,BUF,-1.5,WAS,-3.5,@DAL,-2.0,@ARI,4.0,SEA,3.0,0.18332157525638
0.66,46.5,0.1,BUF,W,@SF,1.5,PIT,-1.5,@DEN,-5.5,@NE,-1.5,MIA,-4.0,0.45745187646384
0.62,43.9,0.1,NE,W,@LAC,2.0,@LAR,6.0,@MIA,3.0,BUF,1.5,NYJ,-10.0,0.33642212149427
0.61,42.8,0.0,ARI,L,LAR,2.5,@NYG,-2.5,PHI,-6.0,SF,-4.0,@LAR,3.5,0.42070200011717
0.6,42.4,0.1,ATL,L,NO,2.5,@LAC,-2.5,TB,3.5,@KC,10.5,@TB,7.0,0.074125304586144
0.58,40.8,0.0,DET,W,@CHI,3.0,GB,7.5,@TEN,7.0,TB,5.0,MIN,2.0,0.0
0.56,39.3,0.1,HOU,L,IND,3.0,@CHI,-1.5,@IND,6.0,CIN,-7.0,TEN,2.0,0.28244357921648
0.5,35.2,0.0,CLE,W,@TEN,4.0,BAL,1.0,@NYG,-4.0,@NYJ,-7.0,PIT,2.5,0.40053393112616
0.48,24.5,0.0,NYJ,L,LV,7.5,@SEA,13.5,@LAR,15.0,CLE,7.0,@NE,10.0,0.0
0.45,20.8,0.0,JAX,L,@MIN,10.5,TEN,7.5,@BAL,9.5,CHI,2.5,@IND,12.0,0.0
0.43,29.9,0.0,WAS,W,@PIT,6.0,@SF,3.5,SEA,6.5,CAR,-1.0,@PHI,3.5,0.023742829044552
0.34,23.1,0.0,PHI,L,@GB,8.0,NO,7.5,@ARI,6.0,@DAL,1.0,WAS,-3.5,0.13728615526726
0.33,18.7,0.0,NYG,W,@SEA,11.0,ARI,2.5,CLE,4.0,@BAL,7.5,DAL,-1.5,0.031321683125685
0.32,22.4,0.0,DAL,L,@BAL,9.5,@CIN,-3.5,SF,2.0,PHI,-1.0,@NYG,1.5,0.16345107734164
0.32,19.6,0.1,CIN,L,@MIA,10.5,DAL,3.5,PIT,9.5,@HOU,7.0,BAL,6.0,0.0
0.25,15.6,0.0,DEN,L,@KC,13.0,@CAR,4.0,BUF,5.5,@LAC,6.0,LV,3.0,0.0
,,,CAR,,BYE,,DEN,-4.0,@GB,9.0,@WAS,1.0,NO,4.0,0.14826500531234
,,,TB,,BYE,,MIN,-6.5,@ATL,-3.5,@DET,-5.0,ATL,-7.0,0.79049354063375
