EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,83.4,13.8,PIT,W,@IND,-11.0,@HOU,3.5,TEN,-3.0,JAX,-12.5,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.67778011495114
1.13,78.6,0.8,PHI,L,NYG,-9.0,SF,-10.0,@BUF,-3.0,@WAS,-3.0,BYE,,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.48161277629003
1.04,74.1,5.0,TEN,W,DEN,-7.0,@CLE,-1.0,@PIT,3.0,BYE,,HOU,-3.0,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.29788277494059
1.04,74.1,5.4,NE,L,@BUF,-7.0,@OAK,-6.5,NYJ,-7.5,DAL,-6.5,BYE,,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.871209838973
1.01,87.1,55.5,SD,W,KC,-14.5,MIA,-7.0,@DEN,-3.5,BYE,,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.34626295550968
0.97,69.3,5.3,BAL,W,@STL,-6.0,NYJ,-5.5,BYE,,HOU,-7.0,@JAX,-10.0,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.78332081239476
0.94,65.2,0.5,GB,W,@CHI,-4.5,DEN,-12.0,@ATL,-6.0,STL,-14.0,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,1.0
0.9,63.1,1.1,NO,W,HOU,-4.0,@JAX,-7.0,@CAR,-6.5,@TB,-6.0,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.86494807281944
0.9,62.6,0.3,DAL,W,WAS,-3.5,DET,-2.5,BYE,,@NE,6.5,STL,-14.0,@PHI,3.0,SEA,-11.0,BUF,-4.0,@WAS,-7.0,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.56399961190403
0.86,60.0,1.7,ARI,L,@SEA,-3.0,NYG,1.5,@MIN,3.5,BYE,,PIT,4.0,@BAL,12.0,STL,-1.0,@PHI,13.5,@SF,10.0,@STL,1.0,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.075715631461297
0.85,60.8,4.5,CAR,W,JAX,-3.0,@CHI,6.5,NO,6.5,@ATL,3.5,WAS,-1.5,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.22130232287009
0.84,59.3,2.4,DET,W,@MIN,-3.0,@DAL,2.5,CHI,-6.5,SF,-5.5,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.43036859531038
0.79,54.6,0.2,CIN,L,SF,-2.5,BUF,3.0,@JAX,-1.0,IND,-5.0,BYE,,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.27403258439095
0.79,55.0,1.3,NYJ,L,@OAK,-3.0,@BAL,5.5,@NE,7.5,MIA,-7.0,SD,1.0,BYE,,@BUF,2.5,NE,-2.5,@DEN,-6.0,BUF,-9.5,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.38259896563124
0.77,53.5,0.4,CLE,W,MIA,-2.0,TEN,1.0,BYE,,@OAK,6.5,SEA,-3.0,@SF,9.0,@HOU,10.5,STL,-2.5,JAX,-1.0,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.070250919938861
0.76,52.6,0.0,TB,W,ATL,-1.0,IND,-10.0,@SF,2.5,NO,6.0,CHI,1.5,BYE,,@NO,9.0,HOU,3.5,@GB,13.5,@TEN,3.0,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.11061661276429
0.68,47.4,0.5,ATL,L,@TB,1.0,@SEA,-6.0,GB,6.0,CAR,-3.5,@DET,4.5,BYE,,@IND,-6.5,NO,-1.0,TEN,-6.0,MIN,-10.0,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.52124784973641
0.67,46.5,0.3,MIA,L,@CLE,2.0,@SD,7.0,BYE,,@NYJ,7.0,DEN,1.0,@NYG,9.5,@KC,4.5,WAS,-4.0,BUF,-3.0,@DAL,7.0,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.13134080866709
0.66,45.0,0.1,OAK,W,NYJ,3.0,NE,6.5,@HOU,4.5,CLE,-6.5,KC,-3.5,BYE,,DEN,-7.0,@SD,7.0,@MIN,1.5,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.20469648851518
0.65,45.4,0.4,SF,W,@CIN,2.5,@PHI,10.0,TB,-2.5,@DET,5.5,BYE,,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.57189487500613
0.6,40.7,0.1,MIN,L,DET,3.0,@KC,-3.0,ARI,-3.5,@CHI,1.0,GB,10.0,@CAR,3.0,BYE,,@GB,12.5,OAK,-1.5,@ATL,10.0,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.11878143768694
0.6,39.2,0.0,JAX,L,@CAR,3.0,NO,7.0,CIN,1.0,@PIT,12.5,BAL,10.0,@HOU,10.0,BYE,,@IND,-3.0,@CLE,1.0,HOU,6.0,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.05249357041024
0.59,40.0,0.1,SEA,W,ARI,3.0,ATL,6.0,@NYG,10.0,BYE,,@CLE,3.0,CIN,1.0,@DAL,11.0,BAL,7.0,@STL,3.0,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.09813609848532
0.54,37.4,0.2,WAS,L,@DAL,3.5,@STL,-3.0,BYE,,PHI,3.0,@CAR,1.5,@BUF,4.0,SF,5.0,@MIA,4.0,DAL,7.0,@SEA,3.0,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.079555506967486
0.54,36.9,0.0,HOU,L,@NO,4.0,PIT,-3.5,OAK,-4.5,@BAL,7.0,@TEN,3.0,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.4804400800418
0.51,34.8,0.0,CHI,L,GB,4.5,CAR,-6.5,@DET,6.5,MIN,-1.0,@TB,-1.5,BYE,,@PHI,9.0,DET,-2.5,SD,-4.5,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.26621490764663
0.48,30.7,0.0,STL,L,BAL,6.0,WAS,3.0,BYE,,@GB,14.0,@DAL,14.0,NO,13.5,@ARI,1.0,@CLE,2.5,SEA,-3.0,ARI,-1.0,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.040225390278772
0.44,12.9,0.0,KC,L,@SD,14.5,MIN,3.0,@IND,1.0,BYE,,@OAK,3.5,SD,3.0,MIA,-4.5,DEN,-3.0,@NE,17.0,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.112148664354
