EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.12,90.4,42.9,BAL,W,@NYG,-16.5,PIT,-6.0,@HOU,-1.5,CLE,-13.5,0.61311677483698
1.04,76.0,4.8,WSH,W,@NO,-7.5,PHI,3.0,ATL,-3.0,@DAL,-5.0,0.24977956362533
1.0,73.0,3.1,ATL,W,@LV,-6.5,NYG,-10.0,@WSH,3.0,CAR,-9.5,0.58854479659969
0.97,74.1,12.1,MIN,W,CHI,-7.0,@SEA,-3.0,GB,-1.0,@DET,4.0,0.10569598867865
0.95,68.4,0.2,PHI,W,PIT,-5.5,@WSH,-3.0,DAL,-14.0,NYG,-17.5,0.92235799578377
0.93,69.7,7.2,CIN,W,@TEN,-6.0,CLE,-7.5,DEN,-3.5,@PIT,0.5,0.37350848450251
0.93,66.9,1.3,KC,W,@CLE,-4.0,HOU,1.5,@PIT,-1.0,@DEN,-1.5,0.047278821503623
0.91,66.0,2.1,DEN,W,IND,-4.5,@LAC,3.0,@CIN,3.5,KC,1.5,0.0
0.87,70.6,21.7,ARI,W,NE,-6.0,@CAR,-4.0,@LAR,3.5,SF,1.5,0.15363976833955
0.85,61.7,1.4,NYJ,W,@JAX,-3.0,LAR,3.5,@BUF,9.5,MIA,2.5,0.0
0.83,59.6,0.4,LAC,L,TB,-3.0,DEN,-3.0,@NE,-5.0,@LV,-6.5,0.45666607273816
0.82,59.0,0.3,SF,L,LAR,-3.0,@MIA,1.0,DET,3.0,@ARI,-1.5,0.026442326196707
0.82,58.6,0.3,GB,W,@SEA,-3.0,NO,-13.5,@MIN,1.0,CHI,-7.5,0.62047631010717
0.81,58.1,0.3,HOU,W,MIA,-2.5,@KC,-1.5,BAL,1.5,@TEN,-6.5,0.23592403000822
0.79,56.6,0.4,CAR,L,DAL,-2.5,ARI,4.0,@TB,8.0,@ATL,9.5,0.0
0.78,56.2,0.1,DET,L,BUF,-2.5,@CHI,-6.5,@SF,-3.0,MIN,-4.0,0.46185310954501
0.61,43.8,0.0,BUF,W,@DET,2.5,NE,-14.0,NYJ,-9.5,@NE,-11.0,1.0
0.6,43.4,0.6,DAL,W,@CAR,2.5,TB,4.0,@PHI,14.0,WSH,5.0,0.0
0.59,41.9,0.0,MIA,L,@HOU,2.5,SF,-1.0,@CLE,-4.0,@NYJ,-2.5,0.22041357799972
0.58,41.4,0.0,SEA,L,GB,3.0,MIN,3.0,@CHI,1.5,@LAR,4.0,0.0
0.57,41.0,0.2,LAR,W,@SF,3.0,@NYJ,-3.5,ARI,-3.5,SEA,-4.0,0.36740285624684
0.57,40.4,0.0,TB,W,@LAC,3.0,@DAL,-4.0,CAR,-8.0,NO,-6.5,0.61457328781062
0.54,38.3,0.1,JAX,L,NYJ,3.0,@LV,0.5,TEN,-2.0,@IND,4.0,0.04392156988867
0.52,29.4,0.1,NE,L,@ARI,6.0,@BUF,14.0,LAC,5.0,BUF,11.0,0.0
0.49,34.0,0.2,IND,L,@DEN,4.5,TEN,-4.0,@NYG,-3.5,JAX,-4.0,0.41118952026174
0.47,33.1,0.0,CLE,L,KC,4.0,@CIN,7.5,MIA,4.0,@BAL,13.5,0.0
0.46,30.3,0.0,TEN,L,CIN,6.0,@IND,4.0,@JAX,2.0,HOU,6.5,0.0
0.44,31.6,0.1,PIT,L,@PHI,5.5,@BAL,6.0,KC,1.0,CIN,-0.5,0.0055495218108195
0.42,25.9,0.0,CHI,L,@MIN,7.0,DET,6.5,SEA,-1.5,@GB,7.5,0.033550780702074
0.39,27.0,0.1,LV,L,ATL,6.5,JAX,-0.5,@NO,3.0,LAC,6.5,0.0
0.36,24.0,0.2,NO,L,WSH,7.5,@GB,13.5,LV,-3.0,@TB,6.5,0.098699713258613
0.28,9.6,0.1,NYG,L,BAL,16.5,@ATL,10.0,IND,3.5,@PHI,17.5,0.0
