EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.15,73.1,3.6,BAL,W,WSH,-7.0,@TB,-3.5,@CLE,-4.5,DEN,-9.5,CIN,-3.5,@PIT,-3.0,@LAC,-3.5,PHI,-3.5,BYE,,@NYG,-7.0,PIT,-5.0,@HOU,0.5,CLE,-7.5,0.65923068354668
1.06,68.5,6.3,GB,W,ARI,-5.5,HOU,-3.0,@JAX,1.5,DET,2.5,BYE,,@CHI,0.5,SF,3.5,MIA,-3.0,@DET,4.5,@SEA,2.5,NO,-4.0,@MIN,2.5,CHI,-3.0,0.1502980488185
1.04,66.2,3.0,CIN,W,@NYG,-4.0,@CLE,-6.0,PHI,-2.5,LV,-8.0,@BAL,3.5,@LAC,-2.0,BYE,,PIT,-3.5,@DAL,0.5,@TEN,-3.0,CLE,-6.0,DEN,-7.0,@PIT,-0.5,0.47819327285272
1.02,63.8,0.7,DET,W,@DAL,-3.5,@MIN,2.5,TEN,-7.0,@GB,-2.5,@HOU,1.5,JAX,-5.5,@IND,-3.0,CHI,-6.5,GB,-4.5,BUF,-3.0,@CHI,-3.5,@SF,3.0,MIN,-4.0,0.49798752432802
1.02,64.0,1.1,SF,W,@SEA,-3.5,KC,-1.0,DAL,-6.0,BYE,,@TB,-3.5,SEA,-6.0,@GB,-3.5,@BUF,-1.0,CHI,-7.5,LAR,-8.0,@MIA,-4.0,DET,-3.0,@ARI,-6.5,0.63234747083769
1.02,77.7,35.0,PHI,W,CLE,-8.5,@NYG,-3.0,@CIN,2.5,JAX,-3.5,@DAL,1.0,WSH,-6.0,@LAR,-2.5,@BAL,3.5,CAR,-9.5,PIT,-3.0,@WSH,-3.0,DAL,-3.0,NYG,-7.0,0.50302587259118
1.02,72.0,19.4,HOU,W,@NE,-6.5,@GB,3.0,IND,-5.0,@NYJ,1.0,DET,-1.5,@DAL,-1.0,TEN,-6.5,@JAX,-2.5,BYE,,MIA,-4.5,@KC,3.5,BAL,-0.5,@TEN,-3.5,0.30595702657097
1.0,63.4,2.4,PIT,W,@LV,-3.5,NYJ,1.5,NYG,-6.0,BYE,,@WSH,-2.0,BAL,3.0,@CLE,-1.5,@CIN,3.5,CLE,-3.5,@PHI,3.0,@BAL,5.0,KC,3.5,CIN,0.5,0.15611565735091
0.98,62.4,2.7,TB,W,@NO,-3.5,BAL,3.5,ATL,-1.5,@KC,7.0,SF,3.5,BYE,,@NYG,-3.0,@CAR,-4.5,LV,-6.0,@LAC,1.5,@DAL,3.0,CAR,-7.5,NO,-3.5,0.33805287146988
0.97,69.5,19.7,ATL,W,@CAR,-6.0,SEA,-3.0,@TB,1.5,DAL,-2.0,@NO,-1.5,@DEN,-3.0,BYE,,LAC,-3.0,@MIN,2.5,@LV,-3.5,NYG,-6.5,@WSH,-2.0,CAR,-8.0,0.37711450769439
0.94,58.5,0.4,LAC,W,@DEN,-3.0,@ARI,-2.5,NO,-3.5,@CLE,0.5,TEN,-3.0,CIN,2.0,BAL,3.5,@ATL,3.0,@KC,7.5,TB,-1.5,DEN,-4.0,@NE,-3.0,@LV,-3.0,0.23117577110614
0.89,55.3,0.5,TEN,L,IND,-2.5,@BUF,8.5,@DET,7.0,NE,-3.5,@LAC,3.0,MIN,2.0,@HOU,6.5,@WSH,1.5,JAX,0.5,CIN,3.0,@IND,3.0,@JAX,3.5,HOU,3.5,0.048068170240523
0.87,53.4,0.3,JAX,L,CHI,-1.5,NE,-5.5,GB,-1.5,@PHI,3.5,MIN,-1.0,@DET,5.5,BYE,,HOU,2.5,@TEN,-0.5,NYJ,1.0,@LV,-3.0,TEN,-3.5,@IND,1.5,0.16962679066665
