EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.19,76.6,2.4,NE,W,@NYJ,-10.0,CLE,-13.0,@BAL,-3.5,BYE,,@PHI,-3.0,DAL,-6.5,@HOU,-3.0,KC,-4.5,@CIN,-11.0,BUF,-9.5,MIA,-18.5,1.0
1.05,66.0,0.4,CHI,L,NO,-4.0,LAC,-4.0,@PHI,2.5,DET,-4.0,@LAR,3.0,NYG,-8.0,@DET,-1.0,DAL,-3.0,@GB,3.0,KC,-1.0,@MIN,3.0,0.32469857893559
1.03,68.4,3.7,GB,W,OAK,-5.5,@KC,-4.0,@LAC,-1.0,CAR,-3.5,BYE,,@SF,3.0,@NYG,-4.0,WAS,-11.0,CHI,-3.0,@MIN,3.0,@DET,-0.5,0.41527463316261
1.0,89.2,64.0,BUF,W,MIA,-17.0,PHI,-2.5,WAS,-8.0,@CLE,2.5,@MIA,-10.5,DEN,-4.0,@DAL,4.0,BAL,-0.5,@PIT,0.5,@NE,9.5,NYJ,-7.0,0.4674468208098
0.99,64.2,1.8,JAX,W,@CIN,-4.0,NYJ,-6.0,HOU,2.5,BYE,,@IND,3.0,@TEN,3.0,TB,-3.5,LAC,-1.5,@OAK,1.5,@ATL,2.0,IND,-2.0,0.17727567144929
0.99,77.6,23.1,SF,W,@WAS,-10.0,CAR,-5.5,@ARI,-6.5,SEA,-3.0,ARI,-10.0,GB,-3.0,@BAL,2.0,@NO,1.5,ATL,-7.5,LAR,-3.0,@SEA,2.0,0.57027644409233
0.99,62.8,0.7,NYG,L,ARI,-3.5,@DET,7.0,DAL,4.0,@NYJ,2.0,BYE,,@CHI,8.0,GB,4.0,@PHI,8.0,MIA,-9.5,@WAS,-1.0,PHI,4.0,0.15349814061358
0.96,60.4,0.1,DAL,W,PHI,-3.0,BYE,,@NYG,-4.0,MIN,-2.0,@DET,-1.0,@NE,6.5,BUF,-4.0,@CHI,3.0,LAR,-2.0,@PHI,2.5,WAS,-10.5,0.34178567578184
0.95,60.3,0.7,LAR,W,@ATL,-3.0,CIN,-13.0,BYE,,@PIT,-3.0,CHI,-3.0,BAL,-3.0,@ARI,-6.0,SEA,-3.0,@DAL,2.0,@SF,3.0,ARI,-9.5,0.55490919552293
0.94,58.6,0.1,TEN,W,LAC,-2.5,TB,-2.5,@CAR,3.0,KC,3.5,BYE,,JAX,-3.0,@IND,3.0,@OAK,1.0,HOU,1.5,NO,1.5,@HOU,5.0,0.081093050837221
0.93,58.8,0.3,SEA,L,BAL,-3.0,@ATL,-3.5,TB,-7.0,@SF,3.0,BYE,,@PHI,2.5,MIN,-2.5,@LAR,3.0,@CAR,0.5,ARI,-9.5,SF,-2.0,0.3464575065975
0.91,58.3,1.5,KC,W,@DEN,-3.0,GB,4.0,MIN,-3.5,@TEN,-3.5,LAC,-3.0,BYE,,OAK,-8.0,@NE,4.5,DEN,-8.0,@CHI,1.0,LAC,-6.5,0.48440657128235
