EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.26,88.5,15.9,ATL,W,CAR,-14.5,
1.23,83.7,1.4,GB,W,CHI,-11.0,
1.17,80.2,4.3,BAL,W,CIN,-9.5,
1.1,75.1,2.2,NO,L,TB,-7.5,
1.07,79.3,23.4,IND,W,TEN,-9.0,
0.99,67.8,1.8,SD,W,@DEN,-4.5,
0.99,67.0,1.2,HOU,W,JAX,-5.0,
0.99,68.0,2.9,NE,W,MIA,-5.5,
0.99,67.5,1.9,PIT,W,@CLE,-5.5,
0.98,69.7,10.5,SF,W,ARI,-6.0,
0.93,66.3,9.5,NYG,W,@WAS,-4.5,
0.93,64.0,4.1,DET,W,MIN,-3.5,
0.92,63.1,1.5,KC,L,OAK,-3.5,
0.87,60.8,5.7,STL,L,@SEA,-3.0,
0.79,52.8,0.1,DAL,W,@PHI,-1.5,
0.75,53.3,7.1,NYJ,W,BUF,-6.5,
0.73,46.7,0.1,BUF,L,@NYJ,6.5,
0.68,47.2,2.1,PHI,L,DAL,1.5,
0.61,39.2,0.5,SEA,W,STL,3.0,
0.55,36.9,0.1,OAK,W,@KC,3.5,
0.55,36.0,0.8,MIN,L,@DET,3.5,
0.55,33.7,0.1,WAS,L,NYG,4.5,
0.5,30.3,0.2,ARI,L,@SF,6.0,
0.49,32.5,0.1,CLE,L,PIT,5.5,
0.49,32.0,0.1,MIA,L,@NE,5.5,
0.49,33.0,1.4,JAX,L,@HOU,5.0,
0.48,32.2,0.2,DEN,L,SD,4.5,
0.41,20.7,0.0,TEN,L,@IND,9.0,
0.38,24.9,0.1,TB,W,@NO,7.5,
0.31,19.8,0.0,CIN,L,@BAL,9.5,
0.24,16.3,0.6,CHI,L,@GB,11.0,
0.22,11.5,0.1,CAR,L,@ATL,14.5,
