EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,79.9,2.8,PHI,L,SF,-10.0,@BUF,-3.0,@WAS,-3.0,BYE,,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.4388614761967
1.07,81.3,19.8,TB,W,IND,-10.0,@SF,2.5,NO,6.0,CHI,1.5,BYE,,@NO,9.0,HOU,3.5,@GB,13.5,@TEN,3.0,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.024662210990159
1.04,83.5,34.2,GB,W,DEN,-12.0,@ATL,-6.0,STL,-14.0,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,1.0
1.02,72.9,3.0,SD,W,MIA,-7.0,@DEN,-3.5,BYE,,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.31113221097118
1.0,70.5,0.9,NE,W,@OAK,-6.5,NYJ,-7.5,DAL,-6.5,BYE,,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.89817259962796
0.99,71.2,5.2,CHI,W,CAR,-6.5,@DET,6.5,MIN,-1.0,@TB,-1.5,BYE,,@PHI,9.0,DET,-2.5,SD,-4.5,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.22796104384062
0.98,68.8,0.2,BAL,W,NYJ,-5.5,BYE,,HOU,-7.0,@JAX,-10.0,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.80638881058012
0.96,74.4,19.4,NO,W,@JAX,-7.0,@CAR,-6.5,@TB,-6.0,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.8792605399125
0.95,68.0,3.9,ATL,W,@SEA,-6.0,GB,6.0,CAR,-3.5,@DET,4.5,BYE,,@IND,-6.5,NO,-1.0,TEN,-6.0,MIN,-10.0,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.51952908722276
0.91,63.8,0.1,HOU,W,PIT,-3.5,OAK,-4.5,@BAL,7.0,@TEN,3.0,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.48742415586261
0.85,60.0,1.7,MIN,L,@KC,-3.0,ARI,-3.5,@CHI,1.0,GB,10.0,@CAR,3.0,BYE,,@GB,12.5,OAK,-1.5,@ATL,10.0,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.099972195111941
0.84,59.3,1.3,WAS,W,@STL,-3.0,BYE,,PHI,3.0,@CAR,1.5,@BUF,4.0,SF,5.0,@MIA,4.0,DAL,7.0,@SEA,3.0,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.058820479884025
0.81,56.6,0.1,DAL,L,DET,-2.5,BYE,,@NE,6.5,STL,-14.0,@PHI,3.0,SEA,-11.0,BUF,-4.0,@WAS,-7.0,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.60219059002524
0.8,58.6,5.8,BUF,L,@CIN,-3.0,PHI,3.0,@NYG,3.0,BYE,,WAS,-4.0,NYJ,-2.5,@DAL,4.0,@MIA,3.0,@NYJ,9.5,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.062416512068465
0.73,51.7,0.7,NYG,W,@ARI,-1.5,SEA,-10.0,BUF,-3.0,BYE,,MIA,-9.5,@NE,9.5,@SF,4.0,PHI,-6.0,@NO,7.0,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.37947386628866
0.73,51.2,0.2,TEN,W,@CLE,-1.0,@PIT,3.0,BYE,,HOU,-3.0,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.3252944753409
0.7,48.8,0.1,CLE,L,TEN,1.0,BYE,,@OAK,6.5,SEA,-3.0,@SF,9.0,@HOU,10.5,STL,-2.5,JAX,-1.0,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.07756852548361
0.69,48.3,0.0,ARI,L,NYG,1.5,@MIN,3.5,BYE,,PIT,4.0,@BAL,12.0,STL,-1.0,@PHI,13.5,@SF,10.0,@STL,1.0,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.083602462339633
0.62,41.4,0.0,CIN,W,BUF,3.0,@JAX,-1.0,IND,-5.0,BYE,,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.30257687051171
0.62,43.4,0.2,DET,W,@DAL,2.5,CHI,-6.5,SF,-5.5,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.47519744057063
0.59,40.7,0.1,STL,L,WAS,3.0,BYE,,@GB,14.0,@DAL,14.0,NO,13.5,@ARI,1.0,@CLE,2.5,SEA,-3.0,ARI,-1.0,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.044415421373024
0.58,40.0,0.1,KC,W,MIN,3.0,@IND,1.0,BYE,,@OAK,3.5,SD,3.0,MIA,-4.5,DEN,-3.0,@NE,17.0,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.12383049982075
0.52,36.2,0.1,PIT,L,@HOU,3.5,TEN,-3.0,JAX,-12.5,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.74838029401788
0.48,32.0,0.0,SEA,L,ATL,6.0,@NYG,10.0,BYE,,@CLE,3.0,CIN,1.0,@DAL,11.0,BAL,7.0,@STL,3.0,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.10835833129083
0.46,25.6,0.0,JAX,L,NO,7.0,CIN,1.0,@PIT,12.5,BAL,10.0,@HOU,10.0,BYE,,@IND,-3.0,@CLE,1.0,HOU,6.0,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.057961502249879
0.45,31.2,0.0,NYJ,L,@BAL,5.5,@NE,7.5,MIA,-7.0,SD,1.0,BYE,,@BUF,2.5,NE,-2.5,@DEN,-6.0,BUF,-9.5,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.42245194285566
0.44,28.8,0.0,CAR,L,@CHI,6.5,NO,6.5,@ATL,3.5,WAS,-1.5,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.24435402249636
0.42,29.5,0.0,OAK,L,NE,6.5,@HOU,4.5,CLE,-6.5,KC,-3.5,BYE,,DEN,-7.0,@SD,7.0,@MIN,1.5,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.22601846067801
0.4,27.1,0.0,MIA,L,@SD,7.0,BYE,,@NYJ,7.0,DEN,1.0,@NYG,9.5,@KC,4.5,WAS,-4.0,BUF,-3.0,@DAL,7.0,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.14502177157249
0.38,16.5,0.0,DEN,L,@GB,12.0,SD,3.5,BYE,,@MIA,-1.0,DET,3.0,@OAK,7.0,@KC,3.0,NYJ,6.0,@SD,4.5,@MIN,1.0,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.071258738208681
0.35,18.7,0.0,IND,L,@TB,10.0,KC,-1.0,@CIN,5.0,@NO,13.5,@TEN,9.0,ATL,6.5,JAX,3.0,BYE,,CAR,3.5,@NE,20.5,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0067801031892035
0.3,20.1,0.0,SF,W,@PHI,10.0,TB,-2.5,@DET,5.5,BYE,,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.63146564094059
