EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.13,84.5,7.0,BUF,W,CAR,-14.0,@NE,2.5,ATL,-10.5,NYJ,-17.5,0.69775407542776
1.09,81.1,3.2,TB,L,NO,-11.5,@CAR,-10.5,@NYJ,-17.5,CAR,-13.0,1.0
1.08,85.0,22.2,ARI,L,@DET,-13.0,IND,-1.0,@DAL,3.0,SEA,-6.0,0.1926194935098
1.08,81.4,8.7,DAL,W,@NYG,-11.5,WAS,-10.5,ARI,-3.0,@PHI,-2.0,0.41519744073915
1.03,77.3,4.7,PHI,W,WAS,-8.5,NYG,-10.0,@WAS,-0.5,DAL,2.0,0.29147758135827
1.03,75.9,1.4,GB,W,@BAL,-9.5,CLE,-8.0,MIN,-6.5,@DET,-13.0,0.7499859641273
1.0,73.8,0.7,LAR,W,SEA,-7.0,@MIN,-3.0,@BAL,-0.5,SF,-4.0,0.23109445428555
1.0,79.7,22.8,MIA,W,NYJ,-10.5,@NO,3.0,@TEN,3.5,NE,3.0,0.0
0.98,76.8,15.6,SF,W,ATL,-9.5,@TEN,-3.5,HOU,-15.0,@LAR,4.0,0.48833790665068
0.97,72.4,2.9,MIN,W,@CHI,-7.0,LAR,3.0,@GB,6.5,CHI,-7.5,0.22749241190032
0.93,69.1,2.9,JAX,L,HOU,-6.0,@NYJ,2.0,@NE,13.5,IND,7.0,0.0
0.83,61.3,0.9,KC,W,@LAC,-3.0,PIT,-10.5,@CIN,-4.0,@DEN,-4.5,0.56749457557972
0.81,59.7,0.8,DEN,L,CIN,-3.0,@LV,1.0,@LAC,4.0,KC,4.5,0.0
0.79,57.8,0.4,LV,W,@CLE,-3.0,DEN,-1.0,@IND,6.0,LAC,3.0,0.022351026500361
0.72,53.2,0.2,IND,W,NE,-1.5,@ARI,1.0,LV,-6.0,@JAX,-7.0,0.39465814751795
0.7,51.3,0.4,PIT,W,TEN,-1.0,@KC,10.5,CLE,0.5,@BAL,6.0,0.0
0.66,48.7,0.5,TEN,L,@PIT,1.0,SF,3.5,MIA,-3.5,@HOU,-7.5,0.34132798322087
0.63,46.8,0.6,NE,L,@IND,1.5,BUF,-2.5,JAX,-13.5,@MIA,-3.0,0.44076435618431
0.57,42.2,1.2,CLE,L,LV,3.0,@GB,8.0,@PIT,-0.5,CIN,-3.5,0.10951626769767
0.55,40.3,0.9,CIN,W,@DEN,3.0,BAL,-2.5,KC,4.0,@CLE,3.5,0.048557309201367
0.53,38.7,0.2,LAC,L,KC,3.0,@HOU,-10.5,DEN,-4.0,@LV,-3.0,0.46561434482336
0.43,30.9,0.6,HOU,W,@JAX,6.0,LAC,10.5,@SF,15.0,TEN,7.5,0.0
0.39,27.6,0.2,CHI,L,MIN,7.0,@SEA,7.0,NYG,-2.5,@MIN,7.5,0.054812662737564
0.38,23.2,0.1,ATL,L,@SF,9.5,DET,-4.5,@BUF,10.5,NO,1.0,0.1443713558163
0.36,20.3,0.1,NYJ,L,@MIA,10.5,JAX,-2.0,TB,17.5,@BUF,17.5,0.046718064696545
0.36,26.2,0.0,SEA,L,@LAR,7.0,CHI,-7.0,DET,-10.5,@ARI,6.0,0.52225730774107
0.33,24.1,0.1,BAL,L,GB,9.5,@CIN,2.5,LAR,0.5,PIT,-6.0,0.17898941227519
0.32,22.7,0.4,WAS,L,@PHI,8.5,@DAL,10.5,PHI,0.5,@NYG,0.5,0.0
0.28,18.6,0.1,NYG,L,DAL,11.5,@PHI,10.0,@CHI,2.5,WAS,-0.5,0.0031816927167034
0.27,15.0,0.1,DET,W,ARI,13.0,@ATL,4.5,@SEA,10.5,GB,13.0,0.0
0.27,18.9,0.0,NO,W,@TB,11.5,MIA,-3.0,CAR,-4.0,@ATL,-1.0,0.24008698219513
0.23,15.5,0.0,CAR,L,@BUF,14.0,TB,10.5,@NO,4.0,@TB,13.0,0.0
